Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
 ,6672  ,騰輝電子-KY     ,"73,017",0,"73,017"
 ,3010  ,華立            ,"73,000",0,"73,000"
 ,3037  ,欣興            ,"70,969",0,"70,969"
 ,9941  ,裕融            ,"70,000",0,"70,000"
 ,8112  ,至上            ,"182,373","113,000","69,373"
 ,2313  ,華通            ,"61,000",0,"61,000"
 ,6670  ,復盛應用        ,"59,000",0,"59,000"
 ,1907  ,永豐餘          ,"58,269",0,"58,269"
 ,1326  ,台化            ,"55,478",0,"55,478"
 ,3209  ,全科            ,"53,577",0,"53,577"
 ,3028  ,增你強          ,"53,276",0,"53,276"
 ,1609  ,大亞            ,"52,066",0,"52,066"
 ,5234  ,達興材料        ,"50,000",0,"50,000"
 ,8213  ,志超            ,"49,392",0,"49,392"
 ,6605  ,帝寶            ,"49,000",0,"49,000"
 ,3376  ,新日興          ,"47,000",0,"47,000"
 ,6515  ,穎崴            ,"47,000",0,"47,000"
 ,8464  ,億豐            ,"45,709",0,"45,709"
 ,6505  ,台塑化          ,"45,681",0,"45,681"
 ,2441  ,超豐            ,"44,004",0,"44,004"
 ,3044  ,健鼎            ,"62,000","19,000","43,000"
 ,6719  ,力智            ,"42,000",0,"42,000"
 ,4961  ,天鈺            ,"41,000",0,"41,000"
 ,6414  ,樺漢            ,"41,000",0,"41,000"
 ,5471  ,松翰            ,"36,334",0,"36,334"
 ,6191  ,精成科          ,"34,000",0,"34,000"
 ,2542  ,興富發          ,"33,440",0,"33,440"
 ,4766  ,南寶            ,"32,000",0,"32,000"
 ,6202  ,盛群            ,"31,823",0,"31,823"
 ,2387  ,精元            ,"31,558",0,"31,558"
 ,2458  ,義隆            ,"31,173",0,"31,173"
 ,4958  ,臻鼎-KY         ,"32,175","1,325","30,850"
 ,3545  ,敦泰            ,"30,820",0,"30,820"
 ,"=""006208""",富邦台50        ,"30,000",0,"30,000"
 ,8028  ,昇陽半導體      ,"30,000",0,"30,000"
 ,3090  ,日電貿          ,"28,224",0,"28,224"
 ,2801  ,彰銀            ,"28,687",549,"28,138"
 ,3029  ,零壹            ,"26,287",0,"26,287"
 ,4906  ,正文            ,"24,332",0,"24,332"
 ,1605  ,華新            ,"23,488",0,"23,488"
 ,8261  ,富鼎            ,"23,186",0,"23,186"
 ,4763  ,材料*-KY        ,"19,079",0,"19,079"
 ,2520  ,冠德            ,"18,777",0,"18,777"
 ,5522  ,遠雄            ,"17,000",0,"17,000"
 ,9910  ,豐泰            ,"16,771",0,"16,771"
 ,6438  ,迅得            ,"16,564",0,"16,564"
 ,2606  ,裕民            ,"15,441",0,"15,441"
 ,6782  ,視陽            ,"15,000",0,"15,000"
 ,9938  ,百和            ,"14,486",0,"14,486"
 ,6456  ,GIS-KY          ,"13,821",0,"13,821"
 ,2834  ,臺企銀          ,"13,071",0,"13,071"
 ,3708  ,上緯投控        ,"12,625",0,"12,625"
 ,2408  ,南亞科          ,"16,000","3,935","12,065"
 ,6768  ,志強-KY         ,"11,021",0,"11,021"
 ,2368  ,金像電          ,"11,000",0,"11,000"
 ,3533  ,嘉澤            ,"10,363",0,"10,363"
 ,3563  ,牧德            ,"10,000",0,"10,000"
 ,2337  ,旺宏            ,"9,000",0,"9,000"
 ,3617  ,碩天            ,"9,000",0,"9,000"
 ,2395  ,研華            ,"8,896",23,"8,873"
 ,3515  ,華擎            ,"8,467",0,"8,467"
 ,3592  ,瑞鼎            ,"8,298",0,"8,298"
 ,1503  ,士電            ,"8,000",0,"8,000"
 ,1611  ,中電            ,"8,000",0,"8,000"
 ,6415  ,矽力*-KY        ,"8,000",0,"8,000"
 ,4919  ,新唐            ,"7,000",0,"7,000"
 ,1712  ,興農            ,"6,945",0,"6,945"
 ,2609  ,陽明            ,"6,549",0,"6,549"
 ,1514  ,亞力            ,"6,000",0,"6,000"
 ,8105  ,凌巨            ,"6,000",0,"6,000"
 ,8271  ,宇瞻            ,"5,926",0,"5,926"
 ,3015  ,全漢            ,"5,226",0,"5,226"
 ,8454  ,富邦媒          ,"5,139",43,"5,096"
 ,1522  ,堤維西          ,"5,000",0,"5,000"
 ,2207  ,和泰車          ,"5,000",0,"5,000"
 ,2338  ,光罩            ,"5,000",0,"5,000"
 ,2476  ,鉅祥            ,"5,000",0,"5,000"
 ,3048  ,益登            ,"5,000",0,"5,000"
 ,3712  ,永崴投控        ,"5,000",0,"5,000"
 ,6139  ,亞翔            ,"5,000",0,"5,000"
 ,9940  ,信義            ,"4,933",0,"4,933"
 ,1229  ,聯華            ,"4,445",0,"4,445"
 ,6472  ,保瑞            ,"4,257",0,"4,257"
 ,2316  ,楠梓電          ,"4,000",0,"4,000"
 ,6449  ,鈺邦            ,"4,000",0,"4,000"
 ,6789  ,采鈺            ,"4,000",0,"4,000"
 ,2492  ,華新科          ,"4,000",28,"3,972"
 ,2615  ,萬海            ,"3,953",0,"3,953"
 ,9924  ,福興            ,"3,483",0,"3,483"
 ,1590  ,亞德客-KY       ,"3,210",0,"3,210"
 ,3038  ,全台            ,"3,150",0,"3,150"
 ,2427  ,三商電          ,"3,000",0,"3,000"
 ,3189  ,景碩            ,"3,000",0,"3,000"
 ,3312  ,弘憶股          ,"3,000",0,"3,000"
 ,3591  ,艾笛森          ,"3,000",0,"3,000"
 ,5243  ,乙盛-KY         ,"3,000",0,"3,000"
 ,6937  ,天虹            ,"3,000",0,"3,000"
 ,9921  ,巨大            ,"3,000",0,"3,000"
 ,1535  ,中宇            ,"2,980",0,"2,980"
 ,1597  ,直得            ,"2,000",0,"2,000"
 ,1786  ,科妍            ,"2,000",0,"2,000"
 ,2637  ,慧洋-KY         ,"2,000",0,"2,000"
 ,3035  ,智原            ,"2,000",0,"2,000"
 ,3305  ,昇貿            ,"2,000",0,"2,000"
 ,3406  ,玉晶光          ,"2,000",0,"2,000"
 ,3501  ,維熹            ,"2,000",0,"2,000"
 ,4566  ,時碩工業        ,"2,000",0,"2,000"
 ,4720  ,德淵            ,"2,000",0,"2,000"
 ,4967  ,十銓            ,"2,000",0,"2,000"
 ,6197  ,佳必琪          ,"2,000",0,"2,000"
 ,6216  ,居易            ,"2,000",0,"2,000"
 ,6531  ,愛普*           ,"2,000",0,"2,000"
 ,8103  ,瀚荃            ,"2,000",0,"2,000"
 ,8422  ,可寧衛*         ,"1,746",0,"1,746"
 ,1476  ,儒鴻            ,"1,674",273,"1,401"
 ,2059  ,川湖            ,"6,000","5,000","1,000"
 ,2482  ,連宇            ,"1,000",0,"1,000"
 ,4545  ,銘鈺            ,"1,000",0,"1,000"
 ,4770  ,上品            ,"1,000",0,"1,000"
 ,6689  ,伊雲谷          ,"1,000",0,"1,000"
 ,6715  ,嘉基            ,"1,000",0,"1,000"
 ,8374  ,羅昇            ,"1,000",0,"1,000"
 ,8478  ,東哥遊艇        ,"1,000",0,"1,000"
 ,6409  ,旭隼            ,272,72,200
 ,1519  ,華城            ,"1,000","970,000","-969,000"
 ,2308  ,台達電          ,"136,160","1,042,172","-906,012"
 ,2317  ,鴻海            ,"503,559","1,367,571","-864,012"
 ,3665  ,貿聯-KY         ,"1,000","485,000","-484,000"
 ,2610  ,華航            ,"23,028","499,536","-476,508"
 ,3017  ,奇鋐            ,"143,000","614,284","-471,284"
 ,2204  ,中華            ,"29,152","492,230","-463,078"
 ,6239  ,力成            ,"198,709","583,355","-384,646"
 ,2002  ,中鋼            ,"223,000","605,201","-382,201"
 ,2633  ,台灣高鐵        ,0,"313,788","-313,788"
 ,2348  ,海悅            ,0,"263,000","-263,000"
 ,5519  ,隆大            ,"3,000","195,000","-192,000"
 ,2645  ,長榮航太        ,0,"182,000","-182,000"
 ,1722  ,台肥            ,"3,000","139,000","-136,000"
 ,3532  ,台勝科          ,"5,000","130,000","-125,000"
 ,8114  ,振樺電          ,0,"107,000","-107,000"
 ,5534  ,長虹            ,0,"100,000","-100,000"
 ,3583  ,辛耘            ,0,"92,000","-92,000"
 ,3653  ,健策            ,"1,399","85,000","-83,601"
 ,2548  ,華固            ,"121,000","200,000","-79,000"
 ,4746  ,台耀            ,0,"72,000","-72,000"
 ,8081  ,致新            ,"8,099","80,000","-71,901"
 ,3014  ,聯陽            ,"53,189","100,000","-46,811"
 ,6805  ,富世達          ,"30,000","66,000","-36,000"
 ,1702  ,南僑            ,0,"34,000","-34,000"
 ,4968  ,立積            ,"2,000","35,000","-33,000"
 ,6285  ,啟��            ,"202,000","234,998","-32,998"
 ,5434  ,崇越            ,"67,301","100,000","-32,699"
 ,6412  ,群電            ,"2,000","34,000","-32,000"
 ,8016  ,矽創            ,"45,776","70,000","-24,224"
 ,5269  ,祥碩            ,"37,135","60,000","-22,865"
 ,8210  ,勤誠            ,0,"22,000","-22,000"
 ,3443  ,創意            ,"3,338","20,004","-16,666"
 ,3661  ,世芯-KY         ,"7,287","22,000","-14,713"
 ,2385  ,群光            ,"33,000","47,654","-14,654"
 ,6669  ,緯穎            ,"2,000","16,004","-14,004"
 ,2707  ,晶華            ,"7,743","20,000","-12,257"
 ,8163  ,達方            ,"49,239","59,000","-9,761"
 ,3008  ,大立光          ,"3,368","11,500","-8,132"
 ,2049  ,上銀            ,845,"8,024","-7,179"
 ,4583  ,台灣精銳        ,0,"7,000","-7,000"
 ,6790  ,永豐實          ,"16,435","22,000","-5,565"
 ,2327  ,國巨*           ,"14,786","17,000","-2,214"
 ,6024  ,群益期          ,"17,231","19,000","-1,769"
 ,2498  ,宏達電          ,0,406,-406
 ,3714  ,富采            ,0,355,-355
 ,2344  ,華邦電          ,0,174,-174
 ,3481  ,群創            ,0,169,-169
 ,2377  ,微星            ,0,34,-34
 ,8046  ,南電            ,0,18,-18
說明:,,,,,
投信表示本國投資信託基金。,,,,,
＊表示該證券今日有鉅額交易。,,,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,,,
ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。,,,,,
