Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數,Unnamed: 6
 ,1303  ,南亞            ,"5,114,000","36,000","5,078,000",
 ,8046  ,南電            ,"2,341,000","1,310","2,339,690",
 ,"=""0050  """,元大台灣50      ,"2,000,000",0,"2,000,000",
 ,2344  ,華邦電          ,"2,978,000","1,199,000","1,779,000",
 ,"=""0056  """,元大高股息      ,"1,000,000",0,"1,000,000",
 ,1301  ,台塑            ,"786,000","30,000","756,000",
 ,6805  ,富世達          ,"646,000","9,000","637,000",
 ,8112  ,至上            ,"406,000","11,037","394,963",
 ,2327  ,國巨*           ,"444,000","63,000","381,000",
 ,6449  ,鈺邦            ,"227,000","1,000","226,000",
 ,2308  ,台達電          ,"323,000","153,000","170,000",
 ,3406  ,玉晶光          ,"174,000","4,000","170,000",
 ,6442  ,光聖            ,"149,000",0,"149,000",
 ,8996  ,高力            ,"140,000","9,000","131,000",
 ,3443  ,創意            ,"126,000","5,000","121,000",
 ,1504  ,東元            ,"882,000","790,924","91,076",
 ,3515  ,華擎            ,"109,000","33,000","76,000",
 ,"=""00708L""",期元大S&P黃金正2,"55,000",0,"55,000",
 ,6515  ,穎崴            ,"109,000","59,000","50,000",
 ,3004  ,豐達科          ,"42,000",0,"42,000",
 ,"=""00830 """,國泰費城半導體  ,"40,000",0,"40,000",
 ,6191  ,精成科          ,"38,000","3,000","35,000",
 ,3017  ,奇鋐            ,"48,000","18,000","30,000",
 ,6271  ,同欣電          ,"17,000",0,"17,000",
 ,2208  ,台船            ,"10,000",0,"10,000",
 ,1514  ,亞力            ,"9,000",0,"9,000",
 ,2634  ,漢翔            ,"9,000",0,"9,000",
 ,2059  ,川湖            ,"7,000","2,000","5,000",
 ,2645  ,長榮航太        ,"4,000",0,"4,000",
 ,2313  ,華通            ,"2,000",0,"2,000",
 ,2388  ,威盛            ,"1,000",0,"1,000",
 ,2492  ,華新科          ,"1,000",0,"1,000",
 ,5222  ,全訊            ,"1,000",0,"1,000",
 ,2891  ,中信金          ,0,"6,118,740","-6,118,740",
 ,2882  ,國泰金          ,0,"4,360,135","-4,360,135",
 ,2303  ,聯電            ,"108,000","3,579,219","-3,471,219",
 ,2542  ,興富發          ,0,"2,751,000","-2,751,000",
 ,2881  ,富邦金          ,"36,000","2,786,811","-2,750,811",
 ,2883  ,凱基金          ,"8,000","2,204,000","-2,196,000",
 ,2887  ,台新新光金      ,0,"2,013,000","-2,013,000",
 ,1402  ,遠東新          ,0,"1,922,000","-1,922,000",
 ,2886  ,兆豐金          ,0,"1,852,326","-1,852,326",
 ,2324  ,仁寶            ,0,"1,829,018","-1,829,018",
 ,2618  ,長榮航          ,0,"1,776,940","-1,776,940",
 ,"=""00945B""",凱基美國非投等債,0,"1,772,000","-1,772,000",
 ,"=""00701 """,國泰股利精選30  ,0,"1,480,000","-1,480,000",
 ,2606  ,裕民            ,0,"1,386,330","-1,386,330",
 ,2356  ,英業達          ,"7,000","1,276,000","-1,269,000",
 ,2885  ,元大金          ,0,"1,265,097","-1,265,097",
 ,6239  ,力成            ,"194,000","1,453,580","-1,259,580",
 ,3702  ,大聯大          ,0,"1,118,039","-1,118,039",
 ,2105  ,正新            ,0,"1,009,781","-1,009,781",
 ,3706  ,神達            ,"153,000","1,111,000","-958,000",
 ,2615  ,萬海            ,0,"945,865","-945,865",
 ,6005  ,群益證          ,0,"883,831","-883,831",
 ,2455  ,全新            ,"177,000","932,000","-755,000",
 ,3711  ,日月光投控      ,"30,000","736,000","-706,000",
 ,2301  ,光寶科          ,"5,000","695,000","-690,000",
 ,2449  ,京元電子        ,"17,000","706,000","-689,000",
 ,2345  ,智邦            ,"2,000","658,000","-656,000",
 ,2383  ,台光電          ,"8,000","658,900","-650,900",
 ,3036  ,文曄            ,0,"620,000","-620,000",
 ,4938  ,和碩            ,0,"593,658","-593,658",
 ,2353  ,宏��            ,0,"580,000","-580,000",
 ,6177  ,達麗            ,0,"575,000","-575,000",
 ,2347  ,聯強            ,0,"555,016","-555,016",
 ,5871  ,中租-KY         ,0,"551,000","-551,000",
 ,2317  ,鴻海            ,"129,000","640,698","-511,698",
 ,6257  ,矽格            ,"15,000","521,178","-506,178",
 ,2103  ,台橡            ,0,"501,000","-501,000",
 ,3665  ,貿聯-KY         ,"1,000","462,147","-461,147",
 ,2883B ,凱基金乙特      ,0,"450,000","-450,000",
 ,5234  ,達興材料        ,0,"444,000","-444,000",
 ,2474  ,可成            ,0,"437,581","-437,581",
 ,2610  ,華航            ,0,"434,126","-434,126",
 ,2368  ,金像電          ,"40,000","440,000","-400,000",
 ,1560  ,中砂            ,"14,000","405,000","-391,000",
 ,2357  ,華碩            ,0,"362,368","-362,368",
 ,2382  ,廣達            ,"78,000","433,121","-355,121",
 ,8464  ,億豐            ,0,"354,481","-354,481",
 ,2385  ,群光            ,0,"341,659","-341,659",
 ,1210  ,大成            ,0,"340,000","-340,000",
