Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
 ,2303  ,聯電            ,"5,621,213","9,000","5,612,213"
 ,2891  ,中信金          ,"5,366,767",0,"5,366,767"
 ,2317  ,鴻海            ,"2,910,000",0,"2,910,000"
 ,"=""00643 """,群益深証中小    ,"2,774,000",0,"2,774,000"
 ,"=""00637L""",元大滬深300正2  ,"2,500,000",0,"2,500,000"
 ,2889  ,國票金          ,"2,300,000","146,000","2,154,000"
 ,3045  ,台灣大          ,"1,759,622",0,"1,759,622"
 ,2890  ,永豐金          ,"1,544,125",0,"1,544,125"
 ,2886  ,兆豐金          ,"1,542,399",0,"1,542,399"
 ,2885  ,元大金          ,"1,457,669",0,"1,457,669"
 ,1216  ,統一            ,"1,455,000","47,000","1,408,000"
 ,3711  ,日月光投控      ,"1,343,061","3,000","1,340,061"
 ,"=""0050  """,元大台灣50      ,"1,311,000",0,"1,311,000"
 ,2105  ,正新            ,"1,304,000",0,"1,304,000"
 ,4904  ,遠傳            ,"1,276,000",0,"1,276,000"
 ,2882  ,國泰金          ,"1,259,499",0,"1,259,499"
 ,2892  ,第一金          ,"1,119,305",0,"1,119,305"
 ,2883  ,凱基金          ,"1,052,000",0,"1,052,000"
 ,2301  ,光寶科          ,"969,000",0,"969,000"
 ,2324  ,仁寶            ,"903,578",0,"903,578"
 ,1101  ,台泥            ,"871,207",0,"871,207"
 ,3702  ,大聯大          ,"848,138","27,000","821,138"
 ,6005  ,群益證          ,"800,000",0,"800,000"
 ,4938  ,和碩            ,"765,662",0,"765,662"
 ,1402  ,遠東新          ,"826,000","66,000","760,000"
 ,5876  ,上海商銀        ,"740,818",0,"740,818"
 ,2330  ,台積電          ,"759,000","27,000","732,000"
 ,2881  ,富邦金          ,"626,539",0,"626,539"
 ,2454  ,聯發科          ,"621,743","5,000","616,743"
 ,2353  ,宏��            ,"654,000","48,000","606,000"
 ,3034  ,聯詠            ,"667,563","80,000","587,563"
 ,6239  ,力成            ,"614,000","34,000","580,000"
 ,3231  ,緯創            ,"550,000",0,"550,000"
 ,2347  ,聯強            ,"574,459","29,000","545,459"
 ,2356  ,英業達          ,"542,000",0,"542,000"
 ,5871  ,中租-KY         ,"575,000","59,000","516,000"
 ,3533  ,嘉澤            ,"500,000",0,"500,000"
 ,1102  ,亞泥            ,"496,012",0,"496,012"
 ,2603  ,長榮            ,"569,662","99,000","470,662"
 ,2884  ,玉山金          ,"456,807",0,"456,807"
