Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
 ,2890  ,永豐金          ,"17,863,000","2,213,000","15,650,000"
 ,2891  ,中信金          ,"13,205,000","1,592,000","11,613,000"
 ,2002  ,中鋼            ,"11,747,000","1,673,000","10,074,000"
 ,2886  ,兆豐金          ,"7,004,000","1,123,000","5,881,000"
 ,2382  ,廣達            ,"5,727,000","362,000","5,365,000"
 ,3702  ,大聯大          ,"5,427,000","688,000","4,739,000"
 ,6770  ,力積電          ,"4,528,000","56,000","4,472,000"
 ,"=""00922 """,國泰台灣領袖50  ,"4,135,000",0,"4,135,000"
 ,2027  ,大成鋼          ,"3,683,000","3,000","3,680,000"
 ,1216  ,統一            ,"3,643,000","99,000","3,544,000"
 ,6239  ,力成            ,"2,155,000","21,000","2,134,000"
 ,2409  ,友達            ,"2,009,000","51,000","1,958,000"
 ,2421  ,建準            ,"1,765,000","1,000","1,764,000"
 ,4919  ,新唐            ,"1,575,000","1,000","1,574,000"
 ,2383  ,台光電          ,"1,511,000","7,000","1,504,000"
 ,2884  ,玉山金          ,"1,575,000","151,000","1,424,000"
 ,2449  ,京元電子        ,"1,419,000","14,000","1,405,000"
 ,1504  ,東元            ,"1,325,000","191,000","1,134,000"
 ,2474  ,可成            ,"1,517,000","408,000","1,109,000"
 ,3017  ,奇鋐            ,"1,045,000","27,000","1,018,000"
 ,9910  ,豐泰            ,"966,000","1,000","965,000"
 ,2377  ,微星            ,"1,207,000","282,000","925,000"
 ,2915  ,潤泰全          ,"917,000",0,"917,000"
 ,2618  ,長榮航          ,"1,150,000","245,000","905,000"
 ,4915  ,致伸            ,"918,000","13,000","905,000"
 ,3035  ,智原            ,"915,000","50,000","865,000"
 ,2337  ,旺宏            ,"830,000","2,000","828,000"
 ,4746  ,台耀            ,"670,000",0,"670,000"
 ,"=""00895 """,富邦未來車      ,"600,000",0,"600,000"
 ,8210  ,勤誠            ,"551,000","1,000","550,000"
 ,2610  ,華航            ,"556,000","8,000","548,000"
 ,2379  ,瑞昱            ,"948,000","458,000","490,000"
 ,1795  ,美時            ,"431,000",0,"431,000"
 ,2301  ,光寶科          ,"2,321,000","1,952,000","369,000"
 ,2352  ,佳世達          ,"358,000","28,000","330,000"
 ,9921  ,巨大            ,"325,000","1,000","324,000"
 ,3023  ,信邦            ,"313,000","5,000","308,000"
 ,2330  ,台積電          ,"953,000","734,000","219,000"
 ,2385  ,群光            ,"250,000","34,000","216,000"
 ,3189  ,景碩            ,"215,000","1,000","214,000"
 ,6285  ,啟��            ,"205,000","5,000","200,000"
 ,6669  ,緯穎            ,"333,000","143,000","190,000"
 ,8112  ,至上            ,"182,000",0,"182,000"
 ,8996  ,高力            ,"176,000",0,"176,000"
 ,2731  ,雄獅            ,"171,000",0,"171,000"
 ,8016  ,矽創            ,"169,000",0,"169,000"
 ,6112  ,邁達特          ,"150,000",0,"150,000"
 ,5234  ,達興材料        ,"150,000","3,000","147,000"
 ,2059  ,川湖            ,"128,000",0,"128,000"
 ,6191  ,精成科          ,"121,000","2,000","119,000"
 ,3014  ,聯陽            ,"105,000","1,000","104,000"
 ,3596  ,智易            ,"92,000","4,000","88,000"
 ,3008  ,大立光          ,"111,310","29,000","82,310"
 ,4755  ,三福化          ,"68,000",0,"68,000"
 ,2454  ,聯發科          ,"167,000","101,000","66,000"
 ,5469  ,瀚宇博          ,"75,000","12,000","63,000"
 ,8081  ,致新            ,"53,000",0,"53,000"
 ,1304  ,台聚            ,"52,000","1,000","51,000"
 ,2887  ,台新新光金      ,"59,000","12,000","47,000"
 ,4766  ,南寶            ,"40,000",0,"40,000"
 ,2103  ,台橡            ,"42,000","3,000","39,000"
 ,1476  ,儒鴻            ,"49,000","16,000","33,000"
 ,6414  ,樺漢            ,"29,000",0,"29,000"
 ,1519  ,華城            ,"25,000","1,000","24,000"
 ,2368  ,金像電          ,"576,000","553,600","22,400"
 ,2345  ,智邦            ,"32,000","10,000","22,000"
 ,4551  ,智伸科          ,"21,000",0,"21,000"
 ,2108  ,南帝            ,"20,000","2,000","18,000"
 ,2723  ,美食-KY         ,"50,000","32,000","18,000"
 ,2031  ,新光鋼          ,"16,000","1,000","15,000"
 ,2360  ,致茂            ,"32,000","17,000","15,000"
 ,9942  ,茂順            ,"45,000","30,000","15,000"
 ,2323  ,中環            ,"14,000",0,"14,000"
 ,1326  ,台化            ,"18,000","6,000","12,000"
 ,2006  ,東和鋼鐵        ,"20,000","9,000","11,000"
 ,2371  ,大同            ,"34,000","24,000","10,000"
 ,8478  ,東哥遊艇        ,"10,000",0,"10,000"
 ,1609  ,大亞            ,"9,000",0,"9,000"
 ,"=""0052  """,富邦科技        ,"8,000",0,"8,000"
 ,2609  ,陽明            ,"10,000","3,000","7,000"
 ,4763  ,材料*-KY        ,"6,000",0,"6,000"
 ,2615  ,萬海            ,"8,000","3,000","5,000"
 ,3583  ,辛耘            ,"5,000",0,"5,000"
 ,4770  ,上品            ,"4,000",0,"4,000"
 ,1229  ,聯華            ,"5,000","2,000","3,000"
 ,1514  ,亞力            ,"3,000",0,"3,000"
 ,1522  ,堤維西          ,"3,000",0,"3,000"
 ,1722  ,台肥            ,"4,000","1,000","3,000"
 ,2399  ,映泰            ,"3,000",0,"3,000"
 ,6592  ,和潤企業        ,"3,000",0,"3,000"
 ,1528  ,恩德            ,"2,000",0,"2,000"
 ,2395  ,研華            ,"5,000","3,000","2,000"
 ,2419  ,仲琦            ,"2,000",0,"2,000"
 ,2458  ,義隆            ,"2,000",0,"2,000"
 ,2486  ,一詮            ,"3,000","1,000","2,000"
 ,2912  ,統一超          ,"3,000","1,000","2,000"
 ,3038  ,全台            ,"2,000",0,"2,000"
 ,3591  ,艾笛森          ,"2,000",0,"2,000"
 ,1449  ,佳和            ,"1,000",0,"1,000"
 ,1590  ,亞德客-KY       ,"1,000",0,"1,000"
 ,1603  ,華電            ,"2,000","1,000","1,000"
 ,1789  ,神隆            ,"4,000","3,000","1,000"
 ,2236  ,百達-KY         ,"1,000",0,"1,000"
 ,2425  ,承啟            ,"1,000",0,"1,000"
 ,2441  ,超豐            ,"2,000","1,000","1,000"
 ,2468  ,華經            ,"1,000",0,"1,000"
 ,2630  ,亞航            ,"1,000",0,"1,000"
 ,2722  ,夏都            ,"1,000",0,"1,000"
 ,3036  ,文曄            ,"9,000","8,000","1,000"
 ,3046  ,建��            ,"1,000",0,"1,000"
 ,3055  ,蔚華科          ,"1,000",0,"1,000"
 ,3308  ,聯德            ,"1,000",0,"1,000"
 ,3346  ,麗清            ,"1,000",0,"1,000"
 ,3454  ,晶睿            ,"1,000",0,"1,000"
 ,3518  ,柏騰            ,"1,000",0,"1,000"
 ,3592  ,瑞鼎            ,"1,000",0,"1,000"
 ,3617  ,碩天            ,"1,000",0,"1,000"
 ,3714  ,富采            ,"1,000",0,"1,000"
 ,4916  ,事欣科          ,"1,000",0,"1,000"
 ,4961  ,天鈺            ,"1,000",0,"1,000"
 ,6202  ,盛群            ,"2,000","1,000","1,000"
 ,6243  ,迅杰            ,"1,000",0,"1,000"
 ,6491  ,晶碩            ,"1,000",0,"1,000"
 ,6776  ,展�眥篕�        ,"1,000",0,"1,000"
 ,6789  ,采鈺            ,"1,000",0,"1,000"
 ,2883  ,凱基金          ,"82,000","20,416,000","-20,334,000"
 ,1513  ,中興電          ,"6,000","16,417,000","-16,411,000"
 ,3231  ,緯創            ,"62,000","6,018,000","-5,956,000"
 ,2353  ,宏��            ,"322,000","6,265,000","-5,943,000"
 ,2303  ,聯電            ,"312,000","5,502,000","-5,190,000"
 ,9904  ,寶成            ,0,"4,212,000","-4,212,000"
 ,2408  ,南亞科          ,"18,000","4,114,000","-4,096,000"
 ,1605  ,華新            ,"13,000","3,662,000","-3,649,000"
 ,1303  ,南亞            ,"44,000","3,472,000","-3,428,000"
 ,2347  ,聯強            ,"315,000","3,598,000","-3,283,000"
 ,2637  ,慧洋-KY         ,0,"3,236,000","-3,236,000"
 ,4904  ,遠傳            ,"9,000","3,170,000","-3,161,000"
 ,4938  ,和碩            ,"89,000","3,231,000","-3,142,000"
 ,1301  ,台塑            ,"34,000","2,685,000","-2,651,000"
 ,2201  ,裕隆            ,0,"2,225,360","-2,225,360"
 ,2412  ,中華電          ,"44,000","2,075,000","-2,031,000"
 ,6176  ,瑞儀            ,"150,000","2,086,000","-1,936,000"
 ,1402  ,遠東新          ,"21,000","1,760,000","-1,739,000"
 ,2204  ,中華            ,0,"1,629,000","-1,629,000"
 ,2603  ,長榮            ,"7,000","1,513,000","-1,506,000"
 ,2324  ,仁寶            ,"5,000","1,323,000","-1,318,000"
 ,6806  ,森崴能源        ,0,"1,225,000","-1,225,000"
 ,2881  ,富邦金          ,"38,000","1,259,000","-1,221,000"
 ,"=""0050  """,元大台灣50      ,0,"1,134,000","-1,134,000"
 ,1102  ,亞泥            ,"444,000","1,577,000","-1,133,000"
 ,2885  ,元大金          ,"62,000","1,132,000","-1,070,000"
 ,2351  ,順德            ,0,"1,067,000","-1,067,000"
 ,3037  ,欣興            ,"296,000","1,234,000","-938,000"
 ,2606  ,裕民            ,0,"859,000","-859,000"
 ,4958  ,臻鼎-KY         ,"219,000","1,047,000","-828,000"
 ,3042  ,晶技            ,"4,000","763,000","-759,000"
 ,5876  ,上海商銀        ,"20,000","779,000","-759,000"
 ,2455  ,全新            ,0,"719,000","-719,000"
 ,3034  ,聯詠            ,"57,000","758,000","-701,000"
 ,3044  ,健鼎            ,"548,000","1,234,000","-686,000"
