Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
 ,2303  ,聯電            ,"8,664,671","14,000","8,650,671"
 ,2890  ,永豐金          ,"5,679,000","64,000","5,615,000"
 ,1402  ,遠東新          ,"5,370,000",0,"5,370,000"
 ,2609  ,陽明            ,"4,247,000",0,"4,247,000"
 ,2324  ,仁寶            ,"4,172,000",0,"4,172,000"
 ,2891  ,中信金          ,"3,237,509","64,000","3,173,509"
 ,2892  ,第一金          ,"2,580,581","13,000","2,567,581"
 ,5876  ,上海商銀        ,"2,559,000","3,000","2,556,000"
 ,1101  ,台泥            ,"2,354,216","6,000","2,348,216"
 ,2886  ,兆豐金          ,"2,106,000","39,000","2,067,000"
 ,2618  ,長榮航          ,"2,004,000",0,"2,004,000"
 ,2615  ,萬海            ,"1,995,000",0,"1,995,000"
 ,4904  ,遠傳            ,"1,608,000",0,"1,608,000"
 ,2353  ,宏��            ,"1,500,000",0,"1,500,000"
 ,1303  ,南亞            ,"1,443,368","5,000","1,438,368"
 ,2603  ,長榮            ,"1,131,613","1,000","1,130,613"
 ,3711  ,日月光投控      ,"1,561,444","503,000","1,058,444"
 ,1216  ,統一            ,"1,056,545","19,000","1,037,545"
 ,2449  ,京元電子        ,"991,025",0,"991,025"
 ,6176  ,瑞儀            ,"963,173",0,"963,173"
 ,6239  ,力成            ,"917,166","7,000","910,166"
 ,2376  ,技嘉            ,"869,000","20,000","849,000"
 ,1102  ,亞泥            ,"777,000","17,000","760,000"
 ,3702  ,大聯大          ,"756,012","19,000","737,012"
 ,2105  ,正新            ,"714,498",0,"714,498"
 ,2352  ,佳世達          ,"724,000","10,000","714,000"
 ,3045  ,台灣大          ,"691,000","1,000","690,000"
 ,2385  ,群光            ,"682,123",0,"682,123"
 ,2368  ,金像電          ,"671,000","10,000","661,000"
 ,8046  ,南電            ,"651,735",0,"651,735"
 ,3044  ,健鼎            ,"855,000","204,000","651,000"
 ,2474  ,可成            ,"627,500","6,000","621,500"
 ,8016  ,矽創            ,"597,351",0,"597,351"
 ,2382  ,廣達            ,"715,668","147,000","568,668"
 ,3017  ,奇鋐            ,"680,000","124,000","556,000"
 ,4746  ,台耀            ,"415,000",0,"415,000"
 ,2404  ,漢唐            ,"405,000",0,"405,000"
 ,2379  ,瑞昱            ,"419,976","17,000","402,976"
 ,4961  ,天鈺            ,"393,000",0,"393,000"
 ,6257  ,矽格            ,"373,146",0,"373,146"
 ,1503  ,士電            ,"341,000",0,"341,000"
 ,2439  ,美律            ,"300,000",0,"300,000"
 ,2731  ,雄獅            ,"284,000",0,"284,000"
 ,2634  ,漢翔            ,"271,000",0,"271,000"
 ,4536  ,拓凱            ,"268,000",0,"268,000"
 ,6770  ,力積電          ,"274,000","17,000","257,000"
 ,2357  ,華碩            ,"256,000",0,"256,000"
 ,1795  ,美時            ,"253,858",0,"253,858"
 ,8150  ,南茂            ,"250,000",0,"250,000"
 ,4915  ,致伸            ,"243,497",0,"243,497"
 ,3035  ,智原            ,"231,000",0,"231,000"
 ,6278  ,台表科          ,"241,000","20,000","221,000"
 ,3034  ,聯詠            ,"270,037","50,000","220,037"
 ,2454  ,聯發科          ,"276,653","60,500","216,153"
 ,9938  ,百和            ,"185,000",0,"185,000"
 ,4938  ,和碩            ,"186,410","2,000","184,410"
 ,2347  ,聯強            ,"173,742",0,"173,742"
 ,2317  ,鴻海            ,"184,859","13,000","171,859"
 ,4958  ,臻鼎-KY         ,"165,000",0,"165,000"
 ,2204  ,中華            ,"164,000",0,"164,000"
 ,3014  ,聯陽            ,"150,000",0,"150,000"
 ,2455  ,全新            ,"143,000",0,"143,000"
 ,9958  ,世紀鋼          ,"138,000",0,"138,000"
 ,2605  ,新興            ,"132,000",0,"132,000"
 ,1319  ,東陽            ,"118,000",0,"118,000"
 ,2337  ,旺宏            ,"117,000",0,"117,000"
 ,6515  ,穎崴            ,"114,000",0,"114,000"
 ,8996  ,高力            ,"111,000",0,"111,000"
 ,3036  ,文曄            ,"103,000",0,"103,000"
 ,8464  ,億豐            ,"100,000",0,"100,000"
 ,8210  ,勤誠            ,"71,000",0,"71,000"
 ,4770  ,上品            ,"80,000","18,000","62,000"
 ,9917  ,中保科          ,"62,000",0,"62,000"
 ,3443  ,創意            ,"110,000","52,000","58,000"
 ,2006  ,東和鋼鐵        ,"55,000",0,"55,000"
 ,3515  ,華擎            ,"54,000",0,"54,000"
 ,6531  ,愛普*           ,"82,000","31,000","51,000"
 ,6805  ,富世達          ,"51,000",0,"51,000"
 ,6719  ,力智            ,"50,000",0,"50,000"
 ,5269  ,祥碩            ,"58,000","12,000","46,000"
 ,6691  ,洋基工程        ,"63,000","17,000","46,000"
 ,2301  ,光寶科          ,"42,000","10,000","32,000"
 ,6781  ,AES-KY          ,"31,000",0,"31,000"
 ,2727  ,王品            ,"29,000",0,"29,000"
 ,3189  ,景碩            ,"28,000",0,"28,000"
