Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
 ,2891  ,中信金          ,"7,620,000","356,860","7,263,140"
 ,1303  ,南亞            ,"7,219,000","500,000","6,719,000"
 ,"=""00878 """,國泰永續高股息  ,"3,500,000",0,"3,500,000"
 ,2882  ,國泰金          ,"3,700,000","210,620","3,489,380"
 ,4958  ,臻鼎-KY         ,"3,446,000","122,073","3,323,927"
 ,2301  ,光寶科          ,"2,942,000","3,471","2,938,529"
 ,2884  ,玉山金          ,"2,768,000","10,513","2,757,487"
 ,2881  ,富邦金          ,"1,622,000","120,846","1,501,154"
 ,2404  ,漢唐            ,"1,135,000","119,590","1,015,410"
 ,2474  ,可成            ,"1,009,000","8,350","1,000,650"
 ,2308  ,台達電          ,"1,006,000","163,488","842,512"
 ,3167  ,大量            ,"735,000",0,"735,000"
 ,2449  ,京元電子        ,"1,544,000","891,146","652,854"
 ,3037  ,欣興            ,"1,536,000","908,000","628,000"
 ,3044  ,健鼎            ,"873,000","476,560","396,440"
 ,1536  ,和大            ,"385,000",0,"385,000"
 ,6669  ,緯穎            ,"372,100","3,002","369,098"
 ,2313  ,華通            ,"322,000",0,"322,000"
 ,3665  ,貿聯-KY         ,"432,000","113,227","318,773"
 ,8070  ,長華*           ,"300,000",0,"300,000"
 ,2360  ,致茂            ,"298,000",662,"297,338"
 ,2002  ,中鋼            ,"272,000",136,"271,864"
 ,2376  ,技嘉            ,"512,000","253,000","259,000"
 ,2886  ,兆豐金          ,"267,000","9,000","258,000"
 ,2892  ,第一金          ,"266,000","9,908","256,092"
 ,5880  ,合庫金          ,"265,000","10,000","255,000"
 ,2027  ,大成鋼          ,"248,000",0,"248,000"
 ,2344  ,華邦電          ,"250,000","30,000","220,000"
 ,2345  ,智邦            ,"232,000","21,000","211,000"
 ,3715  ,定穎投控        ,"200,000",0,"200,000"
 ,2801  ,彰銀            ,"201,000","7,120","193,880"
 ,2330  ,台積電          ,"272,000","101,078","170,922"
 ,2377  ,微星            ,"170,000",0,"170,000"
 ,2834  ,臺企銀          ,"166,000","6,000","160,000"
 ,6438  ,迅得            ,"143,000",0,"143,000"
 ,2385  ,群光            ,"229,000","90,938","138,062"
 ,2383  ,台光電          ,"137,000","1,000","136,000"
 ,6196  ,帆宣            ,"128,000",0,"128,000"
 ,"=""006208""",富邦台50        ,"126,000",0,"126,000"
 ,8996  ,高力            ,"124,100",0,"124,100"
 ,2412  ,中華電          ,"136,000","14,650","121,350"
 ,2356  ,英業達          ,"122,000","2,000","120,000"
 ,1402  ,遠東新          ,"145,000","27,172","117,828"
 ,1216  ,統一            ,"109,000",0,"109,000"
 ,8028  ,昇陽半導體      ,"126,000","21,000","105,000"
 ,3605  ,宏致            ,"100,000",0,"100,000"
 ,2890  ,永豐金          ,"280,000","180,509","99,491"
 ,3017  ,奇鋐            ,"107,000","10,000","97,000"
 ,1477  ,聚陽            ,"110,000","13,030","96,970"
 ,8210  ,勤誠            ,"156,000","61,000","95,000"
 ,3036  ,文曄            ,"118,000","25,000","93,000"
 ,2845  ,遠東銀          ,"90,000","4,000","86,000"
 ,5876  ,上海商銀        ,"86,000","3,195","82,805"
 ,6442  ,光聖            ,"80,000",0,"80,000"
 ,2371  ,大同            ,"97,100","22,000","75,100"
 ,2889  ,國票金          ,"76,000","1,000","75,000"
 ,6472  ,保瑞            ,"73,000",0,"73,000"
 ,2609  ,陽明            ,"100,000","30,000","70,000"
 ,1102  ,亞泥            ,"74,000","4,058","69,942"
 ,2347  ,聯強            ,"140,000","71,920","68,080"
 ,2354  ,鴻準            ,"64,000",0,"64,000"
 ,1522  ,堤維西          ,"60,000","5,630","54,370"
 ,9904  ,寶成            ,"51,000","4,000","47,000"
 ,6415  ,矽力*-KY        ,"43,000",0,"43,000"
 ,3045  ,台灣大          ,"54,000","12,544","41,456"
 ,2897  ,王道銀行        ,"40,000",0,"40,000"
 ,3014  ,聯陽            ,"76,000","37,150","38,850"
 ,2883  ,凱基金          ,"219,000","181,484","37,516"
 ,6805  ,富世達          ,"33,000",0,"33,000"
 ,6412  ,群電            ,"50,000","17,630","32,370"
 ,2880  ,華南金          ,"34,000","7,000","27,000"
 ,6197  ,佳必琪          ,"27,000","1,000","26,000"
 ,2059  ,川湖            ,"29,000","3,002","25,998"
 ,3004  ,豐達科          ,"25,000",0,"25,000"
 ,2353  ,宏��            ,"29,000","4,397","24,603"
 ,3661  ,世芯-KY         ,"20,000",0,"20,000"
 ,2206  ,三陽工業        ,"15,000",0,"15,000"
 ,3563  ,牧德            ,"15,000",0,"15,000"
 ,2618  ,長榮航          ,"120,000","106,591","13,409"
 ,3702  ,大聯大          ,"20,000","9,052","10,948"
 ,3583  ,辛耘            ,"10,000",0,"10,000"
 ,6176  ,瑞儀            ,"37,000","31,660","5,340"
 ,6239  ,力成            ,"14,000","8,720","5,280"
 ,2617  ,台航            ,"5,000",0,"5,000"
 ,4755  ,三福化          ,"5,000",0,"5,000"
 ,1442  ,名軒            ,"4,000",0,"4,000"
 ,2395  ,研華            ,"4,000",9,"3,991"
 ,2850  ,新產            ,"3,000",0,"3,000"
 ,5871  ,中租-KY         ,"12,000","10,000","2,000"
 ,9911  ,櫻花            ,"2,000",0,"2,000"
 ,9927  ,泰銘            ,"2,000",0,"2,000"
 ,1537  ,廣隆            ,"1,000",0,"1,000"
 ,1720  ,生達            ,"2,000","1,000","1,000"
 ,2348  ,海悅            ,"1,000",0,"1,000"
 ,4536  ,拓凱            ,"1,000",0,"1,000"
 ,6515  ,穎崴            ,"1,000",0,"1,000"
 ,3231  ,緯創            ,"378,000","21,131,319","-20,753,319"
 ,2382  ,廣達            ,"249,000","4,370,850","-4,121,850"
 ,2885  ,元大金          ,0,"3,930,000","-3,930,000"
 ,3481  ,群創            ,0,"2,854,000","-2,854,000"
 ,6191  ,精成科          ,0,"2,736,000","-2,736,000"
 ,2409  ,友達            ,0,"2,462,470","-2,462,470"
 ,2303  ,聯電            ,"1,225,000","3,642,476","-2,417,476"
