Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
 ,2303  ,聯電            ,"22,717,964","438,000","22,279,964"
 ,2890  ,永豐金          ,"17,040,000","30,000","17,010,000"
 ,2891  ,中信金          ,"16,316,000","47,000","16,269,000"
 ,2892  ,第一金          ,"13,205,000","28,000","13,177,000"
 ,4904  ,遠傳            ,"6,988,913",0,"6,988,913"
 ,"=""00713 """,元大台灣高息低波,"6,173,000",0,"6,173,000"
 ,2618  ,長榮航          ,"6,161,000",0,"6,161,000"
 ,3045  ,台灣大          ,"5,762,566","37,000","5,725,566"
 ,2885  ,元大金          ,"5,667,358","30,000","5,637,358"
 ,2301  ,光寶科          ,"5,200,000",0,"5,200,000"
 ,2324  ,仁寶            ,"5,174,511",0,"5,174,511"
 ,2353  ,宏��            ,"4,787,000",0,"4,787,000"
 ,3711  ,日月光投控      ,"4,649,415","40,000","4,609,415"
 ,4938  ,和碩            ,"4,575,147",0,"4,575,147"
 ,2886  ,兆豐金          ,"4,368,000","28,000","4,340,000"
 ,3702  ,大聯大          ,"4,231,000","3,000","4,228,000"
 ,1402  ,遠東新          ,"4,100,000","10,000","4,090,000"
 ,1101  ,台泥            ,"4,003,646","15,000","3,988,646"
 ,4915  ,致伸            ,"3,370,236",0,"3,370,236"
 ,2889  ,國票金          ,"3,211,000",0,"3,211,000"
 ,5876  ,上海商銀        ,"3,178,166","1,000","3,177,166"
 ,2882  ,國泰金          ,"3,332,000","247,000","3,085,000"
 ,2356  ,英業達          ,"2,981,000",0,"2,981,000"
 ,8112  ,至上            ,"2,796,767",0,"2,796,767"
 ,2883  ,凱基金          ,"2,568,000","1,000","2,567,000"
 ,5534  ,長虹            ,"2,427,000",0,"2,427,000"
 ,2809  ,京城銀          ,"2,423,000",0,"2,423,000"
 ,2881  ,富邦金          ,"2,427,087","23,000","2,404,087"
 ,3034  ,聯詠            ,"2,313,042","87,000","2,226,042"
 ,2449  ,京元電子        ,"2,186,947",0,"2,186,947"
 ,2880  ,華南金          ,"2,164,000","25,000","2,139,000"
 ,2347  ,聯強            ,"2,418,000","358,000","2,060,000"
 ,2105  ,正新            ,"1,958,000",0,"1,958,000"
 ,2474  ,可成            ,"1,914,346","2,000","1,912,346"
 ,6177  ,達麗            ,"1,900,000",0,"1,900,000"
 ,6191  ,精成科          ,"1,848,000",0,"1,848,000"
 ,2330  ,台積電          ,"1,829,173","28,000","1,801,173"
 ,3231  ,緯創            ,"1,788,000",0,"1,788,000"
