Unnamed: 0,證券代號,證券名稱,買進股數,賣出股數,買賣超股數
 ,6005  ,群益證          ,"11,001,000","524,000","10,477,000"
 ,2891  ,中信金          ,"8,223,362","1,226,943","6,996,419"
 ,2504  ,國產            ,"3,237,000","150,000","3,087,000"
 ,3665  ,貿聯-KY         ,"1,948,100",0,"1,948,100"
 ,2383  ,台光電          ,"1,127,000","6,590","1,120,410"
 ,9958  ,世紀鋼          ,"894,000",0,"894,000"
 ,2455  ,全新            ,"846,000","6,000","840,000"
 ,1216  ,統一            ,"830,244","10,981","819,263"
 ,2610  ,華航            ,"756,000","1,063","754,937"
 ,"=""0050  """,元大台灣50      ,"726,000",0,"726,000"
 ,2474  ,可成            ,"721,000","10,639","710,361"
 ,3030  ,德律            ,"663,100",0,"663,100"
 ,2451  ,創見            ,"711,000","89,000","622,000"
 ,2454  ,聯發科          ,"629,000","68,967","560,033"
 ,2548  ,華固            ,"552,500","4,000","548,500"
 ,2308  ,台達電          ,"547,000","9,435","537,565"
 ,4938  ,和碩            ,"831,000","317,714","513,286"
 ,2618  ,長榮航          ,"500,000","18,494","481,506"
 ,2354  ,鴻準            ,"488,000","15,423","472,577"
 ,5876  ,上海商銀        ,"442,645","5,938","436,707"
 ,3450  ,聯鈞            ,"410,000",0,"410,000"
 ,2330  ,台積電          ,"731,000","343,368","387,632"
 ,1102  ,亞泥            ,"420,765","48,778","371,987"
 ,2836  ,高雄銀          ,"354,000",0,"354,000"
 ,5434  ,崇越            ,"379,000","31,535","347,465"
 ,2903  ,遠百            ,"374,000","30,000","344,000"
 ,2006  ,東和鋼鐵        ,"360,000","21,765","338,235"
 ,1519  ,華城            ,"336,000",97,"335,903"
 ,8016  ,矽創            ,"320,000","15,680","304,320"
 ,2204  ,中華            ,"408,000","122,456","285,544"
 ,1909  ,榮成            ,"279,000",0,"279,000"
 ,3711  ,日月光投控      ,"422,000","151,950","270,050"
 ,2883  ,凱基金          ,"271,000","2,562","268,438"
 ,6526  ,達發            ,"262,100","2,000","260,100"
 ,2379  ,瑞昱            ,"266,000","29,746","236,254"
 ,2885  ,元大金          ,"596,839","368,516","228,323"
 ,6706  ,惠特            ,"200,000",0,"200,000"
 ,6789  ,采鈺            ,"190,000","2,000","188,000"
 ,2887  ,台新新光金      ,"174,634","5,674","168,960"
 ,2408  ,南亞科          ,"178,000","11,813","166,187"
 ,1402  ,遠東新          ,"206,000","40,340","165,660"
 ,2317  ,鴻海            ,"658,000","504,134","153,866"
 ,3017  ,奇鋐            ,"162,000","22,564","139,436"
 ,6176  ,瑞儀            ,"232,000","94,672","137,328"
 ,8070  ,長華*           ,"150,300","19,000","131,300"
 ,6214  ,精誠            ,"136,000","12,919","123,081"
 ,2884  ,玉山金          ,"120,787","1,344","119,443"
 ,2331  ,精英            ,"119,000",0,"119,000"
 ,6415  ,矽力*-KY        ,"117,500","1,000","116,500"
 ,2880  ,華南金          ,"154,230","41,000","113,230"
 ,2337  ,旺宏            ,"111,000",0,"111,000"
 ,5880  ,合庫金          ,"109,125",0,"109,125"
 ,3008  ,大立光          ,"106,600",179,"106,421"
 ,8112  ,至上            ,"136,000","30,444","105,556"
 ,5269  ,祥碩            ,"119,000","15,046","103,954"
 ,6770  ,力積電          ,"114,000","10,507","103,493"
 ,2002  ,中鋼            ,"117,000","15,398","101,602"
 ,8081  ,致新            ,"107,000","8,496","98,504"
 ,2439  ,美律            ,"98,000",0,"98,000"
 ,3704  ,合勤控          ,"93,000",0,"93,000"
 ,1215  ,卜蜂            ,"92,000",0,"92,000"
 ,2801  ,彰銀            ,"90,634","1,056","89,578"
 ,2352  ,佳世達          ,"101,000","11,915","89,085"
 ,2355  ,敬鵬            ,"86,000",0,"86,000"
 ,1712  ,興農            ,"92,000","6,216","85,784"
 ,6691  ,洋基工程        ,"85,100",0,"85,100"
 ,2351  ,順德            ,"158,000","80,000","78,000"
 ,2009  ,第一銅          ,"76,000",0,"76,000"
 ,6515  ,穎崴            ,"74,000","1,000","73,000"
 ,5871  ,中租-KY         ,"271,000","203,229","67,771"
 ,1702  ,南僑            ,"66,000",0,"66,000"
 ,9917  ,中保科          ,"73,000","7,127","65,873"
 ,2363  ,矽統            ,"66,000","2,000","64,000"
 ,2535  ,達欣工          ,"64,000",0,"64,000"
 ,6271  ,同欣電          ,"64,000",0,"64,000"
 ,2890  ,永豐金          ,"120,507","57,980","62,527"
 ,3016  ,嘉晶            ,"62,000",0,"62,000"
 ,2014  ,中鴻            ,"60,000",0,"60,000"
 ,6805  ,富世達          ,"60,000",0,"60,000"
 ,1903  ,士紙            ,"59,000",0,"59,000"
 ,2356  ,英業達          ,"60,000","2,137","57,863"
