日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數,Unnamed: 6
114/01/02,"6,901,476,303","379,129,283,886","2,742,811","22,832.06",-203.04,
114/01/03,"6,197,928,734","337,042,271,244","2,339,640","22,908.30",76.24,
114/01/06,"7,153,019,323","423,854,591,358","2,639,684","23,547.71",639.41,
114/01/07,"7,417,093,353","439,064,706,443","2,744,930","23,651.27",103.56,
114/01/08,"6,069,785,523","371,279,269,125","2,344,230","23,407.33",-243.94,
114/01/09,"6,729,365,148","393,066,234,237","3,063,642","23,081.13",-326.2,
114/01/10,"6,018,777,446","342,751,185,595","2,521,832","23,011.86",-69.27,
114/01/13,"7,967,679,227","461,468,820,203","3,554,335","22,488.33",-523.53,
114/01/14,"5,077,382,309","281,221,487,413","1,935,288","22,797.52",309.19,
114/01/15,"5,200,875,025","301,546,910,953","2,279,582","22,514.57",-282.95,
114/01/16,"5,748,443,851","342,212,868,225","2,045,603","23,025.10",510.53,
114/01/17,"5,442,058,343","328,202,713,193","2,082,292","23,148.08",122.98,
114/01/20,"5,022,728,587","279,923,971,725","1,896,537","23,266.82",118.74,
114/01/21,"4,315,813,970","262,317,819,587","1,731,831","23,300.01",33.19,
114/01/22,"5,160,999,257","357,689,238,684","2,141,691","23,525.41",225.4,
說明:,,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,,
