日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數,Unnamed: 6
114/10/01,"7,679,791,251","468,840,061,902","3,129,297","25,982.91",162.37,
114/10/02,"8,085,314,896","506,683,446,386","3,240,734","26,378.39",395.48,
114/10/03,"7,784,825,692","480,095,576,070","3,218,063","26,761.06",382.67,
114/10/07,"9,348,656,371","575,780,610,445","3,811,647","27,211.95",450.89,
114/10/08,"8,261,189,883","471,275,287,964","3,551,145","27,063.68",-148.27,
114/10/09,"9,444,331,803","582,670,484,489","3,900,659","27,301.92",238.24,
114/10/13,"10,191,083,804","608,460,235,868","4,675,496","26,923.42",-378.5,
114/10/14,"12,066,540,173","709,086,353,790","5,032,547","26,793.15",-130.27,
114/10/15,"8,387,861,014","521,429,411,299","3,394,353","27,275.71",482.56,
114/10/16,"9,035,460,141","565,481,652,363","3,459,021","27,647.87",372.16,
114/10/17,"8,962,849,575","556,452,817,043","3,811,384","27,302.37",-345.5,
114/10/20,"8,045,886,081","498,961,206,376","3,374,485","27,688.63",386.26,
114/10/21,"8,507,303,277","528,880,140,832","3,656,829","27,752.41",63.78,
114/10/22,"7,835,590,935","463,157,561,102","3,409,615","27,648.91",-103.5,
114/10/23,"7,318,554,768","434,561,455,546","3,223,519","27,532.26",-116.65,
114/10/27,"9,337,097,751","564,293,629,882","3,731,394","27,993.63",461.37,
114/10/28,"8,579,810,711","555,663,566,461","3,915,558","27,949.11",-44.52,
114/10/29,"9,076,231,278","594,219,629,472","3,840,769","28,294.74",345.63,
114/10/30,"9,446,378,341","633,558,030,252","4,261,236","28,287.53",-7.21,
114/10/31,"8,339,995,492","576,144,513,446","3,685,497","28,233.35",-54.18,
說明:,,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,,
