日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數,Unnamed: 6
114/10/01,"7,679,791,251","468,840,061,902","3,129,297","25,982.91",162.37,
114/10/02,"8,085,314,896","506,683,446,386","3,240,734","26,378.39",395.48,
114/10/03,"7,784,825,692","480,095,576,070","3,218,063","26,761.06",382.67,
114/10/07,"9,348,656,371","575,780,610,445","3,811,647","27,211.95",450.89,
114/10/08,"8,261,189,883","471,275,287,964","3,551,145","27,063.68",-148.27,
114/10/09,"9,444,331,803","582,670,484,489","3,900,659","27,301.92",238.24,
114/10/13,"10,191,083,804","608,460,235,868","4,675,496","26,923.42",-378.5,
114/10/14,"12,066,540,173","709,086,353,790","5,032,547","26,793.15",-130.27,
說明:,,,,,,
當日統計資訊含大盤、零股、盤後定價及鉅額交易，不含拍賣、標購。,,,,,,
外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。,,,,,,
