Unnamed: 0,融券賣出成交,Unnamed: 2,借券賣出成交,Unnamed: 4
證券名稱,數量,金額,數量,金額
"=""00881   國泰台灣科技龍頭""",2,"59,280",4,"119,080"
"=""00882   中信中國高股息  """,72,"1,091,970",0,0
"=""00885   富邦越南        """,12,"195,900",0,0
"=""00891   中信關鍵半導體  """,0,0,0,0
"=""00892   富邦台灣半導體  """,0,0,0,0
"=""00893   國泰智能電動車  """,0,0,708,"21,435,280"
"=""00894   中信小資高價30  """,0,0,0,0
"=""00895   富邦未來車      """,3,"109,070",0,0
"=""00896   中信綠能及電動車""",0,0,0,0
"=""00897   富邦基因免疫生技""",0,0,0,0
"=""00898   國泰基因免疫革命""",0,0,0,0
"=""00899   FT潔淨能源      """,0,0,0,0
"=""00900   富邦特選高股息30""",0,0,"5,994","77,145,410"
"=""00901   永豐智能車供應鏈""",0,0,121,"3,101,430"
"=""00902   中信電池及儲能  """,0,0,65,"825,500"
"=""00903   富邦元宇宙      """,0,0,0,0
"=""00904   新光臺灣半導體30""",0,0,0,0
"=""00905   FT臺灣Smart     """,0,0,21,"335,670"
"=""00907   永豐優息存股    """,0,0,0,0
"=""00908   富邦入息REITs+  """,0,0,0,0
"=""00909   國泰數位支付服務""",23,"868,710",12,"455,880"
"=""00910   第一金太空衛星  """,0,0,0,0
"=""00911   兆豐洲際半導體  """,0,0,0,0
"=""00912   中信臺灣智慧50  """,0,0,0,0
"=""00913   兆豐台灣晶圓製造""",0,0,0,0
"=""00915   凱基優選高股息30""",0,0,29,"630,060"
"=""00916   國泰全球品牌50  """,0,0,0,0
"=""00917   中信特選金融    """,0,0,0,0
"=""00918   大華優利高填息30""",0,0,"1,702","37,375,410"
"=""00919   群益台灣精選高息""",30,"633,000","24,807","523,786,270"
"=""00920   富邦ESG綠色電力 """,0,0,0,0
"=""00921   兆豐龍頭等權重  """,0,0,0,0
"=""00922   國泰台灣領袖50  """,0,0,"1,648","39,219,360"
"=""00923   群益台ESG低碳50 """,0,0,9,"213,840"
"=""00924   復華S&P500成長  """,0,0,920,"25,576,800"
"=""00926   凱基全球菁英55  """,0,0,0,0
"=""00927   群益半導體收益  """,0,0,5,"97,350"
"=""00929   復華台灣科技優息""",0,0,"2,518","43,465,500"
"=""00930   永豐ESG低碳高息 """,0,0,0,0
"=""00932   兆豐永續高息等權""",0,0,0,0
"=""00934   中信成長高股息  """,0,0,0,0
"=""00935   野村臺灣新科技50""",0,0,26,"703,040"
"=""00936   台新永續高息中小""",0,0,275,"4,173,200"
"=""00938   凱基優選30      """,0,0,0,0
"=""00939   統一台灣高息動能""",0,0,226,"3,080,910"
"=""00940   元大台灣價值高息""",403,"3,639,290",300,"2,715,600"
"=""00941   中信上游半導體  """,0,0,251,"3,988,990"
"=""00943   兆豐電子高息等權""",0,0,0,0
"=""00944   野村趨勢動能高息""",0,0,0,0
"=""00945B   凱基美國非投等債""",0,0,0,0
"=""00946   群益科技高息成長""",0,0,399,"3,835,680"
"=""00947   台新臺灣IC設計  """,0,0,8,"128,800"
"=""00949   復華日本龍頭    """,0,0,0,0
"=""00951   台新日本半導體  """,2,"20,680",0,0
"=""00952   凱基台灣AI50    """,0,0,0,0
"=""00953B   群益優選非投等債""",0,0,0,0
"=""00954   中信日本半導體  """,0,0,0,0
"=""00956   中信日經高股息  """,0,0,0,0
"=""00960   野村全球航運龍頭""",0,0,0,0
"=""00961   FT臺灣永續高息  """,0,0,0,0
"=""00962   台新AI優息動能  """,0,0,0,0
"=""00963   中信全球高股息  """,0,0,0,0
"=""00964   中信亞太高股息  """,0,0,4,"45,080"
"=""00965   元大航太防衛科技""",2,"43,840",0,0
"=""00971   野村美國研發龍頭""",0,0,0,0
"=""00972   野村日本動能高息""",0,0,0,0
"=""009800   中信NASDAQ      """,0,0,394,"4,148,640"
"=""009801   中信美國創新科技""",0,0,0,0
"=""009802   富邦旗艦50      """,0,0,0,0
"=""009803   保德信市值動能50""",0,0,0,0
"=""009804   聯邦台精彩50    """,0,0,0,0
"=""009805   新光美國電力基建""",0,0,"1,731","21,212,790"
"=""009808   華南永昌優選50  """,0,0,0,0
"=""009809   富邦淨零ESG50   """,0,0,0,0
"=""00980A   主動野村臺灣優選""",0,0,99,"1,363,590"
"=""009810   保德信全球藍籌  """,0,0,5,"89,140"
"=""009811   統一美國50      """,0,0,0,0
"=""009812   野村日本東證    """,0,0,0,0
"=""009813   貝萊德標普卓越50""",0,0,860,"8,727,630"
"=""00981A   主動統一台股增長""",602,"8,922,000","6,426","95,387,600"
"=""00981T   平衡凱基雙核收息""",0,0,0,0
"=""00982A   主動群益台灣強棒""",143,"1,837,040","1,769","23,040,030"
"=""00982D   主動富邦動態入息""",0,0,0,0
"=""00983A   主動中信ARK創新 """,0,0,38,"424,840"
"=""00983D   主動富邦複合收益""",0,0,0,0
"=""00984A   主動安聯台灣高息""",0,0,"1,330","13,547,880"
"=""00985A   主動野村台灣50  """,0,0,500,"6,025,000"
"=""00985B   群益ESG投等債0-5""",0,0,0,0
"=""00986A   主動台新龍頭成長""",0,0,0,0
"=""00988A   主動統一全球創新""","2,328","21,886,440","9,119","85,192,270"
"=""00989A   主動摩根美國科技""",0,0,700,"9,947,890"
1101   台泥            ,43,"885,700","1,207","24,843,100"
1102   亞泥            ,1,"37,600",227,"8,523,600"
1103   嘉泥            ,0,0,0,0
1104   環泥            ,0,0,0,0
1108   幸福            ,0,0,0,0
1109   信大            ,0,0,2,"30,800"
1110   東泥            ,0,0,0,0
1201   味全            ,0,0,12,"177,000"
1203   味王            ,0,0,0,0
1210   大成            ,1,"51,400",113,"5,811,200"
1213   大飲            ,0,0,0,0
1215   卜蜂            ,0,0,6,"816,000"
1216   統一            ,0,0,"1,799","135,194,700"
1217   愛之味          ,0,0,0,0
1218   泰山            ,0,0,125,"2,241,900"
1219   福壽            ,0,0,0,0
1220   台榮            ,0,0,3,"37,050"
1225   福懋油          ,1,"30,400",0,0
1227   佳格            ,0,0,39,"1,185,750"
1229   聯華            ,5,"238,000",62,"2,945,000"
1231   聯華食          ,0,0,64,"6,131,800"
1232   大統益          ,0,0,0,0
1233   天仁            ,0,0,0,0
1234   黑松            ,0,0,3,"112,650"
1235   興泰            ,0,0,0,0
1236   宏亞            ,0,0,0,0
1256   鮮活果汁-KY     ,0,0,0,0
1301   台塑            ,19,"763,100","1,062","42,473,100"
1303   南亞            ,469,"24,946,000","1,522","80,595,800"
1304   台聚            ,1,"10,250",173,"1,756,950"
1305   華夏            ,11,"116,050",60,"632,950"
1307   三芳            ,1,"32,900",37,"1,217,600"
1308   亞聚            ,1,"12,200",199,"2,435,850"
1309   台達化          ,1,"10,550",8,"84,600"
1310   台苯            ,0,0,1,"8,360"
1312   國喬            ,10,"103,000",68,"699,450"
1313   聯成            ,33,"314,380",68,"647,220"
1314   中石化          ,4,"33,340","1,440","12,045,840"
1315   達新            ,0,0,0,0
1316   上曜            ,11,"153,350",291,"4,060,000"
1319   東陽            ,1,"97,500",352,"34,148,800"
1321   大洋            ,3,"107,100",12,"428,050"
1323   永裕            ,0,0,0,0
1324   地球            ,0,0,0,0
1325   恆大            ,28,"892,100",0,0
1326   台化            ,14,"449,000",756,"24,439,000"
1337   再生-KY         ,0,0,0,0
1338   廣華-KY         ,0,0,0,0
1339   昭輝            ,0,0,6,"273,650"
1340   勝悅-KY         ,0,0,60,"457,980"
