證券名稱,數量,金額,數量.1,金額.1,Unnamed: 5
"=""00851   台新全球AI      """,0,0,0,0,
"=""00852L   國泰美國道瓊正2 """,15,"240,710",0,0,
"=""00861   元大全球未來通訊""",0,0,0,0,
"=""00865B   國泰US短期公債  """,0,0,0,0,
"=""00866   新光Shiller CAPE""",0,0,0,0,
"=""00875   國泰網路資安    """,2,"59,000",0,0,
"=""00876   元大全球5G      """,0,0,0,0,
"=""00878   國泰永續高股息  """,0,0,0,0,
"=""00881   國泰台灣科技龍頭""",15,"238,050",0,0,
1101   台泥            ,0,0,"1,280","54,875,050",
1102   亞泥            ,0,0,107,"4,613,100",
1103   嘉泥            ,0,0,17,"320,550",
1104   環泥            ,0,0,5,"112,650",
1108   幸福            ,12,"143,900",0,0,
1109   信大            ,0,0,191,"3,726,750",
1110   東泥            ,0,0,0,0,
1201   味全            ,0,0,26,"564,000",
1203   味王            ,0,0,0,0,
1210   大成            ,2,"99,100",31,"1,539,750",
1213   大飲            ,0,0,0,0,
1215   卜蜂            ,0,0,7,"508,800",
1216   統一            ,0,0,32,"2,119,700",
1217   愛之味          ,10,"98,900",62,"619,600",
1218   泰山            ,0,0,17,"469,100",
1219   福壽            ,0,0,0,0,
1220   台榮            ,0,0,0,0,
1225   福懋油          ,0,0,1,"35,550",
1227   佳格            ,0,0,67,"4,045,200",
1229   聯華            ,1,"42,100",26,"1,104,450",
1231   聯華食          ,0,0,0,0,
1232   大統益          ,0,0,2,"275,500",
1233   天仁            ,0,0,0,0,
1234   黑松            ,0,0,10,"330,500",
1235   興泰            ,1,"25,700",0,0,
1236   宏亞            ,0,0,0,0,
1256   鮮活果汁-KY     ,0,0,0,0,
1301   台塑            ,2,"189,200",114,"10,765,500",
1303   南亞            ,1,"71,100",42,"2,983,800",
1304   台聚            ,23,"510,200",244,"5,413,000",
1305   華夏            ,27,"689,400",24,"619,200",
1307   三芳            ,0,0,1,"21,900",
1308   亞聚            ,9,"192,950",81,"1,734,350",
1309   台達化          ,93,"3,381,950",0,0,
1310   台苯            ,0,0,270,"4,965,550",
1312   國喬            ,36,"846,500",72,"1,740,750",
1313   聯成            ,34,"627,200",473,"8,809,900",
1314   中石化          ,720,"8,024,150","6,829","77,126,250",
1315   達新            ,0,0,4,"289,000",
1316   上曜            ,0,0,75,"900,150",
1319   東陽            ,0,0,83,"3,223,750",
1321   大洋            ,0,0,0,0,
1323   永裕            ,0,0,0,0,
1324   地球            ,0,0,0,0,
1325   恆大            ,60,"5,255,100",30,"2,690,400",
1326   台化            ,6,"498,600",172,"14,362,300",
1337   再生-KY         ,0,0,98,"889,270",
1338   廣華-KY         ,10,"649,000",1,"67,500",
1339   昭輝            ,0,0,0,0,
1340   勝悅-KY         ,0,0,36,"439,450",
1341   富林-KY         ,0,0,0,0,
1342   八貫            ,0,0,0,0,
1402   遠東新          ,4,"114,600",37,"1,060,100",
1409   新纖            ,862,"12,694,050",269,"4,182,300",
1410   南染            ,0,0,0,0,
1413   宏洲            ,0,0,0,0,
1414   東和            ,21,"270,550",0,0,
1416   廣豐            ,0,0,3,"35,250",
1417   嘉裕            ,0,0,54,"611,600",
1418   東華            ,0,0,0,0,
1419   新紡            ,0,0,0,0,
1423   利華            ,0,0,0,0,
1432   大魯閣          ,0,0,0,0,
1434   福懋            ,9,"277,200",27,"828,150",
1435   中福            ,0,0,0,0,
1436   華友聯          ,0,0,0,0,
1437   勤益控          ,0,0,0,0,
1438   三地開發        ,0,0,0,0,
1439   雋揚            ,0,0,1,"27,750",
1440   南紡            ,16,"226,100",784,"11,229,050",
1441   大東            ,0,0,0,0,
1442   名軒            ,0,0,0,0,
1443   立益物流        ,0,0,0,0,
1444   力麗            ,37,"461,300",20,"264,000",
1445   大宇            ,0,0,2,"21,900",
1446   宏和            ,0,0,1,"32,200",
1447   力鵬            ,80,"764,860","4,303","40,304,740",
1449   佳和            ,0,0,0,0,
1451   年興            ,0,0,0,0,
1452   宏益            ,0,0,0,0,
1453   大將            ,0,0,0,0,
1454   台富            ,0,0,0,0,
1455   集盛            ,44,"462,600",185,"1,971,550",
1456   怡華            ,0,0,0,0,
1457   宜進            ,3,"46,150",33,"513,150",
1459   聯發            ,0,0,0,0,
1460   宏遠            ,0,0,0,0,
1463   強盛新          ,0,0,2,"26,700",
1464   得力            ,0,0,43,"791,850",
1465   偉全            ,0,0,1,"13,350",
1466   聚隆            ,2,"35,200",47,"855,650",
1467   南緯            ,21,"409,200",127,"2,463,750",
1468   昶和            ,0,0,0,0,
1470   大統新創        ,0,0,0,0,
1471   首利            ,0,0,0,0,
1472   三洋實業        ,0,0,0,0,
1473   台南            ,0,0,1,"18,150",
1474   弘裕            ,0,0,0,0,
1475   業旺            ,0,0,0,0,
1476   儒鴻            ,5,"2,110,500",33,"13,940,000",
1477   聚陽            ,4,"744,500",71,"13,205,000",
1503   士電            ,0,0,1,"50,700",
1504   東元            ,0,0,290,"8,206,100",
1506   正道            ,0,0,0,0,
1507   永大            ,0,0,1,"62,000",
1512   瑞利            ,0,0,0,0,
1513   中興電          ,452,"21,447,750",0,0,
1514   亞力            ,11,"276,850",43,"1,086,700",
1515   力山            ,11,"798,700",35,"2,531,700",
1516   川飛            ,0,0,0,0,
1517   利奇            ,2,"28,350",33,"465,300",
1519   華城            ,71,"3,368,600",50,"2,405,950",
1521   大億            ,0,0,0,0,
1522   堤維西          ,0,0,64,"1,558,600",
1524   耿鼎            ,0,0,0,0,
1525   江申            ,0,0,7,"500,000",
1526   日馳            ,22,"980,350",14,"629,950",
1527   鑽全            ,1,"40,250",3,"120,900",
1528   恩德            ,0,0,30,"311,860",
1529   樂事綠能        ,0,0,0,0,
1530   亞崴            ,0,0,0,0,
1531   高林股          ,0,0,0,0,
1532   勤美            ,0,0,70,"2,213,800",
1533   車王電          ,0,0,31,"1,209,450",
1535   中宇            ,0,0,0,0,
1536   和大            ,41,"4,944,500",245,"29,618,000",
1537   廣隆            ,0,0,0,0,
1538   正峰            ,0,0,0,0,
1539   巨庭            ,0,0,0,0,
1540   喬福            ,0,0,2,"30,850",
1541   錩泰            ,0,0,0,0,
1558   伸興            ,0,0,0,0,
1560   中砂            ,0,0,10,"653,100",
1568   倉佑            ,0,0,54,"1,201,850",
1582   信錦            ,0,0,0,0,
1583   程泰            ,0,0,0,0,
1587   吉茂            ,2,"50,250",3,"75,100",
1589   永冠-KY         ,8,"653,800",13,"1,068,900",
1590   亞德客-KY       ,0,0,2,"1,868,000",
1592   英瑞-KY         ,16,"144,620",0,0,
1597   直得            ,1,"87,700",6,"528,000",
1598   岱宇            ,36,"4,234,000",34,"4,030,000",
1603   華電            ,0,0,0,0,
1604   聲寶            ,0,0,0,0,
1605   華新            ,37,"688,300",358,"6,864,950",
1608   華榮            ,10,"136,000","1,002","14,036,100",
1609   大亞            ,220,"4,133,900","1,296","24,571,450",
1611   中電            ,9,"137,200",368,"5,852,750",
1612   宏泰            ,13,"221,350",32,"554,550",
1614   三洋電          ,0,0,4,"143,950",
1615   大山            ,0,0,0,0,
1616   億泰            ,0,0,0,0,
1617   榮星            ,0,0,0,0,
1618   合機            ,2,"25,400",107,"1,386,350",
1626   艾美特-KY       ,0,0,0,0,
1701   中化            ,2,"46,100",30,"696,000",
1702   南僑            ,0,0,12,"560,900",
1707   葡萄王          ,0,0,13,"2,353,500",
1708   東鹼            ,0,0,22,"516,000",
1709   和益            ,1,"15,250",102,"1,563,350",
1710   東聯            ,16,"313,150",48,"931,450",
1711   永光            ,3,"50,050",0,0,
1712   興農            ,0,0,0,0,
1713   國化            ,1,"20,450",0,0,
1714   和桐            ,4,"40,800",64,"659,550",
1717   長興            ,10,"375,100",67,"2,546,700",
1718   中纖            ,31,"323,550",333,"3,526,600",
1720   生達            ,1,"36,950",0,0,
1721   三晃            ,0,0,0,0,
1722   台肥            ,0,0,81,"4,384,600",
1723   中碳            ,0,0,37,"3,992,500",
1724   台硝            ,0,0,0,0,
1725   元禎            ,0,0,0,0,
1726   永記            ,0,0,0,0,
1727   中華化          ,0,0,0,0,
1730   花仙子          ,0,0,0,0,
1731   美吾華          ,0,0,0,0,
1732   毛寶            ,6,"139,350",6,"139,900",
1733   五鼎            ,0,0,1,"23,200",
1734   杏輝            ,3,"88,200",103,"3,045,150",
1735   日勝化          ,0,0,0,0,
1736   喬山            ,91,"8,815,000",66,"6,384,700",
1737   臺鹽            ,0,0,0,0,
1760   寶齡富錦        ,78,"6,309,100",38,"3,141,800",
1762   中化生          ,6,"359,800",31,"1,872,300",
1773   勝一            ,0,0,8,"853,500",
1776   展宇            ,0,0,0,0,
1783   和康生          ,0,0,0,0,
1786   科妍            ,0,0,1,"60,000",
1789   神隆            ,5,"140,800",50,"1,417,250",
1795   美時            ,2,"157,300",100,"7,940,300",
1802   台玻            ,19,"374,550","1,266","25,458,700",
1805   寶徠            ,0,0,0,0,
1806   冠軍            ,4,"30,780",19,"146,300",
1808   潤隆            ,0,0,14,"826,800",
1809   中釉            ,7,"82,950",17,"208,050",
1810   和成            ,0,0,3,"30,280",
1817   凱撒衛          ,0,0,0,0,
1903   士紙            ,0,0,0,0,
1904   正隆            ,59,"1,966,200",10,"336,600",
1905   華紙            ,21,"233,300",194,"2,203,200",
1906   寶隆            ,0,0,7,"122,000",
1907   永豐餘          ,16,"449,200",128,"3,604,000",
1909   榮成            ,44,"993,300",54,"1,244,600",
2002   中鋼            ,26,"670,250",651,"16,804,100",
2006   東和鋼鐵        ,111,"4,111,550",35,"1,318,100",
2007   燁興            ,0,0,0,0,
2008   高興昌          ,1,"17,750",2,"35,100",
2009   第一銅          ,3,"84,650",0,0,
2010   春源            ,6,"82,700",93,"1,295,150",
2012   春雨            ,1,"20,150",43,"881,500",
2013   中鋼構          ,0,0,11,"360,450",
2014   中鴻            ,0,0,901,"16,303,850",
2015   豐興            ,10,"682,500",18,"1,265,200",
2017   官田鋼          ,7,"83,300",275,"3,372,100",
2020   美亞            ,2,"40,500",106,"2,081,100",
2022   聚亨            ,0,0,0,0,
2023   燁輝            ,2,"27,700",408,"5,573,250",
2024   志聯            ,0,0,0,0,
2025   千興            ,0,0,0,0,
2027   大成鋼          ,45,"1,355,500",380,"11,601,100",
2028   威致            ,0,0,0,0,
2029   盛餘            ,1,"24,300",20,"480,800",
2030   彰源            ,0,0,355,"5,116,400",
2031   新光鋼          ,23,"909,700",8,"326,350",
2032   新鋼            ,4,"61,650",15,"243,650",
2033   佳大            ,0,0,10,"142,500",
2034   允強            ,17,"498,800",378,"11,103,450",
2038   海光            ,65,"1,431,600",0,0,
2049   上銀            ,35,"14,213,500",23,"9,418,500",
2059   川湖            ,0,0,12,"3,501,000",
2062   橋椿            ,0,0,0,0,
2069   運錩            ,0,0,0,0,
2101   南港            ,52,"2,105,850",159,"6,431,700",
2102   泰豐            ,10,"184,500",80,"1,476,050",
2103   台橡            ,10,"212,400",95,"1,999,550",
2104   國際中橡        ,42,"999,800",231,"5,625,800",
2105   正新            ,37,"1,546,150",55,"2,319,450",
2106   建大            ,4,"133,600",64,"2,105,700",
2107   厚生            ,5,"120,750",75,"1,828,600",
2108   南帝            ,16,"929,500",83,"4,814,300",
2109   華豐            ,0,0,0,0,
2114   鑫永銓          ,0,0,0,0,
2115   六暉-KY         ,0,0,1,"45,100",
2201   裕隆            ,93,"4,571,950",406,"20,738,500",
2204   中華            ,0,0,33,"1,698,700",
2206   三陽工業        ,8,"270,700",64,"2,256,100",
2207   和泰車          ,0,0,18,"11,424,000",
2208   台船            ,3,"80,150",135,"3,695,850",
2227   裕日車          ,0,0,1,"260,500",
2228   劍麟            ,0,0,12,"989,500",
2231   為升            ,10,"1,985,000",39,"7,875,000",
2233   宇隆            ,0,0,0,0,
2236   百達-KY         ,0,0,0,0,
2239   英利-KY         ,2,"222,000",7,"810,500",
2241   艾姆勒          ,0,0,0,0,
2243   宏旭-KY         ,0,0,0,0,
2247   汎德永業        ,0,0,0,0,
2301   光寶科          ,8,"418,700",52,"2,703,300",
2302   麗正            ,0,0,0,0,
2303   聯電            ,"3,101","146,300,950","4,804","225,470,250",
2305   全友            ,3,"28,840",33,"327,100",
2308   台達電          ,142,"41,444,000",63,"18,413,000",
2312   金寶            ,3,"36,200",72,"870,650",
2313   華通            ,86,"3,848,900","1,673","75,591,550",
2314   台揚            ,99,"3,347,400",239,"8,236,100",
2316   楠梓電          ,4,"124,400",131,"4,090,000",
2317   鴻海            ,519,"54,626,000",282,"29,912,500",
2321   東訊            ,0,0,0,0,
2323   中環            ,12,"109,060",86,"796,660",
2324   仁寶            ,5,"105,850",136,"2,888,950",
2327   國巨*           ,60,"30,968,000",418,"217,852,000",
2328   廣宇            ,"1,719","57,823,300","2,455","82,339,000",
2329   華泰            ,143,"2,376,100",806,"13,364,650",
2330   台積電          ,231,"126,895,000","1,452","797,595,000",
2331   精英            ,56,"1,421,500",31,"787,850",
2332   友訊            ,561,"15,763,050",279,"7,947,000",
2337   旺宏            ,703,"27,755,500",898,"36,054,100",
2338   光罩            ,69,"2,793,850",103,"4,193,500",
2340   台亞            ,104,"2,574,050","1,014","25,586,550",
2342   茂矽            ,10,"373,500",79,"2,995,700",
2344   華邦電          ,"1,432","39,769,278","6,951","196,383,250",
2345   智邦            ,8,"2,345,500",10,"2,973,500",
2347   聯強            ,0,0,22,"1,041,850",
2348   海悅            ,0,0,13,"1,157,100",
2349   錸德            ,0,0,0,0,
2351   順德            ,21,"1,925,600",19,"1,697,400",
2352   佳世達          ,91,"2,610,350",397,"11,559,600",
2353   宏��            ,60,"1,427,950",222,"5,247,700",
2354   鴻準            ,31,"1,745,400",73,"4,114,500",
2355   敬鵬            ,27,"981,600",159,"5,767,550",
2356   英業達          ,1,"23,800",550,"13,116,150",
2357   華碩            ,0,0,505,"127,772,000",
2358   廷鑫            ,0,0,0,0,
2359   所羅門          ,1,"19,050",0,0,
2360   致茂            ,0,0,38,"6,684,000",
2362   藍天            ,6,"175,900",8,"236,050",
2363   矽統            ,35,"577,900",526,"8,927,050",
2364   倫飛            ,0,0,0,0,
2365   昆盈            ,0,0,14,"161,200",
2367   燿華            ,55,"1,286,600",695,"16,424,150",
2368   金像電          ,378,"20,335,500",150,"8,030,900",
2369   菱生            ,2,"28,500",99,"1,417,150",
2371   大同            ,129,"3,368,150","1,546","40,487,500",
2373   震旦行          ,0,0,1,"87,900",
2374   佳能            ,0,0,22,"332,600",
2375   凱美            ,105,"10,204,000",151,"14,966,100",
2376   技嘉            ,34,"2,641,400",24,"1,875,100",
2377   微星            ,9,"1,166,500",11,"1,431,000",
2379   瑞昱            ,71,"28,402,000",134,"53,577,500",
2380   虹光            ,0,0,0,0,
2382   廣達            ,19,"1,598,600",547,"46,109,500",
2383   台光電          ,0,0,121,"18,984,000",
2385   群光            ,0,0,16,"1,377,200",
2387   精元            ,37,"2,300,600",51,"3,202,200",
2388   威盛            ,0,0,0,0,
2390   云辰            ,3,"41,850",100,"1,448,950",
2392   正崴            ,8,"387,350",214,"10,655,200",
2393   億光            ,87,"3,980,200",484,"22,440,600",
2395   研華            ,0,0,40,"13,592,000",
2397   友通            ,0,0,1,"67,300",
2399   映泰            ,152,"2,447,900",71,"1,148,250",
2401   凌陽            ,19,"337,800",32,"567,900",
2402   毅嘉            ,115,"2,201,000",20,"371,400",
2404   漢唐            ,0,0,2,"436,000",
2405   輔信            ,0,0,0,0,
2406   國碩            ,0,0,0,0,
2408   南亞科          ,136,"12,497,200",24,"2,243,100",
2409   友達            ,"1,235","16,365,700","3,227","43,325,850",
2412   中華電          ,0,0,673,"73,149,000",
2413   環科            ,33,"828,400",0,0,
2414   精技            ,1,"25,600",0,0,
2415   錩新            ,97,"2,994,200",0,0,
2417   圓剛            ,550,"25,407,350",116,"5,379,950",
2419   仲琦            ,9,"231,300",381,"9,983,900",
2420   新巨            ,0,0,0,0,
2421   建準            ,3,"160,000",89,"4,721,400",
2423   固緯            ,0,0,0,0,
2424   隴華            ,0,0,0,0,
2425   承啟            ,4,"117,600",4,"118,750",
2426   鼎元            ,34,"573,150",130,"2,325,100",
2427   三商電          ,0,0,0,0,
2428   興勤            ,3,"500,000",13,"2,194,500",
2429   銘旺科          ,0,0,0,0,
2430   燦坤            ,0,0,2,"40,100",
2431   聯昌            ,0,0,0,0,
