證券名稱,數量,金額,數量.1,金額.1,Unnamed: 5
"=""00876   元大全球5G      """,0,0,0,0,
"=""00878   國泰永續高股息  """,0,0,"14,849","314,120,520",
"=""00881   國泰台灣科技龍頭""",1,"30,920",386,"11,888,010",
"=""00882   中信中國高股息  """,0,0,0,0,
"=""00885   富邦越南        """,4,"65,180",0,0,
"=""00891   中信關鍵半導體  """,0,0,744,"14,231,420",
"=""00892   富邦台灣半導體  """,0,0,0,0,
"=""00893   國泰智能電動車  """,0,0,0,0,
"=""00894   中信小資高價30  """,0,0,56,"1,496,690",
"=""00895   富邦未來車      """,0,0,0,0,
"=""00896   中信綠能及電動車""",0,0,0,0,
"=""00897   富邦基因免疫生技""",0,0,0,0,
"=""00898   國泰基因免疫革命""",0,0,0,0,
"=""00899   FT潔淨能源      """,0,0,0,0,
"=""00900   富邦特選高股息30""",0,0,"1,110","14,918,370",
"=""00901   永豐智能車供應鏈""",80,"2,132,220",20,"533,550",
"=""00902   中信電池及儲能  """,0,0,0,0,
"=""00903   富邦元宇宙      """,0,0,0,0,
"=""00904   新光臺灣半導體30""",0,0,0,0,
"=""00905   FT臺灣Smart     """,0,0,0,0,
"=""00907   永豐優息存股    """,0,0,0,0,
"=""00908   富邦入息REITs+  """,0,0,0,0,
"=""00909   國泰數位支付服務""",3,"121,640",0,0,
"=""00910   第一金太空衛星  """,0,0,33,"1,272,380",
"=""00911   兆豐洲際半導體  """,0,0,0,0,
"=""00912   中信臺灣智慧50  """,0,0,0,0,
"=""00913   兆豐台灣晶圓製造""",0,0,0,0,
"=""00915   凱基優選高股息30""",1,"21,940",0,0,
"=""00916   國泰全球品牌50  """,0,0,0,0,
"=""00917   中信特選金融    """,0,0,0,0,
"=""00918   大華優利高填息30""",0,0,"2,132","47,658,000",
"=""00919   群益台灣精選高息""",0,0,"2,438","52,340,300",
"=""00920   富邦ESG綠色電力 """,0,0,0,0,
"=""00921   兆豐龍頭等權重  """,0,0,0,0,
"=""00922   國泰台灣領袖50  """,3,"73,640",431,"10,584,140",
"=""00923   群益台ESG低碳50 """,0,0,0,0,
"=""00924   復華S&P500成長  """,0,0,"1,660","47,205,180",
"=""00926   凱基全球菁英55  """,0,0,0,0,
"=""00927   群益半導體收益  """,0,0,0,0,
"=""00929   復華台灣科技優息""",0,0,"3,677","66,262,550",
"=""00930   永豐ESG低碳高息 """,0,0,0,0,
"=""00932   兆豐永續高息等權""",0,0,0,0,
"=""00934   中信成長高股息  """,0,0,0,0,
"=""00935   野村臺灣新科技50""",2,"56,260",25,"697,500",
"=""00936   台新永續高息中小""",0,0,222,"3,485,190",
"=""00938   凱基優選30      """,0,0,0,0,
"=""00939   統一台灣高息動能""",0,0,0,0,
"=""00940   元大台灣價值高息""",5,"46,590","4,174","38,885,810",
"=""00941   中信上游半導體  """,0,0,0,0,
"=""00943   兆豐電子高息等權""",0,0,0,0,
"=""00944   野村趨勢動能高息""",0,0,0,0,
"=""00945B   凱基美國非投等債""",0,0,0,0,
"=""00946   群益科技高息成長""",0,0,290,"2,883,880",
"=""00947   台新臺灣IC設計  """,0,0,0,0,
"=""00949   復華日本龍頭    """,0,0,0,0,
"=""00951   台新日本半導體  """,0,0,0,0,
"=""00952   凱基台灣AI50    """,0,0,0,0,
"=""00953B   群益優選非投等債""",0,0,0,0,
"=""00954   中信日本半導體  """,0,0,1,"11,650",
"=""00956   中信日經高股息  """,0,0,0,0,
"=""00960   野村全球航運龍頭""",0,0,0,0,
"=""00961   FT臺灣永續高息  """,0,0,0,0,
"=""00962   台新AI優息動能  """,0,0,0,0,
"=""00963   中信全球高股息  """,0,0,0,0,
"=""00964   中信亞太高股息  """,0,0,0,0,
"=""00965   元大航太防衛科技""",0,0,0,0,
"=""00971   野村美國研發龍頭""",0,0,0,0,
"=""00972   野村日本動能高息""",0,0,0,0,
"=""009800   中信NASDAQ      """,0,0,0,0,
"=""009801   中信美國創新科技""",0,0,0,0,
"=""009802   富邦旗艦50      """,0,0,0,0,
"=""009803   保德信市值動能50""",0,0,104,"1,305,200",
"=""009804   聯邦台精彩50    """,0,0,4,"55,720",
"=""009805   新光美國電力基建""",0,0,0,0,
"=""009808   華南永昌優選50  """,0,0,0,0,
"=""009809   富邦淨零ESG50   """,0,0,0,0,
"=""00980A   主動野村臺灣優選""",0,0,362,"5,303,860",
"=""009810   保德信全球藍籌  """,0,0,0,0,
"=""009811   統一美國50      """,0,0,0,0,
"=""009812   野村日本東證    """,0,0,0,0,
"=""009813   貝萊德標普卓越50""",0,0,0,0,
"=""00981A   主動統一台股增長""",69,"1,083,770",275,"4,332,250",
"=""00981T   平衡凱基雙核收息""",0,0,0,0,
"=""00982A   主動群益台灣強棒""",0,0,759,"10,744,690",
"=""00982D   主動富邦動態入息""",0,0,0,0,
"=""00983A   主動中信ARK創新 """,0,0,0,0,
"=""00983D   主動富邦複合收益""",0,0,0,0,
"=""00984A   主動安聯台灣高息""",0,0,0,0,
"=""00985A   主動野村台灣50  """,1,"12,680",48,"610,560",
"=""00985B   群益ESG投等債0-5""",0,0,0,0,
"=""00986A   主動台新龍頭成長""",0,0,0,0,
"=""00988A   主動統一全球創新""",0,0,224,"2,191,440",
"=""00989A   主動摩根美國科技""",0,0,6,"89,880",
1101   台泥            ,33,"711,900","2,615","56,281,850",
1102   亞泥            ,0,0,503,"18,945,150",
1103   嘉泥            ,0,0,4,"53,850",
1104   環泥            ,8,"239,600",46,"1,377,200",
1108   幸福            ,0,0,0,0,
1109   信大            ,0,0,1,"15,600",
1110   東泥            ,0,0,0,0,
1201   味全            ,0,0,5,"75,000",
1203   味王            ,0,0,0,0,
1210   大成            ,1,"52,200",48,"2,516,800",
1213   大飲            ,0,0,0,0,
1215   卜蜂            ,0,0,28,"3,786,500",
1216   統一            ,0,0,"2,021","152,317,000",
1217   愛之味          ,0,0,21,"215,550",
1218   泰山            ,0,0,183,"3,338,000",
1219   福壽            ,0,0,2,"27,100",
1220   台榮            ,0,0,0,0,
1225   福懋油          ,0,0,0,0,
1227   佳格            ,0,0,132,"4,014,550",
1229   聯華            ,5,"236,950",48,"2,262,200",
1231   聯華食          ,0,0,62,"5,992,600",
1232   大統益          ,0,0,2,"288,000",
1233   天仁            ,0,0,0,0,
