Unnamed: 0,融券賣出成交,Unnamed: 2,借券賣出成交,Unnamed: 4
證券名稱,數量,金額,數量,金額
"=""00882   中信中國高股息  """,0,0,538,"5,551,100"
"=""00885   富邦越南        """,15,"174,940",359,"4,213,910"
"=""00891   中信關鍵半導體  """,0,0,35,"558,510"
"=""00892   富邦台灣半導體  """,0,0,23,"316,260"
"=""00893   國泰智能電動車  """,1,"17,450",0,0
"=""00894   中信小資高價30  """,0,0,0,0
"=""00895   富邦未來車      """,0,0,0,0
"=""00896   中信綠能及電動車""",0,0,0,0
"=""00897   富邦基因免疫生技""",0,0,26,"198,920"
"=""00898   國泰基因免疫革命""",5,"36,250",0,0
"=""00899   FT潔淨能源      """,0,0,0,0
"=""00900   富邦特選高股息30""",5,"68,450",0,0
"=""00901   永豐智能車供應鏈""",0,0,0,0
"=""00902   中信電池及儲能  """,0,0,0,0
"=""00903   富邦元宇宙      """,0,0,0,0
"=""00904   新光臺灣半導體30""",0,0,0,0
"=""00905   FT臺灣Smart     """,0,0,0,0
"=""00907   永豐優息存股    """,0,0,0,0
"=""00908   富邦入息REITs+  """,0,0,0,0
"=""00909   國泰數位支付服務""",0,0,0,0
"=""00910   第一金太空衛星  """,0,0,0,0
"=""00911   兆豐洲際半導體  """,0,0,0,0
"=""00912   中信臺灣智慧50  """,0,0,0,0
"=""00913   兆豐台灣晶圓製造""",0,0,0,0
"=""00915   凱基優選高股息30""",0,0,0,0
"=""00916   國泰全球品牌50  """,0,0,0,0
"=""00917   中信特選金融    """,0,0,0,0
"=""00918   大華優利高填息30""",0,0,0,0
"=""00919   群益台灣精選高息""",62,"1,361,300",0,0
"=""00920   富邦ESG綠色電力 """,0,0,0,0
"=""00921   兆豐龍頭等權重  """,0,0,0,0
"=""00922   國泰台灣領袖50  """,0,0,313,"5,130,000"
"=""00923   群益台ESG低碳50 """,0,0,0,0
"=""00924   復華S&P500成長  """,0,0,0,0
"=""00925   新光標普電動車  """,0,0,0,0
"=""00926   凱基全球菁英55  """,0,0,0,0
"=""00927   群益半導體收益  """,0,0,338,"5,697,410"
"=""00929   復華台灣科技優息""",0,0,"4,121","76,396,170"
"=""00930   永豐ESG低碳高息 """,0,0,18,"320,860"
"=""00932   兆豐永續高息等權""",0,0,0,0
"=""00934   中信成長高股息  """,0,0,0,0
"=""00935   野村臺灣新科技50""",0,0,66,"1,096,960"
"=""00936   台新永續高息中小""",0,0,0,0
1101   台泥            ,3,"101,200",416,"14,021,600"
1102   亞泥            ,0,0,223,"9,072,400"
1103   嘉泥            ,0,0,0,0
1104   環泥            ,0,0,34,"990,700"
1108   幸福            ,1,"15,500",0,0
1109   信大            ,0,0,0,0
1110   東泥            ,0,0,1,"18,850"
1201   味全            ,0,0,9,"169,550"
1203   味王            ,0,0,0,0
1210   大成            ,0,0,8,"456,000"
1213   大飲            ,0,0,0,0
1215   卜蜂            ,0,0,8,"760,800"
1216   統一            ,0,0,122,"8,832,000"
1217   愛之味          ,0,0,16,"188,900"
1218   泰山            ,0,0,6,"128,050"
1219   福壽            ,0,0,0,0
1220   台榮            ,0,0,3,"42,600"
1225   福懋油          ,0,0,0,0
1227   佳格            ,0,0,21,"805,350"
1229   聯華            ,0,0,90,"5,854,300"
1231   聯華食          ,0,0,4,"350,400"
1232   大統益          ,0,0,0,0
1233   天仁            ,0,0,0,0
1234   黑松            ,0,0,0,0
1235   興泰            ,0,0,0,0
1236   宏亞            ,0,0,0,0
1256   鮮活果汁-KY     ,0,0,0,0
1301   台塑            ,4,"304,300","1,303","98,966,500"
1303   南亞            ,9,"572,900",97,"6,205,500"
1304   台聚            ,0,0,22,"421,550"
1305   華夏            ,0,0,44,"955,100"
1307   三芳            ,0,0,0,0
1308   亞聚            ,0,0,14,"323,550"
1309   台達化          ,0,0,14,"226,300"
1310   台苯            ,0,0,0,0
1312   國喬            ,1,"14,650",79,"1,159,150"
1313   聯成            ,0,0,13,"193,600"
1314   中石化          ,0,0,689,"6,701,680"
1315   達新            ,0,0,0,0
1316   上曜            ,9,"113,850",0,0
1319   東陽            ,11,"821,700",32,"2,391,300"
1321   大洋            ,0,0,0,0
1323   永裕            ,0,0,0,0
1324   地球            ,0,0,0,0
1325   恆大            ,3,"129,250",53,"2,271,550"
1326   台化            ,0,0,17,"1,023,300"
1337   再生-KY         ,0,0,7,"52,230"
