日期,假日名稱,說明,備註
2024/01/01,中華民國開國紀念日,依規定放假1日。,
2024/01/02,國曆新年開始交易日,國曆新年開始交易。,o
2024/02/05,農曆春節前最後交易日,農曆春節前最後交易。,o
2024/02/06,市場無交易，僅辦理結算交割作業,,*
2024/02/07,市場無交易，僅辦理結算交割作業,,*
2024/02/08,農曆除夕前一日,2月8日（星期四）調整放假，於2月17日（星期六）補行上班，但不交易亦不交割。,
2024/02/09,農曆除夕,依規定放假1日。,
2024/02/10,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,
2024/02/11,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,
2024/02/12,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,
2024/02/13,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,
2024/02/14,農曆春節,依規定於2月10日至2月12日放假3日。<br><br>2月10日及2月11日適逢星期六及星期日，於2月13日（星期二）及2月14日（星期三）補假2日。<br>,
2024/02/15,農曆春節後開始交易日,農曆春節後開始交易。,o
2024/02/28,和平紀念日,依規定放假1日。,
2024/04/04,兒童節,依規定放假1日。,
2024/04/05,民族掃墓節,依規定放假1日。,
2024/05/01,勞動節,依規定放假1日。,
2024/06/10,端午節,依規定放假1日。,
2024/09/17,中秋節,依規定放假1日。,
2024/10/10,國慶日,依規定放假1日。,
