分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"44,660,294","1,038,914,530","18,142",-0.78,
食品類指數          ,"17,091,751","1,121,175,683","17,034",-9.06,
塑膠類指數          ,"252,410,107","10,204,025,145","143,514",-6.52,
紡織纖維類指數      ,"33,979,288","1,821,877,834","22,480",3.84,
電機機械類指數      ,"93,860,856","11,777,331,971","79,641",3.16,
電器電纜類指數      ,"88,287,113","2,680,629,208","43,546",-2.46,
化學生技醫療類指數  ,"65,297,635","6,176,723,037","66,413",0.39,
化學類指數          ,"38,125,523","1,888,095,160","29,438",-1.66,
生技醫療類指數      ,"27,172,112","4,288,627,877","36,975",0.69,
玻璃陶瓷類指數      ,"62,086,604","1,895,778,312","27,134",0.72,
造紙類指數          ,"9,219,750","144,284,825","5,868",-3.1,
鋼鐵類指數          ,"74,834,203","2,376,059,411","41,475",-1.19,
橡膠類指數          ,"22,387,492","546,405,632","10,702",1.5,
汽車類指數          ,"25,645,250","1,652,547,083","23,140",1.68,
電子類指數          ,"2,818,508,185","394,363,617,898","2,079,689",-11.55,
半導體類指數        ,"1,488,335,977","192,076,418,632","947,340",-6.47,
電腦及週邊設備類指數,"294,656,382","44,597,145,870","228,064",-2.36,
光電類指數          ,"206,610,454","9,787,686,507","113,803",-0.21,
通信網路類指數      ,"81,299,524","13,261,143,743","65,910",-1.0,
電子零組件類指數    ,"480,430,816","89,704,740,381","498,670",-3.64,
電子通路類指數      ,"81,464,517","6,178,922,660","59,535",-0.85,
資訊服務類指數      ,"3,562,604","264,275,199","5,026",-2.06,
其他電子類指數      ,"182,147,911","38,493,284,906","161,341",0.06,
建材營造類指數      ,"93,960,089","2,174,895,055","48,684",-3.63,
航運業類指數        ,"175,895,915","10,050,705,546","115,278",0.09,
觀光餐旅類指數      ,"4,001,113","457,144,754","6,747",0.1,
金融保險類指數      ,"493,861,091","18,462,009,407","245,822",-11.63,
貿易百貨類指數      ,"16,570,739","1,133,850,119","10,733",0.12,
油電燃氣類指數      ,"13,356,256","684,005,545","9,827",-0.63,
其他類指數          ,"35,642,456","2,571,566,521","31,073",-0.33,
綠能環保類指數      ,"43,480,158","1,686,618,419","27,984",-1.05,
數位雲端類指數      ,"3,134,350","246,519,884","2,932",-0.06,
運動休閒類指數      ,"17,313,486","1,481,837,022","14,815",1.05,
居家生活類指數      ,"2,618,045","282,793,601","2,998",-0.41,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
