分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"29,573,555","751,014,130","14,495",-1.2,
食品類指數          ,"17,539,154","1,084,271,121","21,240",-5.81,
塑膠類指數          ,"95,410,261","2,206,277,499","38,329",-0.82,
紡織纖維類指數      ,"30,141,664","1,290,283,591","17,964",-4.24,
電機機械類指數      ,"104,613,537","14,636,690,325","107,778",-1.26,
電器電纜類指數      ,"69,001,252","2,143,595,651","36,990",-1.46,
化學生技醫療類指數  ,"104,509,529","9,257,539,453","92,383",-1.92,
化學類指數          ,"72,464,534","4,632,513,666","49,908",1.08,
生技醫療類指數      ,"32,044,995","4,625,025,787","42,475",-1.89,
玻璃陶瓷類指數      ,"55,147,686","1,541,317,473","24,903",-1.78,
造紙類指數          ,"6,121,152","108,536,275","2,983",-0.48,
鋼鐵類指數          ,"58,816,782","1,918,220,014","34,223",-0.88,
橡膠類指數          ,"12,250,425","343,935,274","8,636",0.05,
汽車類指數          ,"27,573,126","1,880,957,486","25,001",0.04,
電子類指數          ,"3,689,468,801","487,121,538,381","2,519,744",27.95,
半導體類指數        ,"1,596,039,188","200,911,907,914","917,041",16.83,
電腦及週邊設備類指數,"511,617,634","70,591,531,504","367,846",4.33,
光電類指數          ,"228,330,539","9,889,991,311","123,456",0.1,
通信網路類指數      ,"146,215,322","20,531,583,198","109,869",0.59,
電子零組件類指數    ,"729,117,728","111,796,779,875","602,919",-1.07,
電子通路類指數      ,"101,035,624","6,860,307,456","89,392",1.15,
資訊服務類指數      ,"6,276,320","544,719,899","6,832",-1.04,
其他電子類指數      ,"370,836,446","65,994,717,224","302,389",7.96,
建材營造類指數      ,"152,221,074","2,935,318,830","57,123",1.68,
航運業類指數        ,"150,351,235","8,715,467,008","94,089",1.29,
觀光餐旅類指數      ,"3,102,476","400,009,963","5,241",-0.24,
金融保險類指數      ,"439,528,574","12,264,677,300","141,755",2.96,
貿易百貨類指數      ,"10,383,735","455,711,198","7,102",-0.49,
油電燃氣類指數      ,"6,565,704","298,612,869","7,229",-0.36,
其他類指數          ,"30,172,109","2,695,912,270","31,617",-0.68,
綠能環保類指數      ,"10,381,205","1,591,743,773","13,391",0.84,
數位雲端類指數      ,"1,301,077","160,848,370","2,772",-0.1,
運動休閒類指數      ,"15,704,985","1,175,908,601","13,800",-0.47,
居家生活類指數      ,"2,810,887","411,334,265","3,471",-0.82,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
