分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"27,842,353","714,344,237","14,204",-1.03,
食品類指數          ,"31,344,207","2,202,786,286","33,267",-6.21,
塑膠類指數          ,"140,191,094","4,578,080,751","71,635",-0.75,
紡織纖維類指數      ,"26,508,666","1,263,621,789","22,275",-5.72,
電機機械類指數      ,"117,152,148","13,457,189,876","97,045",2.19,
電器電纜類指數      ,"196,988,361","6,188,247,857","70,860",2.44,
化學生技醫療類指數  ,"85,945,781","7,609,851,033","78,430",0.52,
化學類指數          ,"53,955,259","3,271,269,389","42,299",0.5,
生技醫療類指數      ,"31,990,522","4,338,581,644","36,131",0.33,
玻璃陶瓷類指數      ,"35,345,185","974,660,159","14,687",1.35,
造紙類指數          ,"10,432,592","302,247,651","6,920",-3.78,
鋼鐵類指數          ,"56,139,092","1,912,416,234","32,232",0.11,
橡膠類指數          ,"12,620,104","353,519,579","9,812",-0.81,
汽車類指數          ,"35,256,166","2,273,687,482","34,814",-2.02,
電子類指數          ,"3,037,066,898","430,141,911,670","2,069,816",37.6,
半導體類指數        ,"1,171,045,358","159,564,894,634","673,316",18.5,
電腦及週邊設備類指數,"441,216,526","69,872,714,345","311,034",7.74,
光電類指數          ,"211,239,530","8,764,621,179","102,038",0.05,
通信網路類指數      ,"75,149,727","15,389,568,115","71,477",-0.38,
電子零組件類指數    ,"788,932,059","124,329,038,485","628,748",15.33,
電子通路類指數      ,"114,363,930","7,597,039,741","74,393",4.08,
資訊服務類指數      ,"8,595,268","901,123,496","8,437",3.34,
其他電子類指數      ,"226,524,500","43,722,911,675","200,373",6.49,
建材營造類指數      ,"101,265,106","2,339,458,177","52,880",3.45,
航運業類指數        ,"178,138,702","8,502,494,326","96,934",-0.74,
觀光餐旅類指數      ,"3,867,117","441,465,480","5,326",-0.05,
金融保險類指數      ,"817,722,894","23,029,501,578","282,673",-9.51,
貿易百貨類指數      ,"12,996,053","494,982,909","7,862",-0.39,
油電燃氣類指數      ,"14,039,716","651,378,131","15,514",-0.97,
其他類指數          ,"39,183,437","2,466,520,455","35,199",0.18,
綠能環保類指數      ,"11,886,746","1,695,148,191","17,870",0.58,
數位雲端類指數      ,"1,197,027","161,637,502","3,292",-0.16,
運動休閒類指數      ,"22,361,947","1,846,651,121","26,275",-1.4,
居家生活類指數      ,"3,547,454","635,892,929","3,769",-0.31,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
