分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"18,475,307","650,984,686","9,106",-0.58,
食品類指數          ,"26,261,342","1,743,000,778","21,599",-13.63,
塑膠類指數          ,"72,414,524","1,813,725,525","42,013",-0.9,
紡織纖維類指數      ,"30,977,658","1,874,782,014","23,037",2.39,
電機機械類指數      ,"145,087,485","24,960,898,401","129,198",-5.96,
電器電纜類指數      ,"26,858,841","767,539,681","16,453",0.37,
化學生技醫療類指數  ,"30,726,909","5,748,050,679","40,379",-1.74,
化學類指數          ,"18,014,714","3,291,999,260","18,351",-1.73,
生技醫療類指數      ,"12,712,195","2,456,051,419","22,028",-1.06,
玻璃陶瓷類指數      ,"8,416,755","135,644,498","4,146",-0.56,
造紙類指數          ,"4,200,507","91,769,419","3,363",-2.08,
鋼鐵類指數          ,"54,346,972","1,732,142,401","41,477",-1.49,
橡膠類指數          ,"9,817,276","352,679,101","7,338",-1.65,
汽車類指數          ,"43,514,587","4,471,236,730","36,316",-0.59,
電子類指數          ,"1,554,158,464","245,376,484,364","1,266,750",-15.95,
半導體類指數        ,"315,523,946","103,524,940,309","341,034",-8.34,
電腦及週邊設備類指數,"322,070,336","35,599,088,538","219,467",-4.22,
光電類指數          ,"252,540,881","15,177,189,187","153,452",-0.62,
通信網路類指數      ,"189,327,262","20,824,400,940","125,317",-1.92,
電子零組件類指數    ,"230,219,392","39,541,587,526","216,727",-3.41,
電子通路類指數      ,"33,269,047","2,336,559,981","24,010",5.4,
資訊服務類指數      ,"38,288,226","3,805,853,059","32,184",-1.67,
其他電子類指數      ,"172,919,374","24,566,864,824","154,559",-1.7,
建材營造類指數      ,"94,082,823","3,525,310,400","58,060",2.93,
航運業類指數        ,"314,464,514","17,604,775,526","160,897",3.64,
觀光餐旅類指數      ,"11,033,450","777,026,935","12,508",0.62,
金融保險類指數      ,"592,032,884","15,290,260,438","182,082",-0.09,
貿易百貨類指數      ,"23,808,899","1,080,929,464","14,003",-0.81,
油電燃氣類指數      ,"7,908,339","272,756,183","6,684",-0.93,
其他類指數          ,"82,456,750","7,233,820,361","66,593",7.16,
綠能環保類指數      ,"3,995,855","516,835,014","7,371",-0.64,
數位雲端類指數      ,"14,607,215","1,932,521,253","11,765",0.32,
運動休閒類指數      ,"31,388,728","2,051,237,091","17,121",0.94,
居家生活類指數      ,"3,061,463","292,418,071","2,961",2.25,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
