分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數
水泥類指數          ,"23,496,971","976,922,160","13,320",-0.68
食品類指數          ,"25,062,901","1,065,340,180","11,070",-26.68
塑膠類指數          ,"49,232,329","2,941,702,974","24,265",0.39
紡織纖維類指數      ,"33,587,921","943,483,944","15,028",2.01
電機機械類指數      ,"95,949,209","12,049,238,935","60,509",4.63
電器電纜類指數      ,"231,822,429","10,999,826,123","99,966",2.04
化學生技醫療類指數  ,"85,594,612","8,019,256,809","56,825",0.25
化學類指數          ,"70,670,178","6,977,821,424","45,499",0.55
生技醫療類指數      ,"14,924,434","1,041,435,385","11,326",-0.02
玻璃陶瓷類指數      ,"4,266,191","88,270,859","2,670",-0.98
造紙類指數          ,"6,046,684","148,767,500","3,943",-1.87
鋼鐵類指數          ,"63,363,783","2,475,431,149","35,698",-1.11
橡膠類指數          ,"12,068,803","433,580,002","7,080",-0.26
汽車類指數          ,"96,633,967","4,961,868,961","54,979",-2.0
電子類指數          ,"1,531,818,618","153,109,329,798","912,716",-7.95
半導體類指數        ,"486,169,557","84,758,017,924","360,874",-5.66
電腦及週邊設備類指數,"191,486,288","10,731,938,757","98,598",-0.35
光電類指數          ,"293,949,022","9,019,819,513","103,359",0.01
通信網路類指數      ,"95,415,960","6,624,146,037","59,106",-1.05
電子零組件類指數    ,"275,993,126","25,847,798,514","190,564",-2.01
電子通路類指數      ,"35,538,504","2,122,492,862","19,919",3.07
資訊服務類指數      ,"1,253,602","63,993,808","1,495",0.29
其他電子類指數      ,"152,012,559","13,941,122,383","78,801",1.09
建材營造類指數      ,"41,534,094","1,009,330,537","16,563",0.4
航運業類指數        ,"337,353,411","25,364,204,762","141,990",4.07
觀光事業類指數      ,"20,938,407","1,722,558,815","15,857",0.56
金融保險類指數      ,"407,455,606","10,679,550,736","145,487",-25.31
貿易百貨類指數      ,"16,036,827","1,670,452,694","13,845",-8.72
油電燃氣類指數      ,"2,403,920","192,424,252","1,567",-0.98
其他類指數          ,"63,305,955","8,495,998,248","50,519",-1.82
說明:,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,
