分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數
水泥類指數          ,"32,477,679","1,149,800,167","16,733",1.31
食品類指數          ,"13,834,238","973,811,253","14,274",14.24
塑膠類指數          ,"133,514,426","3,678,365,909","55,084",6.29
紡織纖維類指數      ,"24,656,287","1,375,423,296","14,650",6.45
電機機械類指數      ,"207,073,874","20,393,670,681","122,905",10.8
電器電纜類指數      ,"50,235,159","1,519,769,785","23,572",1.99
化學生技醫療類指數  ,"67,137,258","13,170,603,886","71,301",0.45
化學類指數          ,"46,590,104","8,463,036,184","40,527",3.2
生技醫療類指數      ,"20,547,154","4,707,567,702","30,774",-0.43
玻璃陶瓷類指數      ,"17,339,282","300,063,276","4,912",0.89
造紙類指數          ,"3,500,595","72,293,278","2,820",1.68
鋼鐵類指數          ,"215,270,142","7,409,100,773","104,124",2.91
橡膠類指數          ,"16,578,129","596,415,530","10,138",-1.15
汽車類指數          ,"43,710,030","4,120,544,503","42,923",1.38
電子類指數          ,"1,501,000,631","242,405,080,640","1,128,377",17.54
半導體類指數        ,"367,158,148","101,070,644,849","281,187",10.66
電腦及週邊設備類指數,"331,390,316","45,280,532,828","249,745",3.52
光電類指數          ,"296,782,793","20,327,433,595","169,020",0.58
通信網路類指數      ,"101,876,083","13,663,061,438","84,500",0.73
電子零組件類指數    ,"191,520,502","33,504,650,943","167,330",0.41
電子通路類指數      ,"29,917,756","2,166,863,106","23,660",2.24
資訊服務類指數      ,"53,074,882","3,094,812,682","36,206",1.1
其他電子類指數      ,"129,280,151","23,297,081,199","116,729",2.01
建材營造類指數      ,"82,802,853","3,125,458,410","46,850",0.22
航運業類指數        ,"195,498,185","13,071,600,747","114,150",0.9
觀光餐旅類指數      ,"4,494,875","567,439,159","8,905",0.61
金融保險類指數      ,"377,998,760","10,559,741,482","135,983",-0.03
貿易百貨類指數      ,"18,188,441","931,695,278","11,717",0.49
油電燃氣類指數      ,"11,505,302","454,155,885","7,651",2.11
其他類指數          ,"36,833,888","2,424,374,218","26,803",1.09
綠能環保類指數      ,"8,305,327","1,016,706,659","9,917",2.04
數位雲端類指數      ,"1,410,323","307,316,850","3,461",-0.36
運動休閒類指數      ,"37,479,947","4,961,211,588","40,591",0.63
居家生活類指數      ,"7,123,071","516,760,756","5,519",-0.61
說明:,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,
