分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數
水泥類指數          ,"20,878,956","658,552,995","12,116",-1.58
食品類指數          ,"15,221,317","906,950,119","15,845",-8.74
塑膠類指數          ,"57,005,086","1,550,307,123","30,821",-3.06
紡織纖維類指數      ,"32,230,387","1,437,675,374","18,142",-5.68
電機機械類指數      ,"416,558,610","65,127,962,548","273,595",-1.94
電器電纜類指數      ,"153,029,624","6,304,258,284","86,408",-1.42
化學生技醫療類指數  ,"65,472,061","12,588,120,145","73,317",-1.14
化學類指數          ,"19,605,528","2,695,707,963","22,644",-1.21
生技醫療類指數      ,"45,866,533","9,892,412,182","50,673",-0.69
玻璃陶瓷類指數      ,"6,093,628","132,033,858","3,466",-1.12
造紙類指數          ,"8,821,920","233,815,992","5,865",-2.48
鋼鐵類指數          ,"120,607,256","6,518,942,055","69,926",-2.62
橡膠類指數          ,"15,735,352","557,405,712","9,746",0.09
汽車類指數          ,"48,430,286","3,504,466,289","38,647",-2.52
電子類指數          ,"2,421,127,913","269,633,385,853","1,559,324",0.66
半導體類指數        ,"554,235,601","94,776,102,974","419,337",2.32
電腦及週邊設備類指數,"542,667,175","63,554,066,525","350,019",2.18
光電類指數          ,"512,000,162","15,948,322,189","203,211",-0.74
通信網路類指數      ,"103,046,539","7,950,206,246","71,406",-0.2
電子零組件類指數    ,"256,808,529","34,843,615,964","221,133",-3.28
電子通路類指數      ,"155,249,691","16,811,899,864","97,554",4.98
資訊服務類指數      ,"16,396,412","865,855,069","15,914",-3.51
其他電子類指數      ,"280,723,804","34,883,317,022","180,750",-2.77
建材營造類指數      ,"261,697,533","8,123,032,569","125,838",1.4
航運業類指數        ,"453,327,320","22,259,180,070","177,146",2.11
觀光餐旅類指數      ,"35,492,373","3,213,702,107","27,478",1.6
金融保險類指數      ,"337,054,360","9,489,201,578","123,819",0.47
貿易百貨類指數      ,"14,449,136","631,452,531","11,042",0.04
油電燃氣類指數      ,"6,429,179","394,790,023","6,028",-0.88
其他類指數          ,"46,603,779","3,352,840,718","39,449",-3.09
綠能環保類指數      ,"32,551,106","4,472,172,812","31,673",-0.76
數位雲端類指數      ,"2,294,446","572,070,862","4,149",0.08
運動休閒類指數      ,"27,667,080","4,027,218,481","28,200",1.82
居家生活類指數      ,"13,251,887","945,580,963","7,892",0.08
說明:,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,
