分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"24,731,803","623,916,456","13,174",-1.14,
食品類指數          ,"17,750,660","1,071,857,237","18,575",-9.37,
塑膠類指數          ,"114,058,582","3,441,049,422","55,898",-1.58,
紡織纖維類指數      ,"29,581,071","858,665,957","16,596",-0.97,
電機機械類指數      ,"102,104,030","13,684,863,893","84,736",0.77,
電器電纜類指數      ,"145,948,819","4,604,083,852","72,765",0.94,
化學生技醫療類指數  ,"108,074,525","7,977,660,670","96,172",-0.66,
化學類指數          ,"81,987,663","4,156,780,531","53,649",0.89,
生技醫療類指數      ,"26,086,862","3,820,880,139","42,523",-0.78,
玻璃陶瓷類指數      ,"49,730,799","1,399,805,641","23,259",1.26,
造紙類指數          ,"6,824,502","122,325,574","4,082",-3.66,
鋼鐵類指數          ,"51,899,876","1,706,313,792","29,704",-0.52,
橡膠類指數          ,"16,954,425","486,773,644","12,053",-3.03,
汽車類指數          ,"43,767,681","3,044,659,726","39,905",-1.01,
電子類指數          ,"3,426,020,912","448,043,735,405","2,407,314",0.35,
半導體類指數        ,"1,721,376,506","195,385,685,975","1,013,880",-2.61,
電腦及週邊設備類指數,"340,445,174","65,656,931,789","328,203",2.7,
光電類指數          ,"210,326,452","8,971,910,604","124,597",-0.36,
通信網路類指數      ,"91,002,833","23,286,083,733","87,045",0.57,
電子零組件類指數    ,"725,638,302","105,625,451,424","602,555",2.36,
電子通路類指數      ,"110,226,065","7,584,625,134","81,976",-2.03,
資訊服務類指數      ,"10,809,882","769,216,552","9,691",-2.46,
其他電子類指數      ,"216,195,698","40,763,830,194","159,367",3.28,
建材營造類指數      ,"101,811,219","2,242,046,437","48,070",-1.27,
航運業類指數        ,"142,262,521","6,982,149,480","92,856",-0.24,
觀光餐旅類指數      ,"3,208,201","405,342,789","7,082",-0.77,
金融保險類指數      ,"604,286,609","16,304,501,897","231,947",-26.07,
貿易百貨類指數      ,"15,581,221","667,260,739","8,655",-2.03,
油電燃氣類指數      ,"9,222,894","421,996,566","9,394",-0.32,
其他類指數          ,"29,272,227","1,886,586,887","29,691",-1.59,
綠能環保類指數      ,"9,200,843","1,185,128,051","13,481",-0.48,
數位雲端類指數      ,"1,313,705","195,112,920","3,696",-0.71,
運動休閒類指數      ,"23,235,218","1,657,567,934","17,774",-1.48,
居家生活類指數      ,"3,516,138","688,867,498","4,670",-0.51,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
