分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數
水泥類指數          ,"14,356,412","564,544,156","7,626",-0.99
食品類指數          ,"9,999,119","482,673,767","7,416",5.93
塑膠類指數          ,"47,736,715","2,836,372,675","19,201",-3.84
紡織纖維類指數      ,"24,015,838","884,749,568","12,011",-5.28
電機機械類指數      ,"153,615,405","11,493,039,008","86,813",-3.1
電器電纜類指數      ,"116,568,533","3,676,458,616","48,673",-0.63
化學生技醫療類指數  ,"119,322,145","11,483,888,334","78,397",-0.6
化學類指數          ,"39,495,353","3,698,978,549","27,175",-0.86
生技醫療類指數      ,"79,826,792","7,784,909,785","51,222",-0.24
玻璃陶瓷類指數      ,"12,147,779","228,223,759","4,200",-5.03
造紙類指數          ,"9,654,839","232,652,563","5,772",-8.12
鋼鐵類指數          ,"81,407,637","2,918,111,379","42,879",-1.71
橡膠類指數          ,"12,911,045","432,344,559","6,880",-0.09
汽車類指數          ,"96,049,648","4,075,486,953","56,256",-4.23
電子類指數          ,"1,330,940,055","115,940,093,288","785,811",-5.21
半導體類指數        ,"406,849,037","61,676,132,914","318,963",-2.76
電腦及週邊設備類指數,"179,208,054","9,147,644,341","91,232",-0.89
光電類指數          ,"240,642,182","7,937,798,206","100,081",-0.17
通信網路類指數      ,"236,910,468","13,920,943,359","118,457",0.18
電子零組件類指數    ,"195,771,006","17,241,185,564","118,978",-2.91
電子通路類指數      ,"12,552,093","715,612,376","8,544",-0.38
資訊服務類指數      ,"2,195,282","61,746,241","1,572",-0.91
其他電子類指數      ,"56,811,933","5,239,030,287","27,984",0.2
建材營造類指數      ,"25,281,383","698,163,202","13,726",-2.36
航運業類指數        ,"636,926,974","54,139,112,667","269,054",1.95
觀光事業類指數      ,"6,554,696","580,667,293","5,803",-0.83
金融保險類指數      ,"384,654,668","8,310,342,733","111,006",-11.83
貿易百貨類指數      ,"16,679,562","1,216,268,798","11,835",-4.11
油電燃氣類指數      ,"2,959,401","229,100,482","2,322",0.88
其他類指數          ,"37,988,608","4,206,242,391","36,965",-2.91
說明:,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,
