分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數
水泥類指數          ,"21,558,014","909,398,381","8,770",1.75
食品類指數          ,"15,705,575","838,025,520","11,048",12.05
塑膠類指數          ,"70,703,574","2,767,577,850","28,084",3.25
紡織纖維類指數      ,"41,117,796","1,896,535,312","16,997",12.77
電機機械類指數      ,"81,004,371","4,180,974,355","35,357",-2.47
電器電纜類指數      ,"23,277,973","608,072,205","10,253",0.93
化學生技醫療類指數  ,"94,558,207","3,902,140,900","47,573",0.45
化學類指數          ,"74,725,332","2,260,051,056","33,545",1.1
生技醫療類指數      ,"19,832,875","1,642,089,844","14,028",-0.08
玻璃陶瓷類指數      ,"14,389,467","464,016,592","7,044",1.24
造紙類指數          ,"17,262,808","515,017,232","9,121",-0.77
鋼鐵類指數          ,"260,939,953","10,047,711,293","118,733",1.09
橡膠類指數          ,"13,296,829","580,985,940","7,822",2.27
汽車類指數          ,"10,407,625","780,044,318","7,651",6.21
電子類指數          ,"2,611,294,093","236,947,100,485","1,270,208",12.86
半導體類指數        ,"1,654,914,876","180,043,048,985","813,928",8.33
電腦及週邊設備類指數,"128,332,830","6,794,111,420","63,286",0.85
光電類指數          ,"427,494,028","14,793,222,733","161,657",0.24
通信網路類指數      ,"41,568,478","3,598,411,814","23,613",0.12
電子零組件類指數    ,"240,412,792","24,060,328,000","140,582",2.16
電子通路類指數      ,"34,738,321","1,710,259,935","19,599",1.85
資訊服務類指數      ,"11,173,706","540,314,386","6,659",0.43
其他電子類指數      ,"72,659,062","5,407,403,212","40,884",0.8
建材營造類指數      ,"48,154,500","1,111,681,866","22,003",2.79
航運業類指數        ,"672,446,227","69,624,544,817","344,184",-10.01
觀光事業類指數      ,"2,926,355","242,093,421","2,762",-0.02
金融保險類指數      ,"438,769,308","11,877,760,454","121,705",20.51
貿易百貨類指數      ,"29,367,885","2,257,704,401","15,436",2.96
油電燃氣類指數      ,"4,615,077","360,277,665","2,372",1.84
其他類指數          ,"56,332,222","4,432,137,398","33,763",1.94
說明:,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,
