分類指數名稱,成交股數,成交金額,成交筆數,漲跌指數,Unnamed: 5
水泥類指數          ,"50,536,838","1,290,914,236","20,013",-1.54,
食品類指數          ,"12,498,633","837,310,137","13,709",-6.07,
塑膠類指數          ,"48,768,118","1,413,429,752","26,056",-0.74,
紡織纖維類指數      ,"34,854,613","1,266,563,721","33,509",-2.35,
電機機械類指數      ,"130,311,766","17,124,470,221","99,808",5.5,
電器電纜類指數      ,"91,008,023","2,510,756,426","41,576",-1.25,
化學生技醫療類指數  ,"110,455,499","16,412,723,657","103,766",2.45,
化學類指數          ,"60,026,591","5,482,480,070","43,965",-0.02,
生技醫療類指數      ,"50,428,908","10,930,243,587","59,801",2.09,
玻璃陶瓷類指數      ,"135,235,433","3,806,005,887","51,487",1.19,
造紙類指數          ,"3,328,715","56,169,806","2,037",-0.55,
鋼鐵類指數          ,"55,213,930","2,169,181,083","35,221",-1.12,
橡膠類指數          ,"18,310,209","625,271,757","10,397",-3.01,
汽車類指數          ,"21,080,272","1,692,780,635","25,599",-2.8,
電子類指數          ,"2,811,944,893","360,939,781,344","1,850,169",13.38,
半導體類指數        ,"1,170,360,864","131,638,974,966","657,655",8.13,
電腦及週邊設備類指數,"670,487,773","100,696,178,848","474,973",0.12,
光電類指數          ,"329,620,484","12,459,855,666","150,912",0.07,
通信網路類指數      ,"72,700,649","11,156,042,525","53,465",0.27,
電子零組件類指數    ,"375,766,152","71,984,221,089","358,292",2.89,
電子通路類指數      ,"32,222,695","2,659,783,496","26,654",-1.12,
資訊服務類指數      ,"4,791,978","395,635,831","6,979",-1.14,
其他電子類指數      ,"155,994,298","29,949,088,923","121,239",2.73,
建材營造類指數      ,"46,647,860","1,441,097,557","36,516",-2.79,
航運業類指數        ,"115,305,362","6,192,690,420","78,300",-1.38,
觀光餐旅類指數      ,"2,707,600","374,203,149","6,376",-0.89,
金融保險類指數      ,"407,794,288","11,134,495,760","125,844",-3.8,
貿易百貨類指數      ,"6,757,645","339,080,325","5,154",-0.21,
油電燃氣類指數      ,"5,144,768","213,087,686","4,497",0.12,
其他類指數          ,"36,788,422","3,394,465,978","35,245",-1.13,
綠能環保類指數      ,"10,358,584","1,236,366,723","12,920",-1.0,
數位雲端類指數      ,"1,221,512","133,879,842","2,553",0.02,
運動休閒類指數      ,"22,753,063","1,878,905,145","21,434",0.97,
居家生活類指數      ,"1,903,130","292,603,880","1,928",-0.99,
說明:,,,,,
以上統計資料包括：一般交易、鉅額交易、零股交易及盤後定價交易之量值。,,,,,
