證券代號,證券名稱,買進股數,賣出股數,買賣超股數
2337  ,旺宏            ,"5,341,000","40,000","5,301,000"
2408  ,南亞科          ,"3,503,000","101,000","3,402,000"
"=""0050  """,元大台灣50      ,"3,400,000",0,"3,400,000"
2883  ,凱基金          ,"3,423,000","310,000","3,113,000"
2492  ,華新科          ,"2,236,000",0,"2,236,000"
2887  ,台新新光金      ,"2,940,000","1,011,000","1,929,000"
3231  ,緯創            ,"3,399,000","1,484,000","1,915,000"
6213  ,聯茂            ,"1,395,000",0,"1,395,000"
2449  ,京元電子        ,"1,595,000","214,000","1,381,000"
2881  ,富邦金          ,"1,320,000","173,081","1,146,919"
2301  ,光寶科          ,"1,745,000","671,000","1,074,000"
2882  ,國泰金          ,"1,317,000","257,208","1,059,792"
6442  ,光聖            ,"754,000",0,"754,000"
4958  ,臻鼎-KY         ,"856,000","261,000","595,000"
2383  ,台光電          ,"608,000","15,000","593,000"
3017  ,奇鋐            ,"598,000","57,000","541,000"
3030  ,德律            ,"500,000",0,"500,000"
2308  ,台達電          ,"502,000","13,000","489,000"
2472  ,立隆電          ,"339,000",0,"339,000"
1402  ,遠東新          ,"350,000","61,000","289,000"
2360  ,致茂            ,"675,000","436,000","239,000"
2330  ,台積電          ,"286,000","74,000","212,000"
2345  ,智邦            ,"239,000","28,000","211,000"
3665  ,貿聯-KY         ,"206,000","12,000","194,000"
4551  ,智伸科          ,"193,000",0,"193,000"
"=""0056  """,元大高股息      ,"190,000",0,"190,000"
8210  ,勤誠            ,"120,000",0,"120,000"
5243  ,乙盛-KY         ,"100,000",0,"100,000"
3715  ,定穎投控        ,"81,000",0,"81,000"
3481  ,群創            ,"73,000",0,"73,000"
2409  ,友達            ,"86,000","22,292","63,708"
5871  ,中租-KY         ,"145,000","97,000","48,000"
3037  ,欣興            ,"53,000","10,000","43,000"
"=""00830 """,國泰費城半導體  ,"41,000",0,"41,000"
6770  ,力積電          ,"65,000","28,000","37,000"
3450  ,聯鈞            ,"33,000",0,"33,000"
2327  ,國巨*           ,"139,000","107,000","32,000"
"=""00850 """,元大臺灣ESG永續 ,"30,000",0,"30,000"
6271  ,同欣電          ,"23,000",0,"23,000"
