證券代號,證券名稱,買進股數,賣出股數,買賣超股數
2337  ,旺宏            ,"2,856,000",0,"2,856,000"
2449  ,京元電子        ,"3,009,000","250,000","2,759,000"
"=""0050  """,元大台灣50      ,"1,400,000",0,"1,400,000"
3231  ,緯創            ,"1,910,000","527,000","1,383,000"
2317  ,鴻海            ,"1,169,000","275,303","893,697"
2301  ,光寶科          ,"1,777,000","1,190,000","587,000"
"=""00878 """,國泰永續高股息  ,"560,000",0,"560,000"
3013  ,晟銘電          ,"523,000",0,"523,000"
3017  ,奇鋐            ,"462,000","26,000","436,000"
2408  ,南亞科          ,"362,000","37,000","325,000"
6442  ,光聖            ,"243,000",0,"243,000"
2330  ,台積電          ,"271,000","50,423","220,577"
2308  ,台達電          ,"215,000","13,000","202,000"
2891  ,中信金          ,"2,800,000","2,633,845","166,155"
2382  ,廣達            ,"234,000","68,902","165,098"
2360  ,致茂            ,"171,000","21,000","150,000"
1702  ,南僑            ,"148,500",0,"148,500"
2402  ,毅嘉            ,"147,000",0,"147,000"
2059  ,川湖            ,"151,000","4,283","146,717"
3015  ,全漢            ,"127,395",0,"127,395"
3694  ,海華            ,"104,000",0,"104,000"
3706  ,神達            ,"86,000",0,"86,000"
5284  ,jpp-KY          ,"80,000",0,"80,000"
6515  ,穎崴            ,"169,000","91,000","78,000"
2316  ,楠梓電          ,"73,000",0,"73,000"
6213  ,聯茂            ,"69,000",0,"69,000"
8021  ,尖點            ,"66,000",0,"66,000"
6177  ,達麗            ,"59,000",0,"59,000"
2002  ,中鋼            ,"51,000",0,"51,000"
3030  ,德律            ,"50,000",0,"50,000"
8046  ,南電            ,"71,000","22,000","49,000"
5880  ,合庫金          ,"48,000",0,"48,000"
3515  ,華擎            ,"45,000",0,"45,000"
2881  ,富邦金          ,"338,000","301,162","36,838"
3481  ,群創            ,"36,000",0,"36,000"
2354  ,鴻準            ,"35,000",0,"35,000"
3037  ,欣興            ,"31,000",0,"31,000"
6191  ,精成科          ,"31,000",0,"31,000"
2345  ,智邦            ,"120,000","90,000","30,000"
2409  ,友達            ,"29,000",0,"29,000"
6669  ,緯穎            ,"25,000",0,"25,000"
5234  ,達興材料        ,"21,000",0,"21,000"
6139  ,亞翔            ,"37,000","16,000","21,000"
3450  ,聯鈞            ,"20,000",0,"20,000"
1301  ,台塑            ,"19,000",0,"19,000"
2880  ,華南金          ,"42,000","24,000","18,000"
9938  ,百和            ,"29,000","12,000","17,000"
6271  ,同欣電          ,"15,000",0,"15,000"
2352  ,佳世達          ,"11,000",0,"11,000"
6592A ,和潤企業甲特    ,"10,000",0,"10,000"
6592B ,和潤企業乙特    ,"10,000",0,"10,000"
7750  ,新代            ,"10,000",0,"10,000"
2313  ,華通            ,"9,000",0,"9,000"
2383  ,台光電          ,"97,000","88,000","9,000"
2395  ,研華            ,"5,000","1,000","4,000"
6944  ,兆聯實業        ,"3,000",0,"3,000"
8422  ,可寧衛          ,"2,000",0,"2,000"
2492  ,華新科          ,"1,000",0,"1,000"
3008  ,大立光          ,"1,000",374,626
1303  ,南亞            ,"6,000","5,332,000","-5,326,000"
2481  ,強茂            ,0,"4,698,000","-4,698,000"
2303  ,聯電            ,"336,000","3,959,751","-3,623,751"
2884  ,玉山金          ,"48,000","3,505,000","-3,457,000"
"=""00965 """,元大航太防衛科技,0,"3,000,000","-3,000,000"
2618  ,長榮航          ,"76,000","2,433,000","-2,357,000"
2887  ,台新新光金      ,"1,467,000","3,804,000","-2,337,000"
6239  ,力成            ,"1,418,000","3,566,000","-2,148,000"
2344  ,華邦電          ,"16,000","2,100,000","-2,084,000"
2324  ,仁寶            ,"21,000","2,091,000","-2,070,000"
2615  ,萬海            ,"2,000","2,022,000","-2,020,000"
3702  ,大聯大          ,"8,000","1,879,000","-1,871,000"
2356  ,英業達          ,"23,000","1,693,000","-1,670,000"
2455  ,全新            ,"11,000","1,427,000","-1,416,000"
4904  ,遠傳            ,"9,000","1,329,000","-1,320,000"
3376  ,新日興          ,0,"1,318,000","-1,318,000"
"=""00945B""",凱基美國非投等債,0,"1,300,000","-1,300,000"
2353  ,宏��            ,"14,000","1,284,000","-1,270,000"
2801  ,彰銀            ,0,"1,230,000","-1,230,000"
2603  ,長榮            ,"2,000","1,222,000","-1,220,000"
4938  ,和碩            ,"159,000","1,334,000","-1,175,000"
2347  ,聯強            ,"6,000","1,177,000","-1,171,000"
2885  ,元大金          ,"281,000","1,359,000","-1,078,000"
2892  ,第一金          ,"49,000","1,044,000","-995,000"
3045  ,台灣大          ,"8,000","891,000","-883,000"
3044  ,健鼎            ,"31,000","891,000","-860,000"
1504  ,東元            ,0,"827,000","-827,000"
2105  ,正新            ,0,"736,000","-736,000"
5876  ,上海商銀        ,"4,000","712,000","-708,000"
2368  ,金像電          ,"294,000","932,000","-638,000"
2385  ,群光            ,"3,000","638,325","-635,325"
2886  ,兆豐金          ,"54,000","687,000","-633,000"
6757  ,台灣虎航        ,0,"625,000","-625,000"
8112  ,至上            ,0,"601,068","-601,068"
"=""00646 """,元大S&P500      ,0,"600,000","-600,000"
3036  ,文曄            ,"60,000","604,000","-544,000"
1319  ,東陽            ,0,"538,000","-538,000"
2890  ,永豐金          ,"53,000","574,000","-521,000"
2610  ,華航            ,"61,000","578,000","-517,000"
9802  ,鈺齊-KY         ,0,"506,000","-506,000"
1102  ,亞泥            ,0,"469,000","-469,000"
1216  ,統一            ,"22,000","474,000","-452,000"
3189  ,景碩            ,"57,000","486,000","-429,000"
1210  ,大成            ,0,"417,000","-417,000"
2474  ,可成            ,"3,000","406,187","-403,187"
3711  ,日月光投控      ,"331,000","723,000","-392,000"
2912  ,統一超          ,"2,000","387,000","-385,000"
3653  ,健策            ,"1,000","371,623","-370,623"
2609  ,陽明            ,"2,000","363,000","-361,000"
1560  ,中砂            ,"1,000","359,000","-358,000"
2377  ,微星            ,"3,000","359,000","-356,000"
3005  ,神基            ,"2,000","346,000","-344,000"
1402  ,遠東新          ,"54,000","394,000","-340,000"
4915  ,致伸            ,0,"331,000","-331,000"
2211  ,長榮鋼          ,0,"323,000","-323,000"
6278  ,台表科          ,0,"319,000","-319,000"
6285  ,啟��            ,"15,000","326,000","-311,000"
3034  ,聯詠            ,"31,000","336,962","-305,962"
2504  ,國產            ,0,"304,234","-304,234"
6005  ,群益證          ,0,"303,093","-303,093"
2883  ,凱基金          ,"1,142,000","1,430,000","-288,000"
1307  ,三芳            ,0,"277,000","-277,000"
2357  ,華碩            ,"34,000","295,405","-261,405"
2883B ,凱基金乙特      ,0,"250,000","-250,000"
9939  ,宏全            ,"4,000","249,000","-245,000"
1590  ,亞德客-KY       ,0,"235,000","-235,000"
8070  ,長華*           ,0,"216,000","-216,000"
2454  ,聯發科          ,"205,000","416,544","-211,544"
8016  ,矽創            ,0,"199,000","-199,000"
2006  ,東和鋼鐵        ,0,"190,000","-190,000"
2206  ,三陽工業        ,0,"184,000","-184,000"
5388  ,中磊            ,0,"170,000","-170,000"
2393  ,億光            ,0,"168,787","-168,787"
3661  ,世芯-KY         ,"34,600","202,000","-167,400"
2379  ,瑞昱            ,"6,000","172,000","-166,000"
2520  ,冠德            ,0,"163,000","-163,000"
3665  ,貿聯-KY         ,"66,000","229,000","-163,000"
6176  ,瑞儀            ,"2,000","162,490","-160,490"
6412  ,群電            ,"1,000","161,000","-160,000"
2458  ,義隆            ,"1,000","143,512","-142,512"
9917  ,中保科          ,0,"140,000","-140,000"
2404  ,漢唐            ,"9,000","145,000","-136,000"
2376  ,技嘉            ,"2,000","115,000","-113,000"
2439  ,美律            ,0,"111,349","-111,349"
2607  ,榮運            ,0,"110,000","-110,000"
6446  ,藥華藥          ,"1,000","107,000","-106,000"
3443  ,創意            ,"10,000","111,000","-101,000"
2727  ,王品            ,0,"100,000","-100,000"
3533  ,嘉澤            ,"2,000","99,338","-97,338"
3090  ,日電貿          ,0,"93,000","-93,000"
3715  ,定穎投控        ,0,"90,000","-90,000"
