證券代號,證券名稱,買進股數,賣出股數,買賣超股數
3715  ,定穎投控        ,"5,103,000",0,"5,103,000"
2887  ,台新新光金      ,"4,109,000","209,000","3,900,000"
2317  ,鴻海            ,"2,261,000","140,151","2,120,849"
2481  ,強茂            ,"1,470,000",0,"1,470,000"
1303  ,南亞            ,"1,296,000","12,769","1,283,231"
2883  ,凱基金          ,"1,082,000","85,000","997,000"
8021  ,尖點            ,"940,000",0,"940,000"
3231  ,緯創            ,"900,000","119,000","781,000"
1605  ,華新            ,"740,000",0,"740,000"
2377  ,微星            ,"703,000",0,"703,000"
2408  ,南亞科          ,"648,000","53,000","595,000"
6531  ,愛普*           ,"504,000",0,"504,000"
3167  ,大量            ,"486,000",0,"486,000"
2330  ,台積電          ,"413,000","77,650","335,350"
2890  ,永豐金          ,"506,000","232,395","273,605"
"=""00881 """,國泰台灣科技龍頭,"250,000",0,"250,000"
2880  ,華南金          ,"263,000","26,000","237,000"
2360  ,致茂            ,"224,000","2,000","222,000"
6213  ,聯茂            ,"187,000",0,"187,000"
2421  ,建準            ,"180,000",0,"180,000"
6805  ,富世達          ,"187,000","9,000","178,000"
2316  ,楠梓電          ,"173,000",0,"173,000"
6781  ,AES-KY          ,"164,000",0,"164,000"
3706  ,神達            ,"184,000","21,000","163,000"
2383  ,台光電          ,"163,000","2,300","160,700"
8210  ,勤誠            ,"141,000",0,"141,000"
1702  ,南僑            ,"140,010",0,"140,010"
3702  ,大聯大          ,"136,000","8,000","128,000"
1519  ,華城            ,"109,000",563,"108,437"
3443  ,創意            ,"107,000",0,"107,000"
2441  ,超豐            ,"99,000",0,"99,000"
3711  ,日月光投控      ,"188,000","89,000","99,000"
2886  ,兆豐金          ,"107,000","15,188","91,812"
6890  ,來億-KY         ,"80,000",0,"80,000"
2542  ,興富發          ,"66,000",0,"66,000"
2354  ,鴻準            ,"65,000","1,000","64,000"
5234  ,達興材料        ,"63,000",0,"63,000"
3515  ,華擎            ,"62,000",0,"62,000"
2368  ,金像電          ,"50,000","2,000","48,000"
4763  ,材料*-KY        ,"48,000","7,890","40,110"
6669  ,緯穎            ,"41,000","1,000","40,000"
3653  ,健策            ,"38,000",0,"38,000"
3037  ,欣興            ,"135,000","98,000","37,000"
2379  ,瑞昱            ,"47,000","12,000","35,000"
6505  ,台塑化          ,"40,000","6,477","33,523"
3481  ,群創            ,"37,000","5,000","32,000"
6191  ,精成科          ,"32,000",0,"32,000"
"=""0052  """,富邦科技        ,"30,000",0,"30,000"
6442  ,光聖            ,"29,000",0,"29,000"
4722  ,國精化          ,"26,000",0,"26,000"
3044  ,健鼎            ,"442,000","417,000","25,000"
2455  ,全新            ,"24,000",0,"24,000"
6757  ,台灣虎航        ,"19,000",0,"19,000"
6415  ,矽力*-KY        ,"18,000",0,"18,000"
1722  ,台肥            ,"17,000","1,000","16,000"
2376  ,技嘉            ,"12,000",0,"12,000"
8114  ,振樺電          ,"12,000",0,"12,000"
3017  ,奇鋐            ,"41,000","30,000","11,000"
6196  ,帆宣            ,"8,000",0,"8,000"
3661  ,世芯-KY         ,"8,000","1,000","7,000"
2352  ,佳世達          ,"6,000",0,"6,000"
3023  ,信邦            ,"6,000",0,"6,000"
2313  ,華通            ,"5,000",0,"5,000"
6271  ,同欣電          ,"5,000",0,"5,000"
2233  ,宇隆            ,"4,000",0,"4,000"
3406  ,玉晶光          ,"3,000",0,"3,000"
3005  ,神基            ,"2,000",0,"2,000"
6691  ,洋基工程        ,"3,000","1,000","2,000"
3008  ,大立光          ,"3,000","1,111","1,889"
6944  ,兆聯實業        ,"2,000","1,000","1,000"
2891  ,中信金          ,"471,000","5,505,927","-5,034,927"
2344  ,華邦電          ,"16,000","3,400,000","-3,384,000"
2303  ,聯電            ,"695,000","3,223,753","-2,528,753"
2882  ,國泰金          ,0,"2,458,216","-2,458,216"
2449  ,京元電子        ,"180,000","2,321,000","-2,141,000"
2881  ,富邦金          ,"159,000","1,847,369","-1,688,369"
2618  ,長榮航          ,0,"1,587,974","-1,587,974"
1504  ,東元            ,0,"1,051,487","-1,051,487"
2884  ,玉山金          ,"343,000","1,303,345","-960,345"
8996  ,高力            ,"5,000","810,000","-805,000"
4915  ,致伸            ,"20,000","722,700","-702,700"
2301  ,光寶科          ,"24,000","720,000","-696,000"
2382  ,廣達            ,"40,000","664,348","-624,348"
6239  ,力成            ,"65,000","677,000","-612,000"
2892  ,第一金          ,0,"606,000","-606,000"
2393  ,億光            ,"41,000","598,333","-557,333"
6139  ,亞翔            ,"34,000","563,000","-529,000"
4904  ,遠傳            ,0,"523,000","-523,000"
2347  ,聯強            ,"6,000","512,562","-506,562"
4977  ,眾達-KY         ,0,"451,000","-451,000"
4551  ,智伸科          ,0,"431,000","-431,000"
2885  ,元大金          ,0,"414,454","-414,454"
2603  ,長榮            ,0,"411,485","-411,485"
2105  ,正新            ,0,"403,725","-403,725"
"=""00713 """,元大台灣高息低波,0,"400,000","-400,000"
6438  ,迅得            ,0,"400,000","-400,000"
6005  ,群益證          ,0,"396,672","-396,672"
2610  ,華航            ,0,"365,508","-365,508"
4938  ,和碩            ,"9,000","366,190","-357,190"
3045  ,台灣大          ,0,"335,000","-335,000"
3376  ,新日興          ,0,"326,000","-326,000"
3665  ,貿聯-KY         ,"52,000","358,000","-306,000"
3036  ,文曄            ,"201,000","498,000","-297,000"
3533  ,嘉澤            ,"1,000","295,064","-294,064"
2385  ,群光            ,"3,000","296,152","-293,152"
2345  ,智邦            ,"80,600","371,323","-290,723"
2308  ,台達電          ,"18,000","306,500","-288,500"
5388  ,中磊            ,0,"265,000","-265,000"
2059  ,川湖            ,0,"264,000","-264,000"
2543  ,皇昌            ,0,"256,000","-256,000"
2504  ,國產            ,0,"253,276","-253,276"
2606  ,裕民            ,0,"252,770","-252,770"
2637  ,慧洋-KY         ,0,"225,410","-225,410"
