單位名稱,買進金額,賣出金額,買賣差額,Unnamed: 4
自營商(自行買賣),"4,771,863,153","3,092,032,646","1,679,830,507",
自營商(避險),"9,590,441,473","7,799,141,097","1,791,300,376",
投信,"4,250,209,250","5,183,510,160","-933,300,910",
外資及陸資(不含外資自營商),"110,553,338,523","90,838,448,800","19,714,889,723",
外資自營商,"16,916,600","19,510,510","-2,593,910",
合計,"129,165,852,399","106,913,132,703","22,252,719,696",
說明:,,,,
自營商表示證券自營商專戶。,,,,
投信表示本國投資信託基金。,,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,,
