單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"4,576,590,035","4,595,135,984","-18,545,949"
自營商(避險),"6,224,527,871","8,148,925,087","-1,924,397,216"
投信,"3,486,022,340","1,984,980,387","1,501,041,953"
外資及陸資(不含外資自營商),"96,370,795,094","128,913,771,609","-32,542,976,515"
外資自營商,"16,309,950","20,747,990","-4,438,040"
合計,"110,657,935,340","143,642,813,067","-32,984,877,727"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
