單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"1,925,315,960","1,627,622,646","297,693,314"
自營商(避險),"7,197,831,602","8,209,835,538","-1,012,003,936"
投信,"2,549,881,310","1,878,527,290","671,354,020"
外資及陸資(不含外資自營商),"68,903,064,051","85,543,625,394","-16,640,561,343"
外資自營商,"21,176,740","24,374,530","-3,197,790"
合計,"80,576,092,923","97,259,610,868","-16,683,517,945"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
