單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"4,008,303,835","6,190,240,911","-2,181,937,076"
自營商(避險),"6,082,588,282","15,014,807,568","-8,932,219,286"
投信,"8,645,333,869","4,253,022,244","4,392,311,625"
外資及陸資(不含外資自營商),"77,845,611,969","91,357,080,680","-13,511,468,711"
外資自營商,"21,383,630","17,808,550","3,575,080"
合計,"96,581,837,955","116,815,151,403","-20,233,313,448"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
