單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"2,916,788,634","4,183,819,848","-1,267,031,214"
自營商(避險),"8,367,135,745","11,923,358,568","-3,556,222,823"
投信,"5,742,250,204","3,410,581,822","2,331,668,382"
外資及陸資(不含外資自營商),"73,426,423,993","69,111,454,301","4,314,969,692"
外資自營商,"18,276,420","30,929,350","-12,652,930"
合計,"90,452,598,576","88,629,214,539","1,823,384,037"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
