單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"11,349,237,647","10,325,451,576","1,023,786,071"
自營商(避險),"8,498,306,787","11,816,931,876","-3,318,625,089"
投信,"2,967,154,060","5,008,996,080","-2,041,842,020"
外資及陸資(不含外資自營商),"104,104,857,718","120,001,386,417","-15,896,528,699"
外資自營商,"29,005,490","34,959,510","-5,954,020"
合計,"126,919,556,212","147,152,765,949","-20,233,209,737"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
