單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"1,795,590,670","3,573,936,553","-1,778,345,883"
自營商(避險),"8,175,412,358","9,197,119,600","-1,021,707,242"
投信,"12,013,713,490","13,294,763,369","-1,281,049,879"
外資及陸資(不含外資自營商),"87,158,020,235","93,643,912,484","-6,485,892,249"
外資自營商,0,0,0
合計,"109,142,736,753","119,709,732,006","-10,566,995,253"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
