單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"7,124,653,634","9,815,219,076","-2,690,565,442"
自營商(避險),"8,003,671,630","9,910,106,935","-1,906,435,305"
投信,"3,706,360,310","3,497,588,461","208,771,849"
外資及陸資(不含外資自營商),"106,699,280,352","119,971,283,309","-13,272,002,957"
外資自營商,"25,423,150","23,070,050","2,353,100"
合計,"125,533,965,926","143,194,197,781","-17,660,231,855"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
