單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"4,012,897,116","6,392,155,150","-2,379,258,034"
自營商(避險),"6,115,445,752","10,192,368,049","-4,076,922,297"
投信,"7,402,961,756","2,958,482,985","4,444,478,771"
外資及陸資(不含外資自營商),"107,523,521,366","104,072,006,553","3,451,514,813"
外資自營商,"34,233,120","33,607,010","626,110"
合計,"125,054,825,990","123,615,012,737","1,439,813,253"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
