單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"6,622,583,042","4,914,051,457","1,708,531,585"
自營商(避險),"8,583,784,828","10,710,923,980","-2,127,139,152"
投信,"1,937,254,400","3,783,525,887","-1,846,271,487"
外資及陸資(不含外資自營商),"89,179,539,400","109,169,099,306","-19,989,559,906"
外資自營商,"38,660,400","39,873,510","-1,213,110"
合計,"106,323,161,670","128,577,600,630","-22,254,438,960"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
