單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"2,566,385,613","2,472,170,595","94,215,018"
自營商(避險),"5,730,613,935","4,881,864,912","848,749,023"
投信,"2,961,729,020","1,296,092,571","1,665,636,449"
外資及陸資(不含外資自營商),"70,572,905,487","85,140,773,467","-14,567,867,980"
外資自營商,"16,769,100","9,861,150","6,907,950"
合計,"81,831,634,055","93,790,901,545","-11,959,267,490"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
