單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"1,584,838,413","2,764,422,941","-1,179,584,528"
自營商(避險),"8,171,438,681","13,158,307,902","-4,986,869,221"
投信,"3,277,258,732","1,484,323,908","1,792,934,824"
外資及陸資(不含外資自營商),"74,544,144,536","108,708,018,531","-34,163,873,995"
外資自營商,"18,334,010","47,218,210","-28,884,200"
合計,"87,577,680,362","126,115,073,282","-38,537,392,920"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
