單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"9,244,024,457","4,625,853,798","4,618,170,659"
自營商(避險),"11,198,410,934","11,602,781,673","-404,370,739"
投信,"4,911,910,560","3,492,825,917","1,419,084,643"
外資及陸資(不含外資自營商),"90,214,449,445","102,070,998,550","-11,856,549,105"
外資自營商,"14,961,580","25,373,730","-10,412,150"
合計,"115,568,795,396","121,792,459,938","-6,223,664,542"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
