單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"8,408,337,334","3,209,729,766","5,198,607,568"
自營商(避險),"19,873,007,958","11,611,537,830","8,261,470,128"
投信,"10,451,606,549","11,548,466,877","-1,096,860,328"
外資及陸資(不含外資自營商),"160,139,598,588","108,133,186,264","52,006,412,324"
外資自營商,0,0,0
合計,"198,872,550,429","134,502,920,737","64,369,629,692"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
