單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"4,520,350,916","7,352,404,613","-2,832,053,697"
自營商(避險),"11,926,553,340","18,488,114,009","-6,561,560,669"
投信,"9,582,016,820","8,460,416,744","1,121,600,076"
外資及陸資(不含外資自營商),"123,577,247,236","174,915,768,782","-51,338,521,546"
外資自營商,0,0,0
合計,"149,606,168,312","209,216,704,148","-59,610,535,836"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
