單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"1,706,317,814","2,564,378,519","-858,060,705"
自營商(避險),"6,918,159,073","8,637,772,298","-1,719,613,225"
投信,"2,193,288,156","3,900,649,150","-1,707,360,994"
外資及陸資(不含外資自營商),"81,915,359,264","85,988,170,651","-4,072,811,387"
外資自營商,"36,720,380","39,675,170","-2,954,790"
合計,"92,733,124,307","101,090,970,618","-8,357,846,311"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
