單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"3,153,714,294","1,839,576,809","1,314,137,485"
自營商(避險),"6,706,795,818","5,227,977,598","1,478,818,220"
投信,"2,323,564,796","2,482,212,744","-158,647,948"
外資及陸資(不含外資自營商),"65,871,897,453","55,314,648,975","10,557,248,478"
外資自營商,"17,652,680","25,383,480","-7,730,800"
合計,"78,055,972,361","64,864,416,126","13,191,556,235"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
