單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"1,691,201,179","4,905,488,586","-3,214,287,407"
自營商(避險),"6,307,309,787","9,501,534,275","-3,194,224,488"
投信,"25,702,251,733","25,719,225,004","-16,973,271"
外資及陸資(不含外資自營商),"107,397,617,217","123,036,741,707","-15,639,124,490"
外資自營商,"38,882,980","32,766,910","6,116,070"
合計,"141,098,379,916","163,162,989,572","-22,064,609,656"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
