單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"4,156,816,110","5,892,352,241","-1,735,536,131"
自營商(避險),"8,475,719,953","10,705,036,831","-2,229,316,878"
投信,"2,498,966,390","3,223,932,018","-724,965,628"
外資及陸資(不含外資自營商),"107,736,355,675","111,775,755,631","-4,039,399,956"
外資自營商,"43,317,270","34,773,810","8,543,460"
合計,"122,867,858,128","131,597,076,721","-8,729,218,593"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
