單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"1,675,947,013","3,544,000,049","-1,868,053,036"
自營商(避險),"5,200,083,916","9,252,844,824","-4,052,760,908"
投信,"2,968,652,870","2,494,178,180","474,474,690"
外資及陸資(不含外資自營商),"59,470,981,184","80,618,622,668","-21,147,641,484"
外資自營商,"18,578,980","16,278,710","2,300,270"
合計,"69,315,664,983","95,909,645,721","-26,593,980,738"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
