單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"1,688,881,799","2,760,979,049","-1,072,097,250"
自營商(避險),"4,352,682,100","6,466,398,586","-2,113,716,486"
投信,"4,857,207,330","3,090,015,277","1,767,192,053"
外資及陸資(不含外資自營商),"58,835,888,552","66,669,824,403","-7,833,935,851"
外資自營商,"16,051,130","14,732,440","1,318,690"
合計,"69,734,659,781","78,987,217,315","-9,252,557,534"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
