單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"4,424,752,823","6,182,388,627","-1,757,635,804"
自營商(避險),"6,409,726,839","10,231,980,212","-3,822,253,373"
投信,"5,359,050,130","3,972,491,699","1,386,558,431"
外資及陸資(不含外資自營商),"81,448,143,400","131,136,720,079","-49,688,576,679"
外資自營商,"22,682,230","18,140,560","4,541,670"
合計,"97,641,673,192","151,523,580,617","-53,881,907,425"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
