單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"2,729,787,062","2,793,735,473","-63,948,411"
自營商(避險),"6,874,352,465","7,731,022,081","-856,669,616"
投信,"2,808,685,530","2,948,217,886","-139,532,356"
外資及陸資(不含外資自營商),"61,730,638,178","74,322,877,550","-12,592,239,372"
外資自營商,"16,285,260","21,281,810","-4,996,550"
合計,"74,143,463,235","87,795,852,990","-13,652,389,755"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
