單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"3,795,738,700","2,854,129,103","941,609,597"
自營商(避險),"6,167,695,136","6,883,937,500","-716,242,364"
投信,"3,991,941,560","2,127,809,427","1,864,132,133"
外資及陸資(不含外資自營商),"76,639,053,304","84,091,549,971","-7,452,496,667"
外資自營商,"13,957,380","17,088,290","-3,130,910"
合計,"90,594,428,700","95,957,426,001","-5,362,997,301"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
