單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"598,619,091","1,388,648,854","-790,029,763"
自營商(避險),"2,546,558,208","3,382,002,691","-835,444,483"
投信,"2,699,478,180","2,104,438,863","595,039,317"
外資及陸資(不含外資自營商),"24,065,016,732","28,087,285,799","-4,022,269,067"
外資自營商,"24,114,250","21,426,080","2,688,170"
合計,"29,909,672,211","34,962,376,207","-5,052,703,996"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
