單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"2,339,671,153","5,689,190,858","-3,349,519,705"
自營商(避險),"9,107,957,229","11,955,993,062","-2,848,035,833"
投信,"5,212,222,188","4,142,484,173","1,069,738,015"
外資及陸資(不含外資自營商),"120,785,748,676","85,986,033,533","34,799,715,143"
外資自營商,"55,872,790","61,373,510","-5,500,720"
合計,"137,445,599,246","107,773,701,626","29,671,897,620"
說明:,,,
自營商表示證券自營商專戶。,,,
投信表示本國投資信託基金。,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,
