單位名稱,買進金額,賣出金額,買賣差額,Unnamed: 4
自營商(自行買賣),"5,262,172,990","11,466,655,316","-6,204,482,326",
自營商(避險),"8,761,425,014","11,004,401,026","-2,242,976,012",
投信,"3,443,704,430","3,821,302,454","-377,598,024",
外資及陸資(不含外資自營商),"92,700,248,743","92,848,360,114","-148,111,371",
外資自營商,"39,927,500","21,127,010","18,800,490",
合計,"110,167,551,177","119,140,718,910","-8,973,167,733",
說明:,,,,
自營商表示證券自營商專戶。,,,,
投信表示本國投資信託基金。,,,,
外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。,,,,
因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。,,,,
本統計資訊含一般、零股、盤後定價、鉅額，不含拍賣、標購。,,,,
本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。,,,,
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。
公告匯率請參考本公司首頁>產品與服務>交易系統>雙幣ETF專區>代號對應及每日公告匯率。",,,,
