證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,47.60,7.08,109,13.96,1.49,110/3
1102,亞泥,45.95,7.53,109,10.54,1.07,110/3
1103,嘉泥,21.05,6.65,109,7.41,0.52,110/3
1104,環泥,21.80,5.05,109,12.90,0.76,110/3
1108,幸福,11.35,6.17,109,19.57,1.01,110/3
1109,信大,20.10,7.46,109,7.10,0.92,110/3
1110,東泥,19.15,0.52,109,79.79,1.28,110/3
1201,味全,22.00,2.41,109,18.64,1.61,110/3
1203,味王,33.30,3.3,109,18.20,1.53,110/3
1210,大成,54.90,5.46,109,19.13,2.25,110/3
1213,大飲,8.20,0.0,109,-,1.01,110/3
1215,卜蜂,85.80,5.24,109,15.52,2.94,110/3
1216,統一,68.50,3.94,109,19.41,3.45,110/3
1217,愛之味,11.05,0.0,109,21.67,0.83,110/3
1218,泰山,28.30,4.95,109,23.01,2.02,110/3
1219,福壽,20.80,4.81,109,16.91,1.54,110/3
1220,台榮,17.40,5.75,109,15.00,1.32,110/3
1225,福懋油,60.40,2.32,109,27.58,3.98,110/3
1227,佳格,51.30,4.87,109,17.63,2.68,110/3
1229,聯華,67.60,3.99,109,19.20,2.44,110/3
1231,聯華食,75.80,3.43,109,19.24,3.56,110/3
1232,大統益,157.00,3.82,109,19.05,5.6,110/3
1233,天仁,34.40,2.33,109,74.78,2.23,110/3
1234,黑松,35.85,5.02,109,20.37,0.81,110/3
1235,興泰,43.95,3.41,109,61.04,1.33,110/3
1236,宏亞,29.70,0.67,109,-,2.08,110/3
1256,鮮活果汁-KY,320.50,3.74,109,12.61,3.75,110/3
1301,台塑,105.00,2.29,109,10.25,1.74,110/3
1303,南亞,89.10,2.69,109,9.30,1.78,110/3
1304,台聚,29.75,3.36,109,6.51,1.33,110/3
1305,華夏,35.50,6.48,109,7.14,1.94,110/3
1307,三芳,20.90,2.39,109,43.54,1.09,110/3
1308,亞聚,37.00,3.78,109,8.13,1.45,110/3
1309,台達化,34.15,8.78,109,5.90,1.77,110/3
1310,台苯,17.75,2.82,109,11.91,1.25,110/3
1312,國喬,28.70,0.35,109,3.78,0.79,110/3
1313,聯成,21.80,4.59,109,6.65,0.98,110/3
1314,中石化,12.35,0.0,109,10.12,0.55,110/3
1315,達新,84.60,9.46,109,196.74,0.7,110/3
1316,上曜,21.20,0.0,109,-,2.02,110/3
1319,東陽,33.40,2.4,109,28.55,0.92,110/3
1321,大洋,34.05,2.94,109,15.84,1.14,110/3
1323,永裕,37.50,4.27,109,12.14,1.51,110/3
1324,地球,11.55,2.6,109,-,0.92,110/3
1325,恆大,43.85,27.37,109,4.55,1.27,110/3
1326,台化,80.70,3.1,109,10.59,1.22,110/3
1337,再生-KY,7.04,0.0,109,-,0.35,110/3
1338,廣華-KY,59.30,5.9,109,12.08,0.81,110/3
1339,昭輝,34.80,5.75,109,24.00,0.76,110/3
1340,勝悅-KY,11.10,0.0,109,-,0.33,110/3
1341,富林-KY,66.40,9.04,109,9.98,2.78,110/3
1342,八貫,64.90,3.85,109,20.28,2.99,110/3
1402,遠東新,30.20,4.47,109,16.32,0.79,110/3
1409,新纖,20.40,5.39,109,8.99,0.96,110/3
1410,南染,36.85,2.44,109,29.72,2.09,110/3
1413,宏洲,10.50,0.0,109,36.21,1.26,110/3
1414,東和,18.25,1.37,109,33.18,1.27,110/3
1416,廣豐,11.35,4.41,109,-,0.62,110/3
1417,嘉裕,14.10,2.13,109,12.59,0.99,110/3
1418,東華,15.60,0.0,109,-,4.67,110/3
1419,新紡,42.60,2.35,109,26.13,1.3,110/3
1423,利華,20.00,9.0,109,4.57,0.92,110/3
1432,大魯閣,11.50,0.0,109,-,1.34,110/3
1434,福懋,29.00,3.45,109,23.39,0.76,110/3
1435,中福,42.50,0.0,109,-,5.05,110/3
1436,華友聯,57.80,3.46,109,11.97,1.82,110/3
1437,勤益控,27.55,2.54,109,12.24,0.85,110/3
1438,三地開發,30.70,0.0,109,307.00,2.76,110/3
1439,雋揚,21.95,0.0,109,-,0.93,110/3
1440,南紡,24.35,1.44,109,12.36,1.48,110/3
1441,大東,9.10,0.0,109,-,1.16,110/3
1442,名軒,22.35,2.24,109,15.00,1.4,110/3
1443,立益物流,16.50,0.0,109,40.24,1.74,110/3
1444,力麗,11.30,0.0,109,43.46,1.02,110/3
1445,大宇,16.35,1.22,109,-,1.36,110/3
1446,宏和,31.60,0.95,109,-,2.83,110/3
1447,力鵬,9.99,0.0,109,27.00,0.85,110/3
1449,佳和,14.00,0.0,109,10.00,1.1,110/3
1451,年興,20.60,2.91,109,23.95,0.55,110/3
1452,宏益,23.85,2.94,109,8.90,1.16,110/3
1453,大將,8.83,0.0,109,-,0.69,110/3
1454,台富,14.35,1.39,109,143.50,1.15,110/3
1455,集盛,16.25,1.85,109,7.67,1.19,110/3
1456,怡華,20.00,0.0,109,4.30,1.16,110/3
