證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1519,華城,49.25,2.03,110,24.26,3.53,111/3
1521,大億,35.95,1.67,110,23.81,1.53,111/3
1522,堤維西,28.35,1.76,110,10.54,1.11,111/3
1524,耿鼎,25.00,1.2,110,13.51,1.64,111/3
1525,江申,59.10,3.55,110,13.43,0.94,111/3
1526,日馳,44.00,5.91,110,6.82,1.81,111/3
1527,鑽全,41.60,5.77,110,7.50,1.25,111/3
1528,恩德,10.40,0.96,110,15.07,0.86,111/3
1529,樂事綠能,19.25,4.68,110,48.13,1.69,111/3
1530,亞崴,30.90,4.85,110,8.26,0.92,111/3
1531,高林股,14.05,4.98,110,10.89,0.68,111/3
1532,勤美,29.65,7.12,110,8.50,0.87,111/3
1533,車王電,52.20,0.57,110,68.68,1.94,111/3
1535,中宇,42.75,6.08,110,9.83,1.54,111/3
1536,和大,76.30,1.8,110,38.54,2.42,111/3
1537,廣隆,137.00,5.11,110,12.29,2.61,111/3
1538,正峰,6.04,0.0,110,-,2.99,111/3
1539,巨庭,30.75,2.6,110,4.70,1.18,111/3
1540,喬福,15.60,1.92,110,12.79,0.97,111/3
1541,錩泰,34.25,7.3,110,5.76,1.36,111/3
1558,伸興,122.00,6.97,110,15.93,1.46,111/3
1560,中砂,119.00,2.35,110,13.36,3.11,111/3
1568,倉佑,24.60,1.22,110,15.19,1.56,111/3
1582,信錦,58.60,9.04,110,19.60,1.29,111/3
1583,程泰,61.80,4.05,110,10.15,1.34,111/3
1587,吉茂,22.00,4.55,110,11.00,1.08,111/3
1589,永冠-KY,57.50,1.04,110,-,0.75,111/3
1590,亞德客-KY,948.00,1.4,110,30.21,4.99,111/3
1597,直得,73.60,3.4,110,20.85,2.65,111/3
1598,岱宇,43.90,5.72,110,-,1.45,111/3
1603,華電,26.70,1.87,110,13.09,0.73,111/3
1604,聲寶,26.00,10.38,110,14.29,1.2,111/3
1605,華新,47.85,3.34,110,7.63,1.42,111/3
1608,華榮,14.70,10.2,110,63.91,0.92,111/3
1609,大亞,20.75,4.58,110,13.39,1.4,111/3
1611,中電,14.00,5.71,110,14.74,1.08,111/3
1612,宏泰,16.90,16.57,110,2.18,0.77,111/3
1614,三洋電,35.95,3.42,110,28.99,1.71,111/3
1615,大山,28.70,9.76,110,10.63,1.81,111/3
1616,億泰,7.56,0.0,110,-,0.9,111/3
1617,榮星,15.05,5.45,110,23.89,1.11,111/3
1618,合機,14.60,3.42,110,12.59,0.67,111/3
1626,艾美特-KY,17.30,0.0,110,4.70,0.74,111/3
1701,中化,29.15,3.09,110,16.47,1.2,111/3
1702,南僑,44.90,4.9,110,15.38,1.19,111/3
1707,葡萄王,158.00,3.86,110,16.42,2.57,111/3
1708,東鹼,42.80,4.67,110,7.10,1.48,111/3
1709,和益,22.95,7.41,110,10.20,1.41,111/3
1710,東聯,18.95,3.69,110,-,1.42,111/3
1711,永光,19.95,2.51,110,27.33,1.31,111/3
1712,興農,37.35,4.82,110,9.75,1.92,111/3
1713,國化,25.25,3.37,110,15.40,1.52,111/3
1714,和桐,8.73,4.81,110,24.94,0.67,111/3
1717,長興,31.65,4.74,110,12.71,1.51,111/3
1718,中纖,8.76,0.0,110,-,0.52,111/3
1720,生達,60.80,4.11,110,13.36,2.4,111/3
1721,三晃,15.75,0.0,110,23.51,1.21,111/3
1722,台肥,54.20,5.17,110,18.19,1.01,111/3
1723,中碳,106.00,3.77,110,15.43,3.28,111/3
1725,元禎,21.00,5.86,110,12.14,0.95,111/3
1726,永記,70.90,4.94,110,14.93,1.22,111/3
1727,中華化,27.85,1.87,110,23.60,2.03,111/3
1730,花仙子,55.20,5.43,110,13.37,1.99,111/3
1731,美吾華,19.15,6.11,110,15.96,1.3,111/3
1732,毛寶,31.60,1.11,110,101.94,2.76,111/3
1733,五鼎,25.90,5.02,110,11.77,1.46,111/3
1734,杏輝,34.80,0.57,110,29.49,2.0,111/3
1735,日勝化,15.10,0.0,110,116.15,1.01,111/3
1736,喬山,78.80,0.63,110,64.59,2.83,111/3
1737,臺鹽,32.00,4.69,110,15.24,1.0,111/3
1752,南光,51.40,3.5,110,21.42,2.31,111/3
1760,寶齡富錦,178.50,0.84,110,55.96,7.27,111/3
1762,中化生,62.50,2.08,110,9.94,1.56,111/3
1773,勝一,118.50,4.64,110,15.97,3.86,111/3
1776,展宇,16.70,8.98,110,167.00,1.15,111/3
1783,和康生,47.80,2.09,110,33.43,2.95,111/3
1786,科妍,54.80,2.59,110,26.35,2.47,111/3
1789,神隆,26.00,1.85,110,66.67,1.98,111/3
1795,美時,255.00,0.76,110,21.52,4.97,111/3
1802,台玻,25.10,7.25,110,21.64,1.46,111/3
1805,寶徠,10.75,0.0,110,-,1.96,111/3
1806,冠軍,9.35,10.7,110,155.83,0.64,111/3
1808,潤隆,66.20,5.29,110,48.32,4.49,111/3
1809,中釉,13.20,1.89,110,21.64,0.73,111/3
1810,和成,20.10,1.0,110,23.10,0.96,111/3
1817,凱撒衛,37.30,5.36,110,9.79,1.38,111/3
1903,士紙,50.50,0.0,110,59.41,2.8,111/3
1904,正隆,27.65,6.87,110,10.20,1.11,111/3
1905,華紙,16.75,2.45,110,83.75,1.15,111/3
1906,寶隆,16.80,3.57,110,5.22,0.58,111/3
1907,永豐餘,25.10,5.98,110,14.51,0.75,111/3
1909,榮成,15.55,7.72,110,74.05,0.83,111/3
2002,中鋼,29.05,10.67,110,11.00,1.36,111/3
2006,東和鋼鐵,52.10,12.28,110,8.12,1.36,111/3
2007,燁興,11.00,0.0,110,-,0.83,111/3
2008,高興昌,17.20,0.0,110,47.78,1.34,111/3
2009,第一銅,32.10,3.12,110,55.34,2.71,111/3
2010,春源,16.25,8.0,110,13.89,0.95,111/3
2012,春雨,23.20,8.62,110,11.15,1.49,111/3
2013,中鋼構,58.40,3.42,110,20.71,2.32,111/3
2014,中鴻,25.90,10.81,110,38.66,2.13,111/3
2015,豐興,67.50,7.41,110,10.96,1.88,111/3
2017,官田鋼,13.75,8.73,110,12.61,1.04,111/3
2020,美亞,23.70,12.66,110,18.37,1.68,111/3
2022,聚亨,8.47,0.0,110,-,1.18,111/3
2023,燁輝,15.85,6.31,110,13.78,0.98,111/3
2024,志聯,18.45,6.5,110,21.96,1.51,111/3
2025,千興,4.99,0.0,110,1.81,1.03,111/3
2027,大成鋼,44.20,4.3,110,5.53,1.23,111/3
2028,威致,26.40,9.47,110,7.70,2.01,111/3
2029,盛餘,23.85,10.69,110,10.15,0.8,111/3
2030,彰源,23.00,8.7,110,5.58,1.23,111/3
2031,新光鋼,40.50,9.88,110,16.46,1.48,111/3
2032,新鋼,19.20,6.15,110,83.48,1.48,111/3
2033,佳大,14.35,1.39,110,-,1.13,111/3
2034,允強,28.40,5.28,110,8.48,1.2,111/3
2038,海光,20.50,7.32,110,11.58,1.03,111/3
2049,上銀,189.00,2.38,110,14.50,1.94,111/3
2059,川湖,403.00,2.7,110,9.57,2.57,111/3
2062,橋椿,22.65,2.21,110,5.42,0.62,111/3
2069,運錩,20.20,10.89,110,7.37,0.8,111/3
2101,南港,34.50,0.0,110,-,2.65,111/3
2102,泰豐,21.25,0.0,110,-,1.99,111/3
2103,台橡,28.00,8.57,110,9.69,1.23,111/3
2104,國際中橡,20.05,1.0,110,6.99,0.56,111/3
2105,正新,34.55,3.47,110,22.58,1.34,111/3
2106,建大,30.45,3.28,110,58.56,1.36,111/3
2107,厚生,21.95,5.47,110,8.19,0.62,111/3
2108,南帝,38.25,18.3,110,10.68,1.3,111/3
2109,華豐,14.65,6.83,110,11.36,1.31,111/3
2114,鑫永銓,99.50,7.04,110,17.43,2.7,111/3
2115,六暉-KY,29.60,6.76,110,11.34,0.96,111/3
2201,裕隆,66.80,2.25,110,-,1.3,111/3
2204,中華,55.90,9.84,110,-,0.87,111/3
2206,三陽工業,36.80,3.53,110,9.87,1.67,111/3
2207,和泰車,629.00,3.18,110,-,6.76,111/3
2208,台船,19.70,0.0,110,-,1.69,111/3
2211,長榮鋼,52.00,5.77,110,9.12,1.04,111/3
2227,裕日車,204.00,4.44,110,22.13,3.22,111/3
2228,劍麟,79.50,2.52,110,15.59,1.49,111/3
2231,為升,156.00,1.28,110,34.44,4.83,111/3
2233,宇隆,102.50,5.27,110,9.80,1.84,111/3
2236,百達-KY,24.55,18.33,110,19.33,1.01,111/3
2239,英利-KY,63.00,3.97,110,37.06,0.68,111/3
2241,艾姆勒,32.25,0.0,110,-,1.93,111/3
2243,宏旭-KY,12.50,0.0,110,-,1.03,111/3
2247,汎德永業,216.00,5.56,110,12.38,1.48,111/3
2250,IKKA-KY,75.30,4.28,110,22.34,1.38,111/3
2301,光寶科,65.10,6.91,110,11.63,1.89,111/3
2302,麗正,18.55,3.23,110,18.19,1.69,111/3
2303,聯電,44.45,6.75,110,6.59,1.76,111/3
2305,全友,27.85,0.0,110,73.29,2.46,111/3
2308,台達電,295.50,1.86,110,24.75,4.22,111/3
2312,金寶,14.35,1.39,110,24.74,1.17,111/3
2313,華通,47.80,3.77,110,7.24,1.55,111/3
2314,台揚,40.80,0.0,110,-,4.43,111/3
