證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
"=""00637L""",元大滬深300正2  ,"67,257,000","117,000","67,140,000",0,0,0,0,0,0,"58,330,897",0,0,0,"78,278,128","19,947,231","58,330,897","125,470,897"
2610,華航            ,"45,052,416","12,666,215","32,386,201",0,0,0,0,0,0,"1,970,643","138,000","185,000","-47,000","2,316,643","299,000","2,017,643","34,356,844"
2888,新光金          ,"36,150,743","6,331,392","29,819,351",0,0,0,0,0,0,"-144,584","276,515","188,000","88,515","40,901","274,000","-233,099","29,674,767"
"=""00715L""",期街口布蘭特正2 ,"3,631,000","1,103,000","2,528,000",0,0,0,0,0,0,"18,119,000",0,0,0,"24,253,000","6,134,000","18,119,000","20,647,000"
2883,凱基金          ,"34,243,743","25,569,032","8,674,711",0,0,0,"11,354,000","128,000","11,226,000","327,370",0,"5,000","-5,000","458,370","126,000","332,370","20,228,081"
2882,國泰金          ,"29,172,161","8,256,452","20,915,709",0,0,0,"3,816,000","96,262","3,719,738","-5,734,542","998,000","2,455,000","-1,457,000","696,195","4,973,737","-4,277,542","18,900,905"
2890,永豐金          ,"30,504,441","11,157,250","19,347,191",0,0,0,"98,000","2,370,000","-2,272,000","41,000",0,"15,000","-15,000","100,000","44,000","56,000","17,116,191"
"=""00633L""",富邦上証正2     ,"10,838,000","746,000","10,092,000",0,0,0,0,0,0,"6,408,665",0,0,0,"8,631,931","2,223,266","6,408,665","16,500,665"
"=""00753L""",中信中國50正2   ,"8,794,000","908,000","7,886,000",0,0,0,0,0,0,"7,809,412",0,0,0,"9,952,237","2,142,825","7,809,412","15,695,412"
"=""00665L""",富邦�琤肭磪囓�2 ,"10,405,000","781,000","9,624,000",0,0,0,0,0,0,"5,983,260",0,0,0,"14,174,480","8,191,220","5,983,260","15,607,260"
2884,玉山金          ,"27,719,106","15,399,414","12,319,692",0,0,0,0,"505,000","-505,000","-95,719","88,000","8,000","80,000",0,"175,719","-175,719","11,718,973"
2303,聯電            ,"29,513,010","18,596,400","10,916,610",0,0,0,"75,000","801,000","-726,000","516,299","394,000","260,000","134,000","745,200","362,901","382,299","10,706,909"
2618,長榮航          ,"22,067,798","22,080,000","-12,202",0,0,0,0,0,0,"9,934,387","7,682,000","1,411,000","6,271,000","4,135,639","472,252","3,663,387","9,922,185"
"=""00650L""",復華香港正2     ,"1,192,000","752,000","440,000",0,0,0,0,0,0,"9,154,459",0,0,0,"15,994,161","6,839,702","9,154,459","9,594,459"
2002,中鋼            ,"20,215,217","17,751,253","2,463,964",0,0,0,"8,700,000","575,000","8,125,000","-1,110,124","142,000","1,208,000","-1,066,000","129,797","173,921","-44,124","9,478,840"
2885,元大金          ,"15,204,090","7,869,595","7,334,495",0,0,0,"2,328,000",0,"2,328,000","-217,000","62,000","272,000","-210,000","18,000","25,000","-7,000","9,445,495"
