證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
"=""00673R""",期元大S&P原油反1,"2,393,000","165,000","2,228,000",0,0,0,0,0,0,"57,879,673",0,0,0,"60,296,800","2,417,127","57,879,673","60,107,673"
2498,宏達電          ,"38,632,209","11,497,711","27,134,498",0,0,0,"18,000",0,"18,000","2,216,193","1,397,398","397,078","1,000,320","2,152,873","937,000","1,215,873","29,368,691"
"=""00632R""",元大台灣50反1   ,"6,984,000","4,530,000","2,454,000",0,0,0,0,0,0,"15,930,378","5,349,000","540,000","4,809,000","63,998,378","52,877,000","11,121,378","18,384,378"
6443,元晶            ,"20,788,483","16,700,430","4,088,053",0,0,0,"9,979,000",0,"9,979,000","-83,369","351,330","123,320","228,010","1,100,621","1,412,000","-311,379","13,983,684"
2303,聯電            ,"33,726,356","26,049,463","7,676,893",0,0,0,"323,000","2,000","321,000","-653,126","432,000","1,578,680","-1,146,680","992,000","498,446","493,554","7,344,767"
"=""077547""",滬深2X元大53購02,0,0,0,0,0,0,0,0,0,"5,891,000",0,0,0,"7,131,000","1,240,000","5,891,000","5,891,000"
3062,建漢            ,"8,638,000","4,381,000","4,257,000",0,0,0,0,0,0,"664,808",0,"4,000","-4,000","984,250","315,442","668,808","4,921,808"
6770,力積電          ,"14,846,591","10,220,770","4,625,821",0,0,0,"41,000",0,"41,000","-114,211",0,"54,000","-54,000","44,053","104,264","-60,211","4,552,610"
6235,華孚            ,"4,867,000","1,784,000","3,083,000",0,0,0,0,0,0,"620,000","175,000",0,"175,000","487,000","42,000","445,000","3,703,000"
"=""06787P""",聯電群益49售02  ,0,0,0,0,0,0,0,0,0,"3,686,000",0,0,0,"3,728,000","42,000","3,686,000","3,686,000"
"=""069941""",鉅祥兆豐4A購01  ,0,0,0,0,0,0,0,0,0,"3,673,000",0,0,0,"3,696,000","23,000","3,673,000","3,673,000"
1760,寶齡富錦        ,"7,895,000","4,735,093","3,159,907",0,0,0,0,0,0,"301,474","2,000","2,000",0,"307,474","6,000","301,474","3,461,381"
"=""07703P""",欣興國票4A售03  ,0,0,0,0,0,0,0,0,0,"3,290,000",0,0,0,"3,300,000","10,000","3,290,000","3,290,000"
"=""00664R""",國泰臺灣加權反1 ,"536,000","30,000","506,000",0,0,0,0,0,0,"2,748,785",0,0,0,"3,051,785","303,000","2,748,785","3,254,785"
"=""03565B""",臺股指凱基21熊19,"1,000",0,"1,000",0,0,0,0,0,0,"3,197,000",0,0,0,"3,658,000","461,000","3,197,000","3,198,000"
2409,友達            ,"18,691,023","17,067,546","1,623,477",0,0,0,"3,302,000","2,000","3,300,000","-1,726,906","431,000","1,599,000","-1,168,000","3,121,000","3,679,906","-558,906","3,196,571"
2332,友訊            ,"3,491,000","214,000","3,277,000",0,0,0,0,0,0,"-104,999","2,001","3,000",-999,"98,000","202,000","-104,000","3,172,001"
2637,慧洋-KY         ,"5,631,000","2,571,574","3,059,426",0,0,0,0,0,0,"-17,732","46,000","23,732","22,268","9,000","49,000","-40,000","3,041,694"
"=""083100""",鴻準群益4C購04  ,0,0,0,0,0,0,0,0,0,"2,975,000",0,0,0,"3,129,000","154,000","2,975,000","2,975,000"
"=""03286P""",T50正2群益41售01,0,0,0,"2,971,000",0,"2,971,000",0,0,0,"2,971,000",0,0,0,"2,971,000",0,"2,971,000","2,971,000"
"=""082931""",金像電統一56購01,0,0,0,0,0,0,0,0,0,"2,807,000",0,0,0,"2,970,000","163,000","2,807,000","2,807,000"
"=""082653""",聯陽元富51購01  ,0,"10,000","-10,000",0,0,0,0,0,0,"2,759,000",0,0,0,"2,773,000","14,000","2,759,000","2,749,000"
2838,聯邦銀          ,"3,750,580","1,138,000","2,612,580",0,0,0,0,0,0,"45,000","40,000",0,"40,000","5,000",0,"5,000","2,657,580"
"=""077546""",T50反1元大4C購04,0,0,0,0,0,0,0,0,0,"2,595,000",0,0,0,"3,613,000","1,018,000","2,595,000","2,595,000"
"=""072859""",三芳統一53購02  ,0,0,0,0,0,0,0,0,0,"2,502,000",0,0,0,"2,502,000",0,"2,502,000","2,502,000"
5388,中磊            ,"3,369,000","1,593,947","1,775,053",0,0,0,"493,000",0,"493,000","150,745","10,000","77,000","-67,000","225,845","8,100","217,745","2,418,798"
2356,英業達          ,"6,081,003","6,455,294","-374,291",0,0,0,"1,599,000",0,"1,599,000","1,179,956","21,000","4,015","16,985","1,278,000","115,029","1,162,971","2,404,665"
3189,景碩            ,"7,407,000","2,820,529","4,586,471",0,0,0,0,"2,888,000","-2,888,000","554,657","655,000","150,000","505,000","72,363","22,706","49,657","2,253,128"
