證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
"=""00715L""",期街口布蘭特正2 ,"62,195,000","926,000","61,269,000",0.0,0.0,0.0,0,0,0,"121,020,217",0,0,0,"131,933,525","10,913,308","121,020,217","182,289,217",
2337,旺宏            ,"56,115,550","22,708,390","33,407,160",0.0,0.0,0.0,0,0,0,"-1,593,603","722,042","2,617,658","-1,895,616","2,105,843","1,803,830","302,013","31,813,557",
2327,國巨*           ,"44,198,025","28,960,579","15,237,446",0.0,0.0,0.0,"3,923,000","3,000","3,920,000","2,072,557","1,346,909","757,300","589,609","2,189,225","706,277","1,482,948","21,230,003",
6770,力積電          ,"60,659,199","42,797,145","17,862,054",0.0,0.0,0.0,"24,000",0,"24,000","1,522,873","2,954,000","2,599,000","355,000","2,135,980","968,107","1,167,873","19,408,927",
"=""00940""",元大台灣價值高息,"627,200","170,500","456,700",0.0,0.0,0.0,0,0,0,"17,652,524",0,0,0,"18,623,524","971,000","17,652,524","18,109,224",
1303,南亞            ,"31,482,980","18,533,181","12,949,799",0.0,0.0,0.0,"13,792,000","10,137,000","3,655,000","759,072","1,621,528","1,134,885","486,643","1,183,108","910,679","272,429","17,363,871",
2344,華邦電          ,"18,597,696","4,253,336","14,344,360",0.0,0.0,0.0,"111,000","86,000","25,000","1,614,071","1,670,000","374,000","1,296,000","2,831,620","2,513,549","318,071","15,983,431",
1301,台塑            ,"19,061,173","5,134,692","13,926,481",0.0,0.0,0.0,0,0,0,"1,284,515","937,000","401,545","535,455","1,183,883","434,823","749,060","15,210,996",
"=""00642U""",期元大S&P石油   ,"1,563,000","124,370","1,438,630",0.0,0.0,0.0,0,0,0,"12,388,417",0,"35,000","-35,000","13,743,563","1,320,146","12,423,417","13,827,047",
"=""00632R""",元大台灣50反1   ,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"10,671,812","2,560,000","500,000","2,060,000","13,306,100","4,694,288","8,611,812","10,670,812",
"=""00646""",元大S&P500      ,"5,079,294","8,000","5,071,294",0.0,0.0,0.0,0,0,0,"5,017,442",0,0,0,"5,105,000","87,558","5,017,442","10,088,736",
"=""00712""",復華富時不動產  ,"7,379,000","116,000","7,263,000",0.0,0.0,0.0,0,0,0,"2,573,132","2,321,000",0,"2,321,000","921,999","669,867","252,132","9,836,132",
2382,廣達            ,"16,787,748","7,701,710","9,086,038",0.0,0.0,0.0,"710,000","680,628","29,372","558,462","500,698","287,864","212,834","481,628","136,000","345,628","9,673,872",
"=""00680L""",元大美債20正2   ,"2,000","267,000","-265,000",0.0,0.0,0.0,0,0,0,"8,763,571",0,0,0,"11,805,768","3,042,197","8,763,571","8,498,571",
3711,日月光投控      ,"11,811,438","6,149,733","5,661,705",0.0,0.0,0.0,"1,304,000","352,000","952,000","1,527,369","481,000","106,000","375,000","1,280,206","127,837","1,152,369","8,141,074",
"=""00934""",中信成長高股息  ,"845,000","121,000","724,000",0.0,0.0,0.0,0,0,0,"6,493,973",0,0,0,"9,014,012","2,520,039","6,493,973","7,217,973",
8112,至上            ,"17,823,000","12,226,900","5,596,100",0.0,0.0,0.0,"350,000","5,605","344,395","640,594","775,270","352,146","423,124","478,403","260,933","217,470","6,581,089",
2890,永豐金          ,"10,171,789","5,141,315","5,030,474",0.0,0.0,0.0,"321,000","1,135,040","-814,040","2,238,236","2,000",0,"2,000","2,267,224","30,988","2,236,236","6,454,670",
2884,玉山金          ,"13,174,712","6,447,492","6,727,220",0.0,0.0,0.0,"54,000","1,080,000","-1,026,000","724,087",0,0,0,"762,000","37,913","724,087","6,425,307",
2886,兆豐金          ,"7,666,140","1,974,900","5,691,240",0.0,0.0,0.0,"42,000","1,264,000","-1,222,000","1,884,943","12,000",34,"11,966","1,877,032","4,055","1,872,977","6,354,183",
"=""00882""",中信中國高股息  ,"996,000","249,000","747,000",0.0,0.0,0.0,0,0,0,"5,463,935",0,0,0,"6,211,878","747,943","5,463,935","6,210,935",
1326,台化            ,"9,500,332","3,740,563","5,759,769",0.0,0.0,0.0,0,0,0,"447,391","294,000","48,045","245,955","493,066","291,630","201,436","6,207,160",
1216,統一            ,"7,897,231","2,814,774","5,082,457",0.0,0.0,0.0,"21,000","305,000","-284,000","1,251,235","45,000","152,000","-107,000","1,363,235","5,000","1,358,235","6,049,692",
2492,華新科          ,"19,221,699","18,646,201","575,498",0.0,0.0,0.0,"4,302,000",0,"4,302,000","684,101","962,059","532,000","430,059","527,386","273,344","254,042","5,561,599",
"=""03648U""",緯穎國票51售03  ,0,0,0,0.0,0.0,0.0,0,0,0,"5,537,000",0,0,0,"5,537,000",0,"5,537,000","5,537,000",
2880,華南金          ,"8,248,070","4,816,389","3,431,681",0.0,0.0,0.0,"65,000","684,000","-619,000","2,534,546",0,0,0,"2,535,546","1,000","2,534,546","5,347,227",
"=""00929""",復華台灣科技優息,"5,430","88,836","-83,406",0.0,0.0,0.0,0,0,0,"4,598,805",0,"65,000","-65,000","7,408,153","2,744,348","4,663,805","4,515,399",
"=""077011""",康舒元富53購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"4,098,000",0,0,0,"4,877,000","779,000","4,098,000","4,098,000",
"=""036206""",定穎控凱基53購04,0,0,0,0.0,0.0,0.0,0,0,0,"3,877,000",0,0,0,"4,006,000","129,000","3,877,000","3,877,000",
1314,中石化          ,"7,391,000","4,168,000","3,223,000",0.0,0.0,0.0,0,0,0,"542,004","552,004","10,000","542,004",0,0,0,"3,765,004",
2603,長榮            ,"4,347,404","1,122,173","3,225,231",0.0,0.0,0.0,"18,000","165,000","-147,000","529,031","126,000","19,000","107,000","447,196","25,165","422,031","3,607,262",
2301,光寶科          ,"10,633,176","7,522,375","3,110,801",0.0,0.0,0.0,"22,000","683,000","-661,000","1,156,340","84,000","114,000","-30,000","1,513,330","326,990","1,186,340","3,606,141",
2845,遠東銀          ,"5,746,000","1,907,000","3,839,000",0.0,0.0,0.0,0,"153,000","-153,000","-87,000",0,"50,000","-50,000",0,"37,000","-37,000","3,599,000",
1802,台玻            ,"8,372,827","4,398,000","3,974,827",0.0,0.0,0.0,0,0,0,"-587,863","438,000","490,000","-52,000","86,000","621,863","-535,863","3,386,964",
2449,京元電子        ,"8,467,568","6,186,444","2,281,124",0.0,0.0,0.0,"1,107,000","712,000","395,000","617,597","256,770","166,995","89,775","681,361","153,539","527,822","3,293,721",
2883,凱基金          ,"15,484,654","16,020,038","-535,384",0.0,0.0,0.0,"1,186,000","103,000","1,083,000","2,686,614",0,0,0,"2,755,614","69,000","2,686,614","3,234,230",
"=""00688L""",國泰20年美債正2 ,0,"277,000","-277,000",0.0,0.0,0.0,0,0,0,"3,480,323",0,"2,686,000","-2,686,000","8,704,348","2,538,025","6,166,323","3,203,323",
2881,富邦金          ,"6,437,307","4,441,015","1,996,292",0.0,0.0,0.0,"953,000","320,000","633,000","412,250","212,414","160,000","52,414","413,836","54,000","359,836","3,041,542",
"=""00885""",富邦越南        ,"1,521,000","421,000","1,100,000",0.0,0.0,0.0,0,0,0,"1,935,114",0,0,0,"2,971,777","1,036,663","1,935,114","3,035,114",
2885,元大金          ,"3,707,488","3,874,017","-166,529",0.0,0.0,0.0,"1,002,000",0,"1,002,000","2,135,642","6,000",150,"5,850","2,228,000","98,208","2,129,792","2,971,113",
"=""00665L""",富邦�琤肭磪囓�2 ,"995,000","167,000","828,000",0.0,0.0,0.0,0,0,0,"2,114,440",0,0,0,"9,843,429","7,728,989","2,114,440","2,942,440",
1909,榮成            ,"3,433,000","728,000","2,705,000",0.0,0.0,0.0,0,0,0,"201,000","226,000","25,000","201,000",0,0,0,"2,906,000",
"=""033254""",金寶國票53購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"2,862,000",0,0,0,"2,962,000","100,000","2,862,000","2,862,000",
"=""037806""",華邦電群益53購13,0,0,0,0.0,0.0,0.0,0,0,0,"2,724,000",0,0,0,"2,724,000",0,"2,724,000","2,724,000",
"=""035694""",強茂永豐54購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"2,702,000",0,0,0,"2,882,000","180,000","2,702,000","2,702,000",
"=""077206""",順德國票4B購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"2,599,000",0,0,0,"2,599,000",0,"2,599,000","2,599,000",
"=""033547""",金寶統一58購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"2,570,000",0,0,0,"2,767,000","197,000","2,570,000","2,570,000",
"=""00985B""",群益ESG投等債0-5,"1,853,000","46,000","1,807,000",0.0,0.0,0.0,0,0,0,"644,587",0,0,0,"3,204,000","2,559,413","644,587","2,451,587",
"=""05237U""",緯穎群益54售08  ,0,0,0,0.0,0.0,0.0,0,0,0,"2,418,000",0,0,0,"2,478,000","60,000","2,418,000","2,418,000",
1101,台泥            ,"6,012,666","4,486,088","1,526,578",0.0,0.0,0.0,0,0,0,"839,131","151,412","12,000","139,412","772,769","73,050","699,719","2,365,709",
"=""00713""",元大台灣高息低波,60,"900,200","-900,140",0.0,0.0,0.0,0,"220,000","-220,000","3,401,000",0,0,0,"3,805,000","404,000","3,401,000","2,280,860",
"=""037586""",創意元大54購17  ,0,0,0,0.0,0.0,0.0,0,0,0,"2,275,000",0,0,0,"4,055,000","1,780,000","2,275,000","2,275,000",
"=""085047""",仁寶元大4C購03  ,0,0,0,0.0,0.0,0.0,0,0,0,"2,269,000",0,0,0,"2,360,000","91,000","2,269,000","2,269,000",
"=""068156""",立隆電統一51購01,0,0,0,0.0,0.0,0.0,0,0,0,"2,253,000",0,0,0,"2,794,000","541,000","2,253,000","2,253,000",
"=""077003""",順德元富4C購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"2,141,000",0,0,0,"2,141,000",0,"2,141,000","2,141,000",
"=""05177U""",金像電凱基53售02,0,0,0,0.0,0.0,0.0,0,0,0,"2,133,000",0,0,0,"2,152,000","19,000","2,133,000","2,133,000",
"=""084453""",仁寶元大4C購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"2,093,000",0,0,0,"2,112,000","19,000","2,093,000","2,093,000",
"=""080258""",SGBR2X國票4C購02,0,0,0,0.0,0.0,0.0,0,0,0,"2,064,000",0,0,0,"2,262,000","198,000","2,064,000","2,064,000",
"=""039407""",華邦電凱基54購12,0,0,0,0.0,0.0,0.0,0,0,0,"2,056,000",0,0,0,"2,115,000","59,000","2,056,000","2,056,000",
2356,英業達          ,"5,379,345","4,902,431","476,914",0.0,0.0,0.0,"2,352,000","1,200,000","1,152,000","385,810","1,341","184,117","-182,776","739,920","171,334","568,586","2,014,724",
"=""086653""",可寧衛凱基52購01,0,0,0,0.0,0.0,0.0,0,0,0,"2,005,000",0,0,0,"2,074,000","69,000","2,005,000","2,005,000",
"=""031765""",聯詠元大52購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"2,003,000",0,0,0,"2,070,000","67,000","2,003,000","2,003,000",
"=""039840""",華邦電元富54購07,0,0,0,0.0,0.0,0.0,0,0,0,"1,999,000",0,0,0,"2,060,000","61,000","1,999,000","1,999,000",
"=""032509""",緯穎國泰53購04  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,990,000",0,0,0,"2,010,000","20,000","1,990,000","1,990,000",
"=""035656""",聯詠群益53購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,985,000",0,0,0,"2,025,000","40,000","1,985,000","1,985,000",
"=""040594""",康舒國票55購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,940,000",0,0,0,"1,962,000","22,000","1,940,000","1,940,000",
"=""037984""",南電群益53購09  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,931,000",0,0,0,"1,993,000","62,000","1,931,000","1,931,000",
"=""031665""",高力統一54購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,919,000",0,0,0,"2,281,000","362,000","1,919,000","1,919,000",
"=""040664""",金寶元大54購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,904,000",0,0,0,"1,932,000","28,000","1,904,000","1,904,000",
"=""00961""",FT臺灣永續高息  ,"3,000","46,000","-43,000",0.0,0.0,0.0,0,0,0,"1,926,685",0,0,0,"3,609,000","1,682,315","1,926,685","1,883,685",
"=""00638R""",元大滬深300反1  ,"217,000",0,"217,000",0.0,0.0,0.0,0,0,0,"1,652,800",0,0,0,"1,658,000","5,200","1,652,800","1,869,800",
2882,國泰金          ,"10,037,832","8,440,744","1,597,088",0.0,0.0,0.0,"930,000","1,082,000","-152,000","423,879","167,000","3,000","164,000","445,000","185,121","259,879","1,868,967",
"=""039733""",華邦電元富57購03,0,0,0,0.0,0.0,0.0,0,0,0,"1,789,000",0,0,0,"2,348,000","559,000","1,789,000","1,789,000",
5880,合庫金          ,"3,865,858","1,853,758","2,012,100",0.0,0.0,0.0,0,"588,000","-588,000","359,001","1,000",999,1,"363,000","4,000","359,000","1,783,101",
6505,台塑化          ,"5,675,847","4,509,247","1,166,600",0.0,0.0,0.0,"80,000",0,"80,000","519,690","400,000","72,395","327,605","528,359","336,274","192,085","1,766,290",
2838,聯邦銀          ,"1,764,000","2,609,000","-845,000",0.0,0.0,0.0,"2,610,000",0,"2,610,000",-998,0,998,-998,0,0,0,"1,764,002",
5876,上海商銀        ,"2,450,823","1,560,622","890,201",0.0,0.0,0.0,0,"150,000","-150,000","993,377","1,000","33,623","-32,623","1,026,000",0,"1,026,000","1,733,578",
"=""038997""",華邦電統一6A購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,724,000",0,0,0,"1,730,000","6,000","1,724,000","1,724,000",
"=""068157""",立隆電統一52購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,717,000",0,0,0,"2,525,000","808,000","1,717,000","1,717,000",
"=""084452""",金寶元大4C購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,715,000",0,0,0,"1,938,000","223,000","1,715,000","1,715,000",
2303,聯電            ,"7,344,275","6,686,810","657,465",0.0,0.0,0.0,"1,118,000","2,368,193","-1,250,193","2,289,689",0,"52,000","-52,000","2,363,689","22,000","2,341,689","1,696,961",
"=""040478""",康舒元大54購05  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,652,000",0,0,0,"1,703,000","51,000","1,652,000","1,652,000",
2412,中華電          ,"2,402,194","619,609","1,782,585",0.0,0.0,0.0,0,"289,000","-289,000","119,134",0,0,0,"207,912","88,778","119,134","1,612,719",
"=""039366""",鴻海永豐55購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,536,000",0,0,0,"2,234,000","698,000","1,536,000","1,536,000",
"=""032696""",金寶永豐52購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,530,000",0,0,0,"1,556,000","26,000","1,530,000","1,530,000",
"=""00924""",復華S&P500成長  ,"618,000",0,"618,000",0.0,0.0,0.0,0,0,0,"890,938",0,0,0,"1,255,000","364,062","890,938","1,508,938",
2887I,台新新光辛特    ,"1,817,000","314,000","1,503,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,503,000",
"=""076558""",順德國票4B購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,497,000",0,0,0,"1,497,000",0,"1,497,000","1,497,000",
"=""083472""",泓德國票4C購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,497,000",0,0,0,"1,497,000",0,"1,497,000","1,497,000",
"=""084438""",臺指反元大4C購02,0,0,0,0.0,0.0,0.0,0,0,0,"1,496,000",0,0,0,"1,497,000","1,000","1,496,000","1,496,000",
"=""037097""",創意元富53購06  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,447,000",0,0,0,"1,497,000","50,000","1,447,000","1,447,000",
"=""038036""",可寧衛國票54購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,446,000",0,0,0,"1,470,000","24,000","1,446,000","1,446,000",
"=""034336""",欣興元富53購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,444,000",0,0,0,"1,444,000",0,"1,444,000","1,444,000",
"=""038151""",可寧衛富邦53購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,437,000",0,0,0,"1,617,000","180,000","1,437,000","1,437,000",
"=""033738""",可寧衛國票53購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,434,000",0,0,0,"1,533,000","99,000","1,434,000","1,434,000",
2478,大毅            ,"4,240,000","3,093,000","1,147,000",0.0,0.0,0.0,0,0,0,"281,401",0,0,0,"281,521",120,"281,401","1,428,401",
"=""030832""",鴻海元大52購11  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,397,000",0,0,0,"1,552,000","155,000","1,397,000","1,397,000",
2609,陽明            ,"4,745,299","3,375,579","1,369,720",0.0,0.0,0.0,0,"38,000","-38,000","56,545","98,000","123,808","-25,808","85,445","3,092","82,353","1,388,265",
"=""040665""",金寶元大54購03  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,380,000",0,0,0,"1,430,000","50,000","1,380,000","1,380,000",
"=""05642U""",創意中信57售01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,380,000",0,0,0,"1,380,000",0,"1,380,000","1,380,000",
"=""061158""",康舒元富4C購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,378,000",0,0,0,"1,382,000","4,000","1,378,000","1,378,000",
"=""00881""",國泰台灣科技龍頭,"133,096","83,000","50,096",0.0,0.0,0.0,0,0,0,"1,323,185","19,000",0,"19,000","4,367,000","3,062,815","1,304,185","1,373,281",
2889,國票金          ,"1,542,025","265,000","1,277,025",0.0,0.0,0.0,0,0,0,"95,000",0,"5,000","-5,000","100,000",0,"100,000","1,372,025",
2208,台船            ,"2,218,000","854,000","1,364,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,364,000",
3045,台灣大          ,"2,065,360","557,280","1,508,080",0.0,0.0,0.0,"171,000","157,000","14,000","-193,397",0,"233,000","-233,000","59,080","19,477","39,603","1,328,683",
"=""06047U""",力積電國票56售02,0,0,0,0.0,0.0,0.0,0,0,0,"1,324,000",0,0,0,"1,398,000","74,000","1,324,000","1,324,000",
"=""06333U""",T50正2富邦56售02,0,0,0,0.0,0.0,0.0,0,0,0,"1,324,000",0,0,0,"1,325,000","1,000","1,324,000","1,324,000",
"=""00965""",元大航太防衛科技,"2,218,266","82,000","2,136,266",0.0,0.0,0.0,0,"1,500,000","-1,500,000","642,828","1,481,000",0,"1,481,000","1,905,000","2,743,172","-838,172","1,279,094",
"=""039565""",創意元富54購03  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,277,000",0,0,0,"1,548,000","271,000","1,277,000","1,277,000",
1905,華紙            ,"3,153,000","1,875,000","1,278,000",0.0,0.0,0.0,0,0,0,"-8,278","48,525","50,803","-2,278","4,000","10,000","-6,000","1,269,722",
"=""038448""",鴻海群益54購15  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,250,000",0,0,0,"1,303,000","53,000","1,250,000","1,250,000",
"=""037930""",國巨元富53購13  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,212,000",0,0,0,"1,232,000","20,000","1,212,000","1,212,000",
"=""05578U""",金像電群益53售08,0,0,0,0.0,0.0,0.0,0,0,0,"1,208,000",0,0,0,"1,328,000","120,000","1,208,000","1,208,000",
"=""085057""",一詮元大4C購05  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,180,000",0,0,0,"1,180,000",0,"1,180,000","1,180,000",
"=""082182""",仁寶國票4C購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,178,000",0,0,0,"1,258,000","80,000","1,178,000","1,178,000",
"=""039557""",鴻海元富54購04  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,173,000",0,0,0,"1,602,000","429,000","1,173,000","1,173,000",
"=""086883""",欣興群益52購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,162,000",0,0,0,"1,229,000","67,000","1,162,000","1,162,000",
"=""036532""",日月光群益54購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,161,000",0,0,0,"1,262,000","101,000","1,161,000","1,161,000",
"=""089290""",金寶統一57購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,142,000",0,0,0,"1,370,000","228,000","1,142,000","1,142,000",
"=""032250""",奇鋐富邦55購03  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,136,000",0,0,0,"1,297,000","161,000","1,136,000","1,136,000",
"=""038660""",光寶科元大5A購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,129,000",0,0,0,"1,139,000","10,000","1,129,000","1,129,000",
8422,可寧衛          ,"3,602,000","2,348,000","1,254,000",0.0,0.0,0.0,"24,000","90,000","-66,000","-65,360","259,000","64,000","195,000","20,826","281,186","-260,360","1,122,640",
"=""086472""",勤誠統一57購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,121,000",0,0,0,"1,178,000","57,000","1,121,000","1,121,000",
"=""00939""",統一台灣高息動能,0,"28,000","-28,000",0.0,0.0,0.0,0,0,0,"1,148,613",0,0,0,"1,569,000","420,387","1,148,613","1,120,613",
1304,台聚            ,"3,026,000","1,996,000","1,030,000",0.0,0.0,0.0,0,0,0,"79,585",0,"19,100","-19,100","98,689",4,"98,685","1,109,585",
"=""04938U""",定穎控國票53售01,0,0,0,0.0,0.0,0.0,0,0,0,"1,097,000",0,0,0,"1,101,000","4,000","1,097,000","1,097,000",
"=""00915""",凱基優選高股息30,0,"9,000","-9,000",0.0,0.0,0.0,0,0,0,"1,087,426",0,0,0,"1,686,000","598,574","1,087,426","1,078,426",
"=""037491""",愛普元富53購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,076,000",0,0,0,"1,081,000","5,000","1,076,000","1,076,000",
"=""05853U""",元黃金國票53售01,0,0,0,0.0,0.0,0.0,0,0,0,"1,074,000",0,0,0,"1,074,000",0,"1,074,000","1,074,000",
"=""038643""",國巨群益54購05  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,064,000",0,0,0,"1,172,000","108,000","1,064,000","1,064,000",
"=""077519""",揚明光國票4C購01,0,0,0,0.0,0.0,0.0,0,0,0,"1,059,000",0,0,0,"1,059,000",0,"1,059,000","1,059,000",
"=""034077""",T50反1永豐53購04,0,0,0,0.0,0.0,0.0,0,0,0,"1,057,000",0,0,0,"2,114,000","1,057,000","1,057,000","1,057,000",
"=""039771""",SGBR2X國票54購02,0,0,0,0.0,0.0,0.0,0,0,0,"1,055,000",0,0,0,"1,076,000","21,000","1,055,000","1,055,000",
"=""038979""",AES富邦56購01   ,0,0,0,0.0,0.0,0.0,0,0,0,"1,052,000",0,0,0,"1,373,000","321,000","1,052,000","1,052,000",
4904,遠傳            ,"2,579,453","1,495,783","1,083,670",0.0,0.0,0.0,"189,000","307,000","-118,000","81,770","8,000","20,000","-12,000","100,770","7,000","93,770","1,047,440",
"=""037986""",華邦電中信55購02,0,0,0,0.0,0.0,0.0,0,0,0,"1,038,000",0,0,0,"1,365,000","327,000","1,038,000","1,038,000",
"=""087994""",愛普群益52購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,037,000",0,0,0,"1,043,000","6,000","1,037,000","1,037,000",
1717,長興            ,"1,913,000","995,200","917,800",0.0,0.0,0.0,0,0,0,"112,369","151,000","38,631","112,369",0,0,0,"1,030,169",
"=""032869""",金寶國泰53購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,029,000",0,0,0,"1,072,000","43,000","1,029,000","1,029,000",
"=""034274""",金寶群益53購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,008,000",0,0,0,"1,022,000","14,000","1,008,000","1,008,000",
1102,亞泥            ,"2,232,757","1,283,369","949,388",0.0,0.0,0.0,"27,000","650,000","-623,000","681,000","2,000","2,000",0,"693,000","12,000","681,000","1,007,388",
"=""080219""",金寶元富55購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"1,000,000",0,0,0,"1,000,000",0,"1,000,000","1,000,000",
"=""085364""",SGBR2X元大4C購05,0,0,0,0.0,0.0,0.0,0,0,0,"998,000",0,0,0,"998,000",0,"998,000","998,000",
"=""031695""",AES元富55購01   ,0,0,0,0.0,0.0,0.0,0,0,0,"991,000",0,0,0,"1,535,000","544,000","991,000","991,000",
"=""040758""",華固群益54購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"968,000",0,0,0,"998,000","30,000","968,000","968,000",
2897,王道銀行        ,"1,104,000","148,300","955,700",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"955,700",
"=""037038""",南亞科統一59購03,0,0,0,0.0,0.0,0.0,0,0,0,"954,000",0,0,0,"1,059,000","105,000","954,000","954,000",
"=""077520""",揚明光國票51購01,0,0,0,0.0,0.0,0.0,0,0,0,"949,000",0,0,0,"959,000","10,000","949,000","949,000",
"=""032068""",SGBR2X凱基53購03,0,0,0,0.0,0.0,0.0,0,0,0,"946,000",0,0,0,"1,062,000","116,000","946,000","946,000",
"=""035114""",聯詠國票53購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"944,000",0,0,0,"958,000","14,000","944,000","944,000",
"=""030375""",大立光元大52購03,0,0,0,0.0,0.0,0.0,0,0,0,"940,000",0,0,0,"949,000","9,000","940,000","940,000",
"=""060470""",鴻海中信4C購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"932,000",0,0,0,"932,000",0,"932,000","932,000",
"=""032222""",宏致群益53購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"932,000",0,0,0,"1,231,000","299,000","932,000","932,000",
"=""05439U""",健策國票53售02  ,0,0,0,0.0,0.0,0.0,0,0,0,"925,000",0,0,0,"1,075,000","150,000","925,000","925,000",
"=""087457""",可寧衛群益51購01,0,0,0,0.0,0.0,0.0,0,0,0,"922,000",0,0,0,"931,000","9,000","922,000","922,000",
"=""030254""",南亞元富52購02  ,0,0,0,0.0,0.0,0.0,0,0,0,"920,000",0,0,0,"920,000",0,"920,000","920,000",
"=""035130""",泓德國票53購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"918,000",0,0,0,"918,000",0,"918,000","918,000",
"=""077986""",國光生國票4B購01,0,0,0,0.0,0.0,0.0,0,0,0,"918,000",0,0,0,"1,092,000","174,000","918,000","918,000",
"=""06467U""",道瓊銀國票55售01,0,0,0,0.0,0.0,0.0,0,0,0,"915,000",0,0,0,"937,000","22,000","915,000","915,000",
"=""030765""",富世達統一57購02,0,0,0,0.0,0.0,0.0,0,0,0,"910,000",0,0,0,"1,133,000","223,000","910,000","910,000",
"=""034635""",奇鋐群益57購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"907,000",0,0,0,"910,000","3,000","907,000","907,000",
"=""03821U""",健策國票51售03  ,0,0,0,0.0,0.0,0.0,0,0,0,"900,000",0,0,0,"900,000",0,"900,000","900,000",
"=""033330""",長榮太凱基53購02,0,0,0,0.0,0.0,0.0,0,0,0,"900,000",0,0,0,"900,000",0,"900,000","900,000",
"=""084247""",國企2X凱基51購02,0,0,0,0.0,0.0,0.0,0,0,0,"898,000",0,0,0,"1,000,000","102,000","898,000","898,000",
"=""084442""",SGBR2X元大53購01,0,0,0,0.0,0.0,0.0,0,0,0,"894,000",0,0,0,"900,000","6,000","894,000","894,000",
"=""069576""",國巨統一58購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"893,000",0,0,0,"925,000","32,000","893,000","893,000",
"=""030588""",智原統一57購01  ,0,0,0,0.0,0.0,0.0,0,0,0,"887,000",0,0,0,"1,003,000","116,000","887,000","887,000",
