證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
"=""00632R""",元大台灣50反1   ,"5,721,000","1,159,000","4,562,000",0,0,0,"110,000",0,"110,000","32,447,482","1,450,000","800,000","650,000","42,660,482","10,863,000","31,797,482","37,119,482"
3481,群創            ,"96,322,909","51,909,800","44,413,109",0,0,0,"51,000","17,812,000","-17,761,000","-5,654,700","2,255,000","3,969,000","-1,714,000","3,246,000","7,186,700","-3,940,700","20,997,409"
2401,凌陽            ,"14,098,848","3,148,000","10,950,848",0,0,0,0,0,0,"534,573","239,000","79,710","159,290","766,000","390,717","375,283","11,485,421"
2409,友達            ,"90,468,704","54,412,950","36,055,754",0,0,0,"361,000","18,741,000","-18,380,000","-7,649,000","1,575,000","10,173,985","-8,598,985","5,092,000","4,142,015","949,985","10,026,754"
2338,光罩            ,"12,687,010","3,936,000","8,751,010",0,0,0,"350,000","172,000","178,000","429,115","703,000","1,069,000","-366,000","1,059,115","264,000","795,115","9,358,125"
3711,日月光投控      ,"13,394,811","6,597,800","6,797,011",0,0,0,"90,000","163,000","-73,000","90,637","502,060","359,000","143,060","9,577","62,000","-52,423","6,814,648"
4919,新唐            ,"7,328,000","2,091,160","5,236,840",0,0,0,"875,000",0,"875,000","-9,310","229,000","289,000","-60,000","103,000","52,310","50,690","6,102,530"
2393,億光            ,"8,880,891","3,864,000","5,016,891",0,0,0,"220,000",0,"220,000","810,770","371,612","267,000","104,612","804,158","98,000","706,158","6,047,661"
2615,萬海            ,"24,066,756","18,687,651","5,379,105",0,0,0,"13,000",0,"13,000","71,646","2,453,076","2,304,272","148,804","117,100","194,258","-77,158","5,463,751"
2605,新興            ,"8,852,000","3,812,000","5,040,000",0,0,0,"14,000",0,"14,000","-72,279","64,000",0,"64,000","41,721","178,000","-136,279","4,981,721"
3016,嘉晶            ,"8,501,000","4,101,030","4,399,970",0,0,0,0,0,0,"374,994","82,000","25,000","57,000","436,930","118,936","317,994","4,774,964"
"=""088878""",聯鈞元大51購08  ,0,0,0,0,0,0,0,0,0,"4,719,000",0,0,0,"4,920,000","201,000","4,719,000","4,719,000"
"=""00664R""",國泰臺灣加權反1 ,"162,000","62,000","100,000",0,0,0,0,0,0,"4,581,951",0,0,0,"5,632,000","1,050,049","4,581,951","4,681,951"
2637,慧洋-KY         ,"10,313,500","5,895,350","4,418,150",0,0,0,0,"16,000","-16,000","10,617","715,000","687,000","28,000","16,338","33,721","-17,383","4,412,767"
1102,亞泥            ,"12,907,738","10,061,590","2,846,148",0,0,0,"101,000","39,000","62,000","1,369,000","656,000","55,000","601,000","773,000","5,000","768,000","4,277,148"
3231,緯創            ,"28,194,935","16,839,300","11,355,635",0,0,0,"15,000","36,000","-21,000","-7,433,432","1,639,000","7,056,432","-5,417,432","1,821,000","3,837,000","-2,016,000","3,901,203"
"=""086951""",世芯中信51購03  ,0,0,0,0,0,0,0,0,0,"3,842,000",0,0,0,"3,992,000","150,000","3,842,000","3,842,000"
"=""03763C""",T50反1元大13牛03,0,0,0,0,0,0,0,0,0,"3,716,000",0,0,0,"3,748,000","32,000","3,716,000","3,716,000"
2614,東森            ,"1,047,000","7,000","1,040,000",0,0,0,0,0,0,"2,127,000",0,0,0,"2,321,000","194,000","2,127,000","3,167,000"
