證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2891,中信金          ,"56,411,654","31,071,447","25,340,207",0.0,0.0,0.0,"2,581,000","4,881,121","-2,300,121","360,580","616,000","303,064","312,936","149,976","102,332","47,644","23,400,666"
"=""00665L""",富邦�琤肭磪囓�2 ,"4,986,000","461,000","4,525,000",0.0,0.0,0.0,0,0,0,"15,712,485",0,0,0,"19,239,557","3,527,072","15,712,485","20,237,485"
2883,凱基金          ,"32,169,913","14,812,000","17,357,913",0.0,0.0,0.0,0,"179,707","-179,707","190,000","221,000","25,000","196,000","65,000","71,000","-6,000","17,368,206"
2886,兆豐金          ,"16,230,820","12,881,295","3,349,525",0.0,0.0,0.0,"13,345,000","58,871","13,286,129","120,492","215,000","51,000","164,000","1,492","45,000","-43,508","16,756,146"
2002,中鋼            ,"21,870,929","8,078,711","13,792,218",0.0,0.0,0.0,"66,000","256,822","-190,822","300,147","199,000",0,"199,000","242,147","141,000","101,147","13,901,543"
"=""00715L""",期街口布蘭特正2 ,"2,910,000","651,000","2,259,000",0.0,0.0,0.0,0,0,0,"10,247,152",0,0,0,"13,743,535","3,496,383","10,247,152","12,506,152"
2610,華航            ,"24,618,830","7,736,485","16,882,345",0.0,0.0,0.0,"10,000","5,487,000","-5,477,000","658,229","388,000","254,592","133,408","559,140","34,319","524,821","12,063,574"
"=""00753L""",中信中國50正2   ,"5,802,000","1,919,000","3,883,000",0.0,0.0,0.0,0,0,0,"7,837,604",0,0,0,"10,716,038","2,878,434","7,837,604","11,720,604"
2344,華邦電          ,"33,646,826","30,564,943","3,081,883",0.0,0.0,0.0,"1,600,000","4,000","1,596,000","4,513,988","772,000","140,052","631,948","4,314,964","432,924","3,882,040","9,191,871"
"=""00940""",元大台灣價值高息,"5,777,000","269,200","5,507,800",0.0,0.0,0.0,0,0,0,"3,420,902",0,"10,000","-10,000","4,870,619","1,439,717","3,430,902","8,928,702"
"=""00650L""",復華香港正2     ,"3,150,000","23,000","3,127,000",0.0,0.0,0.0,0,0,0,"4,222,138",0,0,0,"5,851,901","1,629,763","4,222,138","7,349,138"
"=""00929""",復華台灣科技優息,"8,846,054","161,499","8,684,555",0.0,0.0,0.0,0,0,0,"-1,717,606",0,0,0,"4,598,209","6,315,815","-1,717,606","6,966,949"
2609,陽明            ,"14,435,518","22,758,205","-8,322,687",0.0,0.0,0.0,"14,070,000","4,744","14,065,256","916,102","552,252","110,000","442,252","804,198","330,348","473,850","6,658,671"
2892,第一金          ,"20,387,504","12,984,457","7,403,047",0.0,0.0,0.0,"1,000","1,020,498","-1,019,498","261,000","185,000","4,000","181,000","104,000","24,000","80,000","6,644,549"
2615,萬海            ,"20,984,928","16,875,755","4,109,173",0.0,0.0,0.0,"2,013,000","2,598","2,010,402","441,451","171,971","96,000","75,971","635,768","270,288","365,480","6,561,026"
2337,旺宏            ,"5,269,636","1,564,196","3,705,440",0.0,0.0,0.0,"900,000","2,000","898,000","1,891,352","1,525,000","167,000","1,358,000","695,612","162,260","533,352","6,494,792"
2888,新光金          ,"11,428,808","8,152,734","3,276,074",0.0,0.0,0.0,0,"10,000","-10,000","3,042,000","327,000",0,"327,000","2,718,000","3,000","2,715,000","6,308,074"
"=""00680L""",元大美債20正2   ,"3,907,000","6,000","3,901,000",0.0,0.0,0.0,0,0,0,"2,294,336",0,0,0,"10,067,597","7,773,261","2,294,336","6,195,336"
"=""00637L""",元大滬深300正2  ,"5,154,000","270,000","4,884,000",0.0,0.0,0.0,0,0,0,"1,288,714","15,000","40,000","-25,000","12,343,614","11,029,900","1,313,714","6,172,714"
1605,華新            ,"15,445,000","10,766,783","4,678,217",0.0,0.0,0.0,"340,000","3,000","337,000","558,731","260,000","138,000","122,000","566,181","129,450","436,731","5,573,948"
"=""00688L""",國泰20年美債正2 ,"1,487,000",0,"1,487,000",0.0,0.0,0.0,0,0,0,"3,911,175",0,0,0,"9,178,000","5,266,825","3,911,175","5,398,175"
2303,聯電            ,"16,271,650","16,744,380","-472,730",0.0,0.0,0.0,"5,506,000","1,697,704","3,808,296","1,345,309","1,102,000","6,000","1,096,000","350,108","100,799","249,309","4,680,875"
2882,國泰金          ,"28,223,345","24,005,098","4,218,247",0.0,0.0,0.0,"46,000","311,922","-265,922","661,099","707,069","87,000","620,069","237,220","196,190","41,030","4,613,424"
1102,亞泥            ,"8,698,576","14,143,467","-5,444,891",0.0,0.0,0.0,"10,367,000","1,168,287","9,198,713","-23,640","55,177","48,000","7,177","20,569","51,386","-30,817","3,730,182"
2881,富邦金          ,"11,752,486","6,679,000","5,073,486",0.0,0.0,0.0,"1,000","1,595,192","-1,594,192","219,474","160,000","1,198","158,802","117,000","56,328","60,672","3,698,768"
"=""00909""",國泰數位支付服務,"2,641,000","66,000","2,575,000",0.0,0.0,0.0,0,0,0,"1,007,813","10,000",0,"10,000","1,645,813","648,000","997,813","3,582,813"
